time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,a1_retransmissions_ul_count,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
68,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060129165649414,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0099897384643554,0.0221729278564453,0.496,0.0,1.36,0.0,0.0,0.0,112.0,8.264,7.736,0.0,0.0058412551879882,0.0081300735473632,0.0,0
69,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059994140473922,0.0078678131103515,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.0119209289550781,0.0119209289550781,0.0075101852416992,0.0079870223999023,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,118.672,0.0,0.0,0.0,0.0,0.0,6.096,0
70,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006115495277743,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0040531158447265,0.0064373016357421,0.0040531158447265,0.0121593475341796,0.0121593475341796,0.0069936116536458,0.0083446502685546,0.0064373016357421,0.0,0.0,0.496,0.0,1.424,0.0,0.848,0.848,119.16,0.0,0.0,0.0,0.0,0.0,6.52,0
71,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060114694471976,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.013589859008789,0.0047683715820312,0.013589859008789,0.0121593475341796,0.0121593475341796,0.0045299530029296,0.0045299530029296,0.0047683715820312,0.0,0.0,0.496,0.0,1.424,0.0,0.848,0.848,113.256,0.0,0.0,0.0,0.0,0.0,1.192,0
72,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060731498756218,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0107288360595703,0.0107288360595703,0.00762939453125,0.00762939453125,0.0,0.0126361846923828,0.0238418579101562,0.496,0.0,1.36,0.0,0.0,0.0,113.256,3.744,4.232,0.0,0.0060081481933593,0.0075340270996093,1.192,0
73,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061249732971191,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0,0.0108083089192708,0.0199079513549804,0.496,0.0,1.36,0.0,0.0,0.0,112.0,4.272,3.704,0.0,0.0057220458984375,0.005960464477539,0.0,0
74,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059878826141357,0.0085830688476562,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0,0.0126361846923828,0.0126361846923828,0.0,0.0,0.0,0.0100612640380859,0.0239372253417968,0.496,0.0,1.36,0.0,0.0,0.0,112.0,8.264,7.736,0.0,0.0058650970458984,0.0078916549682617,0.0,0
75,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059366226196289,0.0076532363891601,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059804305654441,0.0081062316894531,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0104904174804687,0.0104904174804687,0.0071525573730468,0.0086784362792968,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,120.568,0.0,0.0,0.0,0.0,0.0,7.704,0
77,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060553574443456,0.0085830688476562,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.0157356262207031,0.0157356262207031,0.0045299530029296,0.0045299530029296,0.0,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,0.0,1.192,0
