time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_ul_kbps,f1_u_throughput_dl_kbps,F-node
31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062356540812781,0.0088214874267578,0.0092983245849609,0.0092983245849609,0.0,0.0,0.006723403930664,0.0061988830566406,0.0071525573730468,0.0061988830566406,0.0071525573730468,0.0085830688476562,0.0103950500488281,0.0194072723388671,0.496,1.36,0.0,0.0,4.232,3.744,0.0,0.0,113.256,1.192,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072547367640904,0.0095367431640625,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0061511993408203,0.0038534974398678,0.0088214874267578,0.0045299530029296,0.0088214874267578,0.0080108642578125,0.0115871429443359,0.0216960906982421,0.496,1.424,0.0,0.0,4.232,3.744,0.0,0.0,123.64,42000.176,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071857699114291,0.0095367431640625,0.009775161743164,0.009775161743164,0.0,0.0,0.0066757202148437,0.0045299530029296,0.0138282775878906,0.0045299530029296,0.0138282775878906,0.0092029571533203,0.011444091796875,0.0291347503662109,0.496,1.424,0.0,0.0,11.968,12.008,0.0,0.0,113.256,1.192,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062131881713867,0.0081300735473632,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0060558319091796,0.0,0.0128746032714843,0.0,0.0128746032714843,0.0075817108154296,0.0111579895019531,0.0211238861083984,0.496,1.424,0.0,0.0,4.232,3.744,0.0,0.0,112.0,0.0,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062239170074462,0.0081062316894531,0.00762939453125,0.00762939453125,0.0,0.0,0.006413459777832,0.0,0.0121593475341796,0.0,0.0121593475341796,0.0090837478637695,0.0115633010864257,0.0277280807495117,0.496,1.36,0.0,0.0,7.736,8.264,0.0,0.0,112.0,0.0,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061571598052978,0.0083684921264648,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0,0.00762939453125,0.0,0.00762939453125,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061504911668229,0.0083446502685546,0.00762939453125,0.00762939453125,0.0,0.0,0.0062465667724609,0.008702278137207,0.0085830688476562,0.0087976455688476,0.0085830688476562,0.0080108642578125,0.0111103057861328,0.0207901000976562,0.496,1.36,0.0,0.0,4.232,3.744,0.0,0.0,118.16,5.584,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063015682862536,0.0088214874267578,0.0081062316894531,0.0081062316894531,0.0,0.0,0.006103515625,0.0047683715820312,0.005960464477539,0.0047683715820312,0.005960464477539,0.0077724456787109,0.0117301940917968,0.0223159790039062,0.496,1.392,0.0,0.0,4.232,3.744,0.0,0.0,118.448,7.264,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063017302868412,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0063101450602213,0.0052452087402343,0.0066757202148437,0.0061988830566406,0.0066757202148437,0.0093460083007812,0.0110785166422526,0.026559829711914,0.496,1.392,0.0,0.0,11.968,12.008,0.0,0.0,124.512,47.904,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006147878086982,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0047683715820312,0.0051498413085937,0.0071048736572265,0.0042915344238281,0.0126361846923828,0.0042915344238281,0.0126361846923828,0.0083446502685546,0.0108718872070312,0.0200748443603515,0.496,1.424,1.696,1.696,4.232,3.744,0.0072717666625976,0.007939338684082,113.256,1.192,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064194202423095,0.0088214874267578,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0062253740098741,0.0,0.0081062316894531,0.0,0.0081062316894531,0.0087738037109375,0.0111623243852095,0.0259876251220703,0.496,1.36,0.0,0.0,7.208,8.792,0.0,0.0,112.0,0.0,0
42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061011314392089,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.0,0.00762939453125,0.0,0.00762939453125,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0
43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060367584228515,0.0083446502685546,0.0102519989013671,0.0102519989013671,0.0,0.0,0.006866455078125,0.0,0.0121593475341796,0.0,0.0121593475341796,0.0100135803222656,0.0108718872070312,0.0206470489501953,0.496,1.36,0.0,0.0,4.232,3.744,0.0,0.0,112.0,0.0,0
44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060892105102539,0.0085830688476562,0.0109672546386718,0.0109672546386718,0.0,0.0,0.0050067901611328,0.0,0.0092983245849609,0.0,0.0092983245849609,0.0056266784667968,0.0116348266601562,0.0210285186767578,0.496,1.36,0.0,0.0,4.232,3.744,0.0,0.0,112.0,0.0,0
45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060802496573775,0.0083446502685546,0.0085830688476562,0.0085830688476562,0.0,0.0,0.006096703665597,0.0063010624476841,0.0095367431640625,0.0088691711425781,0.0095367431640625,0.0082731246948242,0.0105947256088256,0.0259876251220703,0.496,1.36,0.0,0.0,11.44,12.536,0.0,0.0,140.472,31.352,0
46,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061407611144715,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0068187713623046,0.0066757202148437,0.0073909759521484,0.0066757202148437,0.0073909759521484,0.0095844268798828,0.011301040649414,0.0207424163818359,0.496,1.424,0.0,0.0,4.232,3.744,0.0,0.0,113.256,1.192,0
47,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060778945239622,0.0078678131103515,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0073432922363281,0.0052452087402343,0.0109672546386718,0.0052452087402343,0.0109672546386718,0.0093698501586914,0.0106334686279296,0.0248432159423828,0.496,1.36,0.0,0.0,7.736,8.264,0.0,0.0,113.256,1.192,0
48,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063347816467285,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0,0.0054836273193359,0.0,0.0054836273193359,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0
49,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006037950515747,0.0081300735473632,0.0100135803222656,0.0100135803222656,0.0,0.0,0.005960464477539,0.0,0.0052452087402343,0.0,0.0052452087402343,0.0075340270996093,0.0112056732177734,0.0209808349609375,0.496,1.36,0.0,0.0,4.232,3.744,0.0,0.0,112.0,0.0,0
50,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062179565429687,0.0081300735473632,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0060081481933593,0.0,0.0092983245849609,0.0,0.0092983245849609,0.0073909759521484,0.0111579895019531,0.0210285186767578,0.496,1.36,0.0,0.0,4.232,3.744,0.0,0.0,112.0,0.0,0
51,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063908100128173,0.0088214874267578,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0063101450602213,0.0,0.0078678131103515,0.0,0.0078678131103515,0.0086784362792968,0.0117778778076171,0.0286102294921875,0.496,1.36,0.0,0.0,11.968,12.008,0.0,0.0,112.0,0.0,0
