time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,a1_retransmissions_ul_count,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060021877288818,0.00762939453125,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061726570129394,0.0081300735473632,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0138282775878906,0.0138282775878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061917660841301,0.0081062316894531,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0126361846923828,0.0126361846923828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,112.56,0.0,0.0,0.0,0.0,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060737133026123,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0,0.0052452087402343,0.0100135803222656,0.0100135803222656,0.0,0.0052452087402343,0.0062942504882812,0.0,0.0,0.0080108642578125,0.010538101196289,0.0193119049072265,0.496,0.0,1.36,0.0,0.0,0.0,112.696,3.744,4.232,0.0,1.192,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061099209002594,0.0078678131103515,0.0073909759521484,0.0073909759521484,0.0,0.0069141387939453,0.009775161743164,0.009775161743164,0.0,0.0069141387939453,0.006723403930664,0.0,0.0,0.0101089477539062,0.0108242034912109,0.0207901000976562,0.496,0.0,1.36,0.0,0.0,0.0,113.256,3.744,4.232,0.0,1.192,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0067275503407353,0.0088214874267578,0.0073909759521484,0.0073909759521484,0.0,0.0040901429725415,0.0116825103759765,0.0116825103759765,0.0,0.0050067901611328,0.0078678131103515,0.0,0.0,0.0103473663330078,0.0111103057861328,0.0200748443603515,0.496,0.0,1.424,0.0,0.0,0.0,144.408,3.744,4.232,0.0,7685.024,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0070197072195176,0.0095367431640625,0.0104904174804687,0.0104904174804687,0.0,0.0040730950552657,0.0126361846923828,0.0126361846923828,0.0,0.0050067901611328,0.0072002410888671,0.0,0.0,0.0102996826171875,0.0112056732177734,0.0199317932128906,0.496,0.0,1.424,0.0,0.0,0.0,117.192,4.52,3.504,0.0,5623.112,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0068868570659884,0.0095367431640625,0.0126361846923828,0.0126361846923828,0.0,0.0039658788162442,0.013589859008789,0.013589859008789,0.0,0.0047683715820312,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,117.192,0.0,0.0,0.0,10753.336,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062392125675334,0.0085830688476562,0.0083446502685546,0.0083446502685546,0.0,0.0040674209594726,0.00762939453125,0.00762939453125,0.0,0.0047683715820312,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.392,0.0,0.0,0.0,114.264,0.0,0.0,0.0,3565.328,0
42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061345100402832,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0
