time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
70,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058507919311523,0.0078916549682617,0.0069141387939453,0.0069141387939453,0.0085830688476562,0.0085830688476562,0.0057458877563476,0.0078916549682617,0.0,0.0,0.0,0.0,0.0103950500488281,0.0257015228271484,0.496,1.36,0.0,0.0,0.0,112.0,8.264,7.736,0.0,0.0,0.0,0
71,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058352947235107,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.0128746032714843,0.0128746032714843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0
72,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060415033049184,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,120.568,0.0,0.0,0.0070730845133463,0.0100612640380859,7.704,0
73,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059545336671136,0.0078678131103515,0.009775161743164,0.009775161743164,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,113.256,0.0,0.0,0.0047683715820312,0.0047683715820312,1.192,0
74,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059841877192407,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0088214874267578,0.0088214874267578,0.0057220458984375,0.0081300735473632,0.0,0.0,0.0,0.0,0.0110864639282226,0.0275373458862304,0.496,1.36,0.0,0.0,0.0,113.256,7.488,8.464,0.0088214874267578,0.0088214874267578,1.192,0
75,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059794430709003,0.0081062316894531,0.009775161743164,0.009775161743164,0.00762939453125,0.00762939453125,0.0059127807617187,0.0084161758422851,0.0,0.0,0.0,0.0,0.0108003616333007,0.0281095504760742,0.496,1.36,0.0,0.0,0.0,113.256,7.488,8.464,0.0085830688476562,0.0085830688476562,1.192,0
76,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058186054229736,0.00762939453125,0.0064373016357421,0.0064373016357421,0.0069141387939453,0.0069141387939453,0.0058412551879882,0.0083446502685546,0.0,0.0,0.0,0.0,0.0105023384094238,0.025486946105957,0.496,1.36,0.0,0.0,0.0,112.0,16.528,15.472,0.0,0.0,0.0,0
77,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060415267944335,0.0083684921264648,0.0066757202148437,0.0066757202148437,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0
78,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006110668182373,0.0083446502685546,0.0100135803222656,0.0100135803222656,0.0064373016357421,0.0064373016357421,0.0061818531581333,0.0075578689575195,0.0,0.0,0.0,0.0,0.0097155570983886,0.0206232070922851,0.496,1.36,0.0,0.0,0.0,112.0,11.304,10.784,0.0,0.0,0.0,0
79,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059342384338378,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0
