time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_u_throughput_dl_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,F-node
30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0074271644864763,0.0097513198852539,0.0046610832214355,0.005960464477539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.12,0.0,0.0,0.0,71.48,0.0,0.0,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0074271644864763,0.0097513198852539,0.0046610832214355,0.005960464477539,0.0061511993408203,0.0,0.0,0.0077247619628906,0.0,0.0,0.0133037567138671,0.0250816345214843,0.0,0.0,0.0,0.0,0.0,0.0,3.744,4.232,117.12,0.0,0.0,0.0,71.48,0.0,0.0,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0074271644864763,0.0097513198852539,0.0046610832214355,0.005960464477539,0.0069618225097656,0.0,0.0,0.0084877014160156,0.0,0.0,0.0116825103759765,0.0224590301513671,0.0,0.0,0.0,0.0,0.0,0.0,3.744,4.232,117.12,0.0,0.0,0.0,71.48,0.0,0.0,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0074271644864763,0.0097513198852539,0.0046610832214355,0.005960464477539,0.0066757202148437,0.0,0.0,0.0093698501586914,0.0,0.0,0.0114679336547851,0.0269412994384765,0.0,0.0,0.0,0.0,0.0,0.0,8.264,7.736,117.12,0.0,0.0,0.0,71.48,0.0,0.0,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0074271644864763,0.0097513198852539,0.0046610832214355,0.005960464477539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.744,10.752,0.0,0.0,117.12,0.0,0.0099341074625651,0.0144004821777343,71.48,0.0075995922088623,0.0107288360595703,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0074271644864763,0.0097513198852539,0.0046610832214355,0.005960464477539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.176,29.952,0.0,0.0,117.12,0.0,0.007788340250651,0.0098943710327148,71.48,0.0089804331461588,0.0113248825073242,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0064466057754144,0.0085830688476562,0.0041656494140625,0.0052452087402343,0.0,0.00762939453125,0.00762939453125,0.0,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,138.368,0.0,0.0,0.0,1162.232,0.0,0.0,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0062000692187257,0.0083446502685546,0.0046888987223307,0.0053882598876953,0.0061988830566406,0.005960464477539,0.005960464477539,0.0078678131103515,0.0061988830566406,0.0061988830566406,0.0116825103759765,0.0230312347412109,0.0,0.0,0.496,1.424,0.0,0.0,3.744,4.232,117.192,0.0,0.0,0.0,17.368,0.0,0.0,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060415267944335,0.0081062316894531,0.0,0.0,0.0063896179199218,0.005960464477539,0.005960464477539,0.0081539154052734,0.0126361846923828,0.0126361846923828,0.011444091796875,0.0213146209716796,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060112169473478,0.0078678131103515,0.004887580871582,0.0049829483032226,0.006413459777832,0.0123977661132812,0.0123977661132812,0.0090599060058593,0.0119209289550781,0.0119209289550781,0.0107049942016601,0.024580955505371,0.0,0.0,0.496,1.36,0.0,0.0,8.264,7.736,114.512,0.0,0.0,0.0,2.384,0.0,0.0,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060274095958089,0.0082969665527343,0.0069141387939453,0.0079631805419921,0.0,0.0066757202148437,0.0066757202148437,0.0,0.0133514404296875,0.0133514404296875,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,122.696,0.0,0.0,0.0,11.352,0.0,0.0,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0062831005646814,0.0088214874267578,0.0069141387939453,0.0076770782470703,0.0,0.0119209289550781,0.0119209289550781,0.0,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,117.192,0.0,0.0,0.0,12.912,0.0,0.0,0
42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0063051091562403,0.0083446502685546,0.0054836273193359,0.0063419342041015,0.0,0.0083446502685546,0.0083446502685546,0.0,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,119.968,0.0,0.0,0.0,17.944,0.0,0.0,0
43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0063518979656162,0.0081062316894531,0.0043701879756966,0.0052452087402343,0.0079154968261718,0.0081062316894531,0.0081062316894531,0.0103950500488281,0.00762939453125,0.00762939453125,0.0106334686279296,0.0195503234863281,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,117.192,0.0,0.0,0.0,714.024,0.0,0.0,0
