time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_ul_percentage,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_u_throughput_dl_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,F-node
123,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0063122487535663,0.0085830688476562,0.0081062316894531,0.0081062316894531,0.0090599060058593,0.0090599060058593,0.0042635484958071,0.0052452087402343,0.0060796737670898,0.007939338684082,0.0098466873168945,0.0236272811889648,0.0,0.0,0.496,1.36,0.0,0.0,8.264,7.736,132.768,0.0,100.0,0.0,0.0,4067.096,0.0,0.0,1
124,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0062572956085205,0.0081300735473632,0.0078678131103515,0.0078678131103515,0.009775161743164,0.009775161743164,0.0,0.0,0.0066439310709635,0.0087738037109375,0.009314219156901,0.017404556274414,0.0,0.0,0.496,1.36,0.0,0.0,10.776,11.312,112.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1
125,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0060486793518066,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1
126,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0060272216796875,0.0078678131103515,0.0081062316894531,0.0081062316894531,0.0119209289550781,0.0119209289550781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1
127,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0060102832851125,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0069141387939453,0.0069141387939453,0.0100135803222656,0.0100135803222656,0.005960464477539,0.0072002410888671,0.0105857849121093,0.0196456909179687,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,113.256,0.0,100.0,0.0,0.0,1.192,0.0,0.0,1
128,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0065322061186855,0.0090599060058593,0.00762939453125,0.00762939453125,0.0107288360595703,0.0107288360595703,0.0042754186550618,0.0052452087402343,0.006103515625,0.0078201293945312,0.0101089477539062,0.0185489654541015,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,139.216,0.0,100.0,0.0,0.0,4770.44,0.0,0.0,1
129,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0058952255628595,0.0078678131103515,0.0107288360595703,0.0107288360595703,0.0119209289550781,0.0119209289550781,0.0043596540178571,0.0052452087402343,0.005801518758138,0.0071048736572265,0.0100352547385475,0.0236034393310546,0.0,0.0,0.496,1.36,0.0,0.0,8.792,7.208,113.256,0.0,100.0,0.0,0.0,269.2,0.0,0.0,1
130,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0057458877563476,0.00762939453125,0.0081062316894531,0.0081062316894531,0.0140666961669921,0.0140666961669921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1
131,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0060844421386718,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1
132,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0061583518981933,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1
