time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,f1_u_throughput_dl_kbps,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,F-node
117,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060850114964727,0.0078678131103515,0.0085830688476562,0.0085830688476562,0.0050820802387438,0.0060081481933593,0.0064373016357421,0.0064373016357421,0.0064373016357421,0.0093460083007812,0.0104904174804687,0.0247716903686523,0.0,0.0,0.496,1.36,0.0,0.0,8.264,7.736,114.344,100.0,0.0,40.216,0.0,0.0,0.0,1
118,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061004316035787,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0060002009073893,0.0071287155151367,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,114.328,100.0,0.0,24.848,0.0,0.0,0.0,1
119,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006050166517201,0.0078678131103515,0.005960464477539,0.005960464477539,0.0064373016357421,0.0075817108154296,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,116.096,100.0,0.0,10.888,0.0,0.0,0.0,1
120,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.005960464477539,0.0078678131103515,0.00762939453125,0.00762939453125,0.0054652874286358,0.0063180923461914,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,115.6,100.0,0.0,55.712,0.0,0.0,0.0,1
121,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063475995960802,0.0085830688476562,0.0066757202148437,0.0066757202148437,0.0053680304324988,0.0063896179199218,0.0112056732177734,0.0112056732177734,0.0072479248046875,0.0106334686279296,0.0110149383544921,0.020456314086914,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,115.84,100.0,0.0,70.296,0.0,0.0,0.0,1
122,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006118224034855,0.0083446502685546,0.0072717666625976,0.0077486038208007,0.0050774327030888,0.0063419342041015,0.0115633010864257,0.0118494033813476,0.0060081481933593,0.0078201293945312,0.0117301940917968,0.022745132446289,0.0,0.0,1.344,2.208,0.0,0.0,3.744,4.232,114.328,100.0,0.0,59.528,0.0,0.0,0.0,1
123,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0064278123390615,0.0085830688476562,0.0064373016357421,0.0064373016357421,0.006030003229777,0.0073432922363281,0.0083446502685546,0.0083446502685546,0.0063419342041015,0.0086307525634765,0.0108718872070312,0.0245094299316406,0.0,0.0,0.496,1.36,0.0,0.0,8.264,7.736,114.728,100.0,0.0,62.304,0.0,0.0,0.0,1
124,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062060000291511,0.0083446502685546,0.00762939453125,0.00762939453125,0.0052111489432198,0.0061988830566406,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,115.048,100.0,0.0,48.536,0.0,0.0,0.0,1
125,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006247515702129,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0050544738769531,0.0055313110351562,0.0200271606445312,0.0200271606445312,0.0065326690673828,0.0088691711425781,0.0103473663330078,0.0208854675292968,0.0,0.0,0.496,1.36,0.0,0.0,10.776,11.312,114.456,100.0,0.0,64.224,0.0,0.0,0.0,1
126,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062342917565071,0.008559226989746,0.0064373016357421,0.0064373016357421,0.004834598965115,0.0054836273193359,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,115.6,100.0,0.0,74.432,0.0,0.0,0.0,1
