time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_u_throughput_dl_kbps,f1_c_latency_p90_dl_ms,F-node
41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061134793865146,0.0083446502685546,0.0090599060058593,0.0090599060058593,0.0069141387939453,0.0069141387939453,0.0049304962158203,0.006103515625,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,114.728,0.0,0.0,0.0,0.0,0.0,0.0,62.52,0.0,0
42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062508158164449,0.0085830688476562,0.009775161743164,0.009775161743164,0.0104904174804687,0.0104904174804687,0.0050984896146334,0.0063419342041015,0.006103515625,0.007486343383789,0.0108242034912109,0.0199317932128906,0.496,1.36,0.0,0.0,0.0,0.0,115.92,3.744,4.232,0.0,0.0,0.0,0.0,32.232,0.0,0
43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063039288662447,0.0085830688476562,0.0081062316894531,0.0081062316894531,0.0104904174804687,0.0104904174804687,0.0050378882366677,0.0061988830566406,0.0066757202148437,0.0081062316894531,0.0102996826171875,0.0187873840332031,0.496,1.36,0.0,0.0,0.0,0.0,116.592,3.744,4.232,0.0,0.0,0.0,0.0,64.536,0.0,0
44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062283903065294,0.008559226989746,0.0061988830566406,0.0061988830566406,0.0157356262207031,0.0157356262207031,0.0050244507966218,0.0061988830566406,0.0066757202148437,0.0084161758422851,0.010538101196289,0.0224590301513671,0.496,1.36,0.0,0.0,0.0,0.0,116.08,8.264,7.736,0.0,0.0,0.0,0.0,75.544,0.0,0
45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062498880262991,0.0081062316894531,0.0061988830566406,0.0061988830566406,0.0081062316894531,0.0081062316894531,0.0052261352539062,0.005960464477539,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,115.016,0.0,0.0,0.0,0.0,0.0,0.0,64.968,0.0,0
46,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061585535457478,0.0078678131103515,0.0085830688476562,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0051359335581461,0.005960464477539,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,114.552,0.0,0.0,0.0,0.0,0.0,0.0,65.072,0.0,0
47,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006176345977024,0.0088214874267578,0.0073909759521484,0.0073909759521484,0.0085830688476562,0.0085830688476562,0.0048056244850158,0.0057220458984375,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,114.76,0.0,0.0,0.0,0.0,0.0,0.0,147.728,0.0,0
48,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062759835921709,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0102519989013671,0.0102519989013671,0.0053024291992187,0.0068187713623046,0.006723403930664,0.0092506408691406,0.0112056732177734,0.0193595886230468,0.496,1.36,0.0,0.0,0.0,0.0,114.792,3.744,4.232,0.0,0.0,0.0,0.0,83.672,0.0,0
49,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062059647966139,0.008559226989746,0.0071525573730468,0.0071525573730468,0.00762939453125,0.00762939453125,0.0047295592552007,0.005960464477539,0.0064373016357421,0.0080585479736328,0.010538101196289,0.0185489654541015,0.496,1.36,0.0,0.0,0.0,0.0,115.984,3.744,4.232,0.0,0.0,0.0,0.0,256.104,0.0,0
50,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063924506159112,0.0087976455688476,0.0061988830566406,0.0061988830566406,0.011444091796875,0.011444091796875,0.0050725608036435,0.0057697296142578,0.0059843063354492,0.0081300735473632,0.0101804733276367,0.0241756439208984,0.496,1.36,0.0,0.0,0.0,0.0,118.448,8.264,7.736,0.0,0.0,0.0,0.0,85.432,0.0,0
