time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_u_packet_loss_dl_percentage,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061798095703125,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0157356262207031,0.0157356262207031,0.0060081481933593,0.0,0.0,0.0,0.0,0.0077247619628906,0.0122547149658203,0.023651123046875,0.496,1.424,0.0,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,1
116,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060927867889404,0.0081300735473632,0.0073909759521484,0.0073909759521484,0.0116825103759765,0.0116825103759765,0.0061988830566406,0.0,0.0,0.0,0.0,0.0085115432739257,0.0107526779174804,0.0239133834838867,0.496,1.36,0.0,0.0,0.0,8.464,7.488,112.0,0.0,0.0,0.0,1
117,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062581911608947,0.0085830688476562,0.0090599060058593,0.0090599060058593,0.0123977661132812,0.0123977661132812,0.006103515625,0.0,0.0,0.0,0.0,0.0077724456787109,0.0102043151855468,0.0247955322265625,0.496,1.36,0.0,0.0,0.0,11.968,12.008,113.256,226.00817680358887,226.00817680358887,1.192,1
118,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066584435062132,0.0090599060058593,0.0073909759521484,0.0073909759521484,0.0085830688476562,0.0085830688476562,0.0063133239746093,0.0,0.0,0.0,0.0,0.0087261199951171,0.0099563598632812,0.0226020812988281,0.496,1.36,0.0,0.0,0.0,19.048,19.04,144.408,226.16568703092736,226.42993927001956,5673.832,1
119,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070463312734471,0.0095367431640625,0.0081062316894531,0.0081062316894531,0.0119209289550781,0.0119209289550781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,27.056962025316455,0.0,0.0,0.0,118.448,226.1901460345552,226.4387607574463,11752.472,1
120,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065696239471435,0.0092983245849609,0.0092983245849609,0.0092983245849609,0.0143051147460937,0.0143051147460937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,112.0,226.16576119292557,226.42512321472168,3469.872,1
121,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060367584228515,0.0081062316894531,0.0057220458984375,0.0062942504882812,0.0106096267700195,0.0143289566040039,0.006103515625,0.0,0.0,0.0,0.0,0.0075340270996093,0.0116825103759765,0.0224590301513671,1.344,2.24,0.0,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,1
122,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063456925265307,0.0090599060058593,0.00762939453125,0.00762939453125,0.009775161743164,0.009775161743164,0.0059127807617187,0.0,0.0,0.0,0.0,0.008392333984375,0.0111818313598632,0.0240325927734375,0.496,1.36,0.0,0.0,0.0,8.464,7.488,127.576,226.1336383460456,226.3366222381592,2821.376,1
123,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006645917892456,0.0090837478637695,0.0090599060058593,0.0090599060058593,0.0133514404296875,0.0133514404296875,0.0059286753336588,0.0,0.0,0.0,0.0,0.0079154968261718,0.010379155476888,0.0247001647949218,0.496,1.36,0.0,0.0,0.0,11.968,12.008,112.0,226.22013284314065,226.53381824493408,3611.6,1
124,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063151561567936,0.0088214874267578,0.0081062316894531,0.0081062316894531,0.0085830688476562,0.0085830688476562,0.0059127807617187,0.0,0.0,0.0,0.0,0.0079154968261718,0.0107765197753906,0.0264883041381835,0.496,1.424,0.0,0.0,0.0,7.736,8.264,123.64,226.1105621302569,226.32510662078855,1030.672,1
