time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_p90_ul_ms,f1_u_latency_mean_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
75,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0061834629495345,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0,0.0059127807617187,0.0109672546386718,0.0109672546386718,0.0081300735473632,0.0108957290649414,0.0289440155029296,0.0051519145136294,0.0059127807617187,0.496,1.424,0.0,0.0,114.904,7.488,8.464,0.0,61.672,0
76,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0088214874267578,0.0063723856859868,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0,0.0062108039855957,0.0112056732177734,0.0112056732177734,0.0088453292846679,0.0107765197753906,0.0286102294921875,0.0052352746327718,0.0064611434936523,0.496,1.424,0.0,0.0,116.368,16.528,15.472,0.0,62.736,0
77,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008559226989746,0.0062791427763381,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0,0.0,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.004819461277553,0.005650520324707,0.496,1.424,0.0,0.0,115.584,0.0,0.0,0.0,33.968,0
78,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0060885699827279,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0,0.0,0.0050067901611328,0.0050067901611328,0.0,0.0,0.0,0.0050663948059082,0.0054836273193359,0.496,1.424,0.0,0.0,113.256,0.0,0.0,0.0,9.296,0
79,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0063281747239146,0.011444091796875,0.011444091796875,0.0,0.0,0.0,0.0,0.0,0.0126361846923828,0.0126361846923828,0.0,0.0,0.0,0.0083446502685546,0.0083446502685546,0.496,1.36,0.0,0.0,115.88,0.0,0.0,0.0,3.592,0
80,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008559226989746,0.0062460946564627,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0,0.0,0.006866455078125,0.0104904174804687,0.0104904174804687,0.0099897384643554,0.0108957290649414,0.0292301177978515,0.0050067901611328,0.0059127807617187,0.496,1.424,0.0,0.0,119.296,7.488,8.464,0.0,14.48,0
81,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078916549682617,0.0059950351715087,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0,0.0065326690673828,0.0073909759521484,0.0073909759521484,0.0086069107055664,0.0109434127807617,0.0279664993286132,0.0,0.0,0.496,1.424,0.0,0.0,112.0,7.488,8.464,0.0,0.0,0
82,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083684921264648,0.006183385848999,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0,0.0,0.0060796737670898,0.0128746032714843,0.0128746032714843,0.0085830688476562,0.0106215476989746,0.0267982482910156,0.0,0.0,0.496,1.36,0.0,0.0,112.0,16.528,15.472,0.0,0.0,0
83,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085830688476562,0.0061681955167562,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0,0.0,0.0,0.0126361846923828,0.0126361846923828,0.0,0.0,0.0,0.0046888987223307,0.005960464477539,0.496,1.424,0.0,0.0,118.448,0.0,0.0,0.0,52.704,0
84,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078678131103515,0.006017400257623,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0092983245849609,0.0092983245849609,0.496,1.36,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0
