time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_p90_ul_ms,f1_u_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0066852569580078,0.0051089695521763,0.0061988830566406,0.0063896179199218,0.0071525573730468,0.0071525573730468,0.0087261199951171,0.0071525573730468,0.0071525573730468,0.0100612640380859,0.0185489654541015,0.0,0.0,0.496,1.424,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0.0,0.0,0.0,141.152,1
135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0064826011657714,0.0,0.0,0.0066757202148437,0.0078678131103515,0.0078678131103515,0.0080108642578125,0.0073909759521484,0.0073909759521484,0.0114917755126953,0.0217914581298828,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0.0,0.0,0.0,0.0,1
136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0078916549682617,0.006256103515625,0.0,0.0,0.0061511993408203,0.0081062316894531,0.0081062316894531,0.0079154968261718,0.0064373016357421,0.0064373016357421,0.0103950500488281,0.0224828720092773,0.0,0.0,0.496,1.36,0.0,0.0,8.264,7.736,112.0,0.0,0.0,0.0,0.0,0.0,0.0,1
137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0085830688476562,0.0062759835921709,0.0064373016357421,0.0064373016357421,0.0,0.0100135803222656,0.0100135803222656,0.0,0.0157356262207031,0.0157356262207031,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,0.0,1.192,1
138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0085830688476562,0.0061768929935196,0.0041466620233323,0.0050067901611328,0.0,0.0069141387939453,0.0069141387939453,0.0,0.0104904174804687,0.0104904174804687,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,139.216,0.0,0.0,0.0,0.0,0.0,3167.824,1
139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0078678131103515,0.0058833639420087,0.0050067901611328,0.0050067901611328,0.0,0.0092983245849609,0.0092983245849609,0.0,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,0.0,1.192,1
140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0060933146310682,0.0067949295043945,0.0086069107055664,0.0057220458984375,0.0069141387939453,0.0069141387939453,0.0072956085205078,0.0140666961669921,0.0140666961669921,0.0103950500488281,0.0191688537597656,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,117.192,0.0,0.0,0.0,0.0,0.0,17.408,1
141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0060212612152099,0.0049591064453125,0.0071525573730468,0.0058650970458984,0.0081062316894531,0.0081062316894531,0.007486343383789,0.0088214874267578,0.0088214874267578,0.0102996826171875,0.0195503234863281,0.0,0.0,0.496,1.424,3.312,0.0,3.744,4.232,112.0,0.0,1007.0633888244628,9254.220962524414,1007.0633888244628,23049.887657165527,59.912,1
142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0087738037109375,0.0062928411173703,0.0049835298119521,0.0061988830566406,0.0059366226196289,0.0064373016357421,0.0064373016357421,0.0083684921264648,0.0119209289550781,0.0119209289550781,0.0098228454589843,0.021982192993164,1.0,1.0,0.496,1.424,3.312,3.632,8.264,7.736,124.984,50.0,0.0147819519042968,8246.971845626831,0.0147819519042968,22042.638540267944,318.424,1
143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0061466919248969,0.0044156093986666,0.0054836273193359,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0123977661132812,0.0123977661132812,0.0,0.0,0.0,0.0,0.496,1.424,0.784,0.0,0.0,0.0,117.192,100.0,0.0,0.0121593475341796,0.0,0.0121593475341796,943.664,1
