time_seconds,a1_retransmissions_ul_count,a1_packet_loss_ul_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059866905212402,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0058674812316894,0.00762939453125,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0071525573730468,0.0071525573730468,0.0,0.00762939453125,0.0,0.0054836273193359,0.0104904174804687,0.0064373016357421,0.0,0.0,0.496,1.36,0.0,1.696,1.696,0.0,112.0,0.0,0.0,0.0,0
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061422291368541,0.0085830688476562,0.0085830688476562,0.0085830688476562,0.0089406967163085,0.0,0.0092983245849609,0.0092983245849609,0.0099897384643554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,118.96,0.0,0.0,6.384,0
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0058240558377545,0.00762939453125,0.0071525573730468,0.0071525573730468,0.0064373016357421,0.006103515625,0.0092983245849609,0.0092983245849609,0.0064373016357421,0.0,0.0076770782470703,0.0,0.0,0.0,0.0111103057861328,0.0207901000976562,0.496,1.36,0.0,0.0,0.0,3.744,113.256,4.232,0.0,1.192,0
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059414858841777,0.0078678131103515,0.0073909759521484,0.0073909759521484,0.0071525573730468,0.0070571899414062,0.0092983245849609,0.0092983245849609,0.0071525573730468,0.0,0.0088691711425781,0.0,0.0,0.0,0.011301040649414,0.0213623046875,0.496,1.36,0.0,0.0,0.0,3.744,113.256,4.232,0.0,1.192,0
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061372026282163,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0088214874267578,0.0060796737670898,0.0112056732177734,0.0112056732177734,0.0088214874267578,0.0,0.0081300735473632,0.0,0.0,0.0,0.0102043151855468,0.0233173370361328,0.496,1.36,0.0,0.0,0.0,8.264,113.256,7.736,0.0,1.192,0
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060151262981135,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.004895528157552,0.0,0.0078678131103515,0.0078678131103515,0.005960464477539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,137.96,0.0,0.0,222.472,0
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063210577514041,0.0088214874267578,0.0071525573730468,0.0071525573730468,0.004497734276024,0.0,0.011444091796875,0.011444091796875,0.0055789947509765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,115.336,0.0,0.0,176.744,0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063886689902538,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.0053644180297851,0.0,0.0047683715820312,0.0047683715820312,0.0069379806518554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,114.424,0.0,0.0,30.656,0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062878452130218,0.0088214874267578,0.0078678131103515,0.008249282836914,0.0059264046805245,0.0062465667724609,0.0100135803222656,0.0102043151855468,0.0074148178100585,0.0,0.0079154968261718,0.0,0.0,0.0,0.0101089477539062,0.0185489654541015,1.344,2.208,0.0,0.0,0.0,3.744,117.192,4.232,0.0,85.952,0
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062449143664671,0.0083208084106445,0.0078678131103515,0.0078678131103515,0.0055432319641113,0.0060081481933593,0.0095367431640625,0.0095367431640625,0.0069141387939453,0.0,0.007486343383789,0.0,0.0,0.0,0.0104904174804687,0.01983642578125,0.496,1.36,0.0,0.0,0.0,3.744,116.016,4.232,0.0,30.208,0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060885699827279,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0057220458984375,0.006066428290473,0.0109672546386718,0.0109672546386718,0.006103515625,0.0,0.0073909759521484,0.0,0.0,0.0,0.0099702314897017,0.0226497650146484,0.496,1.36,0.0,0.0,0.0,8.792,113.256,7.208,0.0,3.6,0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060661672958599,0.0082969665527343,0.0071525573730468,0.0071525573730468,0.0053013072294347,0.0,0.0052452087402343,0.0052452087402343,0.0065326690673828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,120.744,0.0,0.0,65.48,0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061288994936207,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0060796737670898,0.0,0.0057220458984375,0.0057220458984375,0.0069379806518554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,117.192,0.0,0.0,19.664,0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061678886413574,0.0081062316894531,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
