time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061638215008903,0.0083446502685546,0.0100135803222656,0.0100135803222656,0.0,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0061511993408203,0.0,0.0083446502685546,0.0115871429443359,0.0287055969238281,0.0045696894327799,0.0056028366088867,0.496,1.424,0.0,0.0,11.968,12.008,123.92,0.0,34.624,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060672190651964,0.0081062316894531,0.00762939453125,0.00762939453125,0.0,0.00762939453125,0.00762939453125,0.0,0.0,0.0069618225097656,0.0,0.0099658966064453,0.0112056732177734,0.0210285186767578,0.0050067901611328,0.0050067901611328,0.496,1.424,0.0,0.0,4.232,3.744,113.256,0.0,1.192,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061822767874494,0.0085830688476562,0.0081062316894531,0.0081062316894531,0.0,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0063180923461914,0.0,0.0088453292846679,0.0104904174804687,0.0243425369262695,0.0047683715820312,0.0047683715820312,0.496,1.36,0.0,0.0,7.736,8.264,113.256,0.0,1.192,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060130568111644,0.0082731246948242,0.0061988830566406,0.0061988830566406,0.0,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056425730387369,0.0079870223999023,0.496,1.424,0.0,0.0,0.0,0.0,126.656,0.0,39.712,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062131170016616,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0,0.013589859008789,0.013589859008789,0.0,0.0,0.0061988830566406,0.0,0.0079631805419921,0.0111579895019531,0.0216007232666015,0.005960464477539,0.005960464477539,0.496,1.424,0.0,0.0,4.232,3.744,114.76,0.0,2.472,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061490642490671,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0058650970458984,0.0,0.0072479248046875,0.0108718872070312,0.020599365234375,0.0085830688476562,0.0085830688476562,0.496,1.424,0.0,0.0,4.232,3.744,114.344,0.0,2.056,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060856342315673,0.0081062316894531,0.0088214874267578,0.0088214874267578,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0062465667724609,0.0,0.0080585479736328,0.0114917755126953,0.0223636627197265,0.0,0.0,0.496,1.424,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062779624863426,0.0088214874267578,0.009775161743164,0.009775161743164,0.0,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0065803527832031,0.0,0.0091552734375,0.0115553538004557,0.029611587524414,0.0060796737670898,0.007796287536621,0.496,1.36,0.0,0.0,11.968,12.008,118.736,0.0,38.288,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060147578173344,0.0080823898315429,0.0078678131103515,0.0078678131103515,0.0,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0058412551879882,0.0,0.0083446502685546,0.0104188919067382,0.0255584716796875,0.0079870223999023,0.0086545944213867,0.496,1.424,0.0,0.0,7.736,8.264,115.616,0.0,3.264,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062012436366317,0.0081062316894531,0.0112056732177734,0.0112056732177734,0.0,0.0121593475341796,0.0121593475341796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057617823282877,0.0071525573730468,0.496,1.424,0.0,0.0,0.0,0.0,115.776,0.0,12.176,0
