time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,a1_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_ul_count,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_packet_loss_dl_percentage,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
139,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061871958713905,0.0085830688476562,0.0088214874267578,0.0088214874267578,0.0181198120117187,0.0181198120117187,0.0043255942208426,0.0051021575927734,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,1.0,0.0,0.0,0.0,0.0,132.672,100.0,0.0,0.0,55.56,1
140,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059330463409423,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,1.0,0.0,0.0,0.0,0.0,112.0,100.0,0.0,0.0,0.0,1
141,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061431334386417,0.0081062316894531,0.0057220458984375,0.0057220458984375,0.0104904174804687,0.0104904174804687,0.0085830688476562,0.0085830688476562,0.0077088673909505,0.0093936920166015,0.0067551930745442,0.0,0.0075817108154296,0.0,0.496,1.36,1.0,0.0,5.648,5.552,0.0,0.592,113.256,100.0,-5643.137971560161,8192.020058631897,1.192,1
142,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061716013286837,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.011444091796875,0.011444091796875,0.0052452087402343,0.0052452087402343,0.0075896581013997,0.0096559524536132,0.0066757202148437,0.0,0.0076770782470703,0.0,0.496,1.36,1.0,0.0,5.104,19.04,0.0,1.584,113.256,100.0,0.0169277191162109,0.0169277191162109,1.192,1
143,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061051762519191,0.0083446502685546,0.0064373016357421,0.0064373016357421,0.0126361846923828,0.0126361846923828,0.0052452087402343,0.0052452087402343,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,113.256,100.0,0.0,0.0,1.192,1
144,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061128197646722,0.0087261199951171,0.0104904174804687,0.0104904174804687,0.0143051147460937,0.0143051147460937,0.0046661921909877,0.0071525573730468,0.00762939453125,0.00762939453125,0.0064373016357421,0.0,0.0064373016357421,0.0,0.496,1.424,0.0,0.0,0.848,0.784,0.0,0.0,132.296,100.0,0.0,0.0,158.664,1
145,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062736112680008,0.0083446502685546,0.0126361846923828,0.0126361846923828,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0058710575103759,0.0066757202148437,0.0075399875640869,0.0,0.0092267990112304,0.0,0.496,1.36,0.0,0.0,21.504,12.864,0.0,0.0,112.496,100.0,0.0,0.0,0.0,1
146,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061416625976562,0.0083446502685546,0.0085830688476562,0.0085830688476562,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.776,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,0.0,0.0,0.0,1
147,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.00626802444458,0.0085830688476562,0.0092983245849609,0.0092983245849609,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.776,0.0,1.0,0.0,0.0,0.0,0.0,112.0,100.0,0.0,0.0,0.0,1
148,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060129165649414,0.0078678131103515,0.0095367431640625,0.0095367431640625,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.776,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,0.0,0.0,0.0,1
