time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_ul_count,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060832500457763,0.0081062316894531,0.011444091796875,0.011444091796875,0.0,0.0,0.0,0.0,0.0,0.009775161743164,0.009775161743164,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0
42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060589159306009,0.0083446502685546,0.00762939453125,0.00762939453125,0.0,0.0088214874267578,0.0,0.0,0.0088214874267578,0.0104904174804687,0.0104904174804687,0.0,0.0101089477539062,0.0182628631591796,0.496,1.36,0.0,0.0,0.0,0.0,3.744,113.256,4.232,0.0,0.0062465667724609,0.0082015991210937,1.192,0
43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063578287760416,0.0088214874267578,0.005960464477539,0.005960464477539,0.0,0.0050067901611328,0.0,0.0,0.0050067901611328,0.0078678131103515,0.0078678131103515,0.0,0.0122547149658203,0.0223159790039062,0.496,1.36,0.0,0.0,0.0,0.0,3.744,113.256,4.232,0.0,0.0061988830566406,0.0080585479736328,1.192,0
44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0058940394007744,0.00762939453125,0.0066757202148437,0.0066757202148437,0.0,0.00762939453125,0.0,0.0,0.00762939453125,0.0102519989013671,0.0102519989013671,0.0,0.0102996826171875,0.0234842300415039,0.496,1.36,0.0,0.0,0.0,0.0,8.264,113.256,7.736,0.0,0.0060796737670898,0.0086069107055664,1.192,0
45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059711933135986,0.0078916549682617,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0,0.0,0.0,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0
46,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059926509857177,0.0078916549682617,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0,0.0,0.0104904174804687,0.0104904174804687,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0
47,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059841877192407,0.0078678131103515,0.005960464477539,0.005960464477539,0.0,0.0046730041503906,0.0,0.0,0.0064849853515625,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,117.192,0.0,0.0,0.0,0.0,57.272,0
48,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062131881713867,0.0078916549682617,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0,0.0,0.0,0.0128746032714843,0.0128746032714843,0.0,0.0112533569335937,0.0215530395507812,0.496,1.424,0.0,0.0,0.0,0.0,3.744,112.0,4.232,0.0,0.0059127807617187,0.0073432922363281,0.0,0
49,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062214201362571,0.0085830688476562,0.0066757202148437,0.0066757202148437,0.0,0.0090599060058593,0.0,0.0,0.0090599060058593,0.0119209289550781,0.0119209289550781,0.0,0.0108242034912109,0.01983642578125,0.496,1.36,0.0,0.0,0.0,0.0,3.744,113.256,4.232,0.0,0.0066757202148437,0.0077724456787109,1.192,0
50,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059901185296661,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0,0.00762939453125,0.0,0.0,0.00762939453125,0.00762939453125,0.00762939453125,0.0,0.0104687430641867,0.0257492065429687,0.496,1.36,0.0,0.0,0.0,0.0,8.792,113.256,7.208,0.0,0.0060929192437065,0.0075817108154296,1.192,0
