time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
90,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065069387454797,0.0088214874267578,0.0092983245849609,0.0092983245849609,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041791370936802,0.0050067901611328,0.496,1.424,0.0,0.0,0.0,0.0,118.448,0.0,2096.416,0
91,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060224533081054,0.0081062316894531,0.0070810317993164,0.0067949295043945,0.012516975402832,0.0129938125610351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.344,2.272,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0
92,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061225891113281,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0081062316894531,0.0081062316894531,0.0056982040405273,0.0,0.0,0.0,0.0,0.0076770782470703,0.0105142593383789,0.0281572341918945,0.0,0.0,0.496,1.36,0.0,0.0,8.464,7.488,112.0,0.0,0.0,0
93,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061500072479248,0.0081300735473632,0.00762939453125,0.00762939453125,0.0090599060058593,0.0090599060058593,0.0060081481933593,0.0,0.0,0.0,0.0,0.0081062316894531,0.0110864639282226,0.0298261642456054,0.0,0.0,0.496,1.36,0.0,0.0,8.464,7.488,112.0,0.0,0.0,0
94,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061702728271484,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0078678131103515,0.0078678131103515,0.0062108039855957,0.0,0.0,0.0,0.0,0.0083446502685546,0.010991096496582,0.0277280807495117,0.0054836273193359,0.0054836273193359,0.496,1.36,0.0,0.0,15.472,16.528,112.0,50.0,1.336,1
95,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061573673836627,0.0085830688476562,0.0083446502685546,0.0083446502685546,0.0104904174804687,0.0104904174804687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0112056732177734,0.0112056732177734,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,1.192,1
96,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060458681476649,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.0152587890625,0.0152587890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0100135803222656,0.0100135803222656,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,1.192,1
97,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063044514822129,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0123977661132812,0.0123977661132812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009775161743164,0.009775161743164,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,1.192,1
98,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061404705047607,0.0085830688476562,0.00762939453125,0.00762939453125,0.0057220458984375,0.0057220458984375,0.0058174133300781,0.0,0.0,0.0,0.0,0.0086069107055664,0.0107765197753906,0.0282764434814453,0.0,0.0,0.496,1.36,0.0,0.0,8.464,7.488,112.0,0.0,0.0,1
99,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062060356140136,0.0086069107055664,0.0064373016357421,0.0064373016357421,0.0064373016357421,0.0064373016357421,0.0063419342041015,0.0,0.0,0.0,0.0,0.0081300735473632,0.0104427337646484,0.0268220901489257,0.0,0.0,0.496,1.36,0.0,0.0,8.464,7.488,112.0,0.0,0.0,1
