time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,f1_u_throughput_dl_kbps,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,F-node
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060546398162841,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0081062316894531,0.0,0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0081062316894531,0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006321633216178,0.0092506408691406,0.0,0.0,0.0,0.0057220458984375,0.0,0.0069141387939453,0.0,0.0,0.0,0.0083446502685546,0.0083446502685546,0.0,0,0.496,1.424,0.0,0.0,119.216,0.0,0.0,0.0,22.48,0.0071525573730468,0.0071525573730468,0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062154893258317,0.0085830688476562,0.0,0.0,0.0,0.0049653260604194,0.0,0.0061511993408203,0.0068187713623046,0.0096321105957031,0.0101566314697265,0.0112056732177734,0.0112056732177734,0.0196456909179687,0,0.496,1.424,0.0,0.0,115.096,3.744,4.232,0.0,61.512,0.0073909759521484,0.0073909759521484,0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060714117371209,0.0081062316894531,0.0,0.0,0.0,0.004783272743225,0.0,0.0054836273193359,0.0061511993408203,0.0079631805419921,0.011444091796875,0.0071525573730468,0.0071525573730468,0.0222682952880859,0,0.496,1.424,0.0,0.0,116.096,3.744,4.232,0.0,39.152,0.0066757202148437,0.0066757202148437,0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063204529261825,0.008559226989746,0.0,0.0,0.0,0.0064923213078425,0.0,0.0077724456787109,0.0061273574829101,0.0081300735473632,0.0110864639282226,0.0107288360595703,0.0107288360595703,0.0276565551757812,0,0.496,1.424,0.0,0.0,116.224,8.264,7.736,0.0,31.496,0.0069141387939453,0.0069141387939453,0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061587531967918,0.0083446502685546,0.0,0.0,0.0,0.0052452087402343,0.0,0.005960464477539,0.0,0.0,0.0,0.0071525573730468,0.0071525573730468,0.0,0,0.496,1.424,0.0,0.0,115.648,0.0,0.0,0.0,24.088,0.0088214874267578,0.0088214874267578,0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061455057628119,0.0085830688476562,0.0,0.0,0.0,0.0056425730387369,0.0,0.006103515625,0.0,0.0,0.0,0.0071525573730468,0.0071525573730468,0.0,0,0.496,1.424,0.0,0.0,117.192,0.0,0.0,0.0,10.536,0.00762939453125,0.00762939453125,0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059996078263467,0.0078678131103515,0.0,0.0,0.0,0.0056823094685872,0.0,0.0071525573730468,0.0,0.0,0.0,0.0123977661132812,0.0123977661132812,0.0,0,0.496,1.424,0.0,0.0,115.608,0.0,0.0,0.0,14.224,0.00762939453125,0.00762939453125,0
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064029029352747,0.0088214874267578,0.0,0.0,0.0,0.0061194101969401,0.0,0.0066280364990234,0.0061511993408203,0.0075817108154296,0.0107765197753906,0.0095367431640625,0.0095367431640625,0.0203132629394531,0,0.496,1.424,0.0,0.0,115.496,3.744,4.232,0.0,12.184,0.009775161743164,0.009775161743164,0
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006147878086982,0.0083446502685546,0.0,0.0,0.0,0.005960464477539,0.0,0.0066041946411132,0.0058650970458984,0.007486343383789,0.0112056732177734,0.0071525573730468,0.0071525573730468,0.0215053558349609,0,0.496,1.392,0.0,0.0,115.496,3.744,4.232,0.0,13.216,0.0071525573730468,0.0071525573730468,0
