time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,f1_c_latency_p90_ul_ms,F-node
134,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0064266261769764,0.0088214874267578,0.0071525573730468,0.0071525573730468,0.0043434041147013,0.0052452087402343,0.0061988830566406,0.0104904174804687,0.0104904174804687,0.0081539154052734,0.0104427337646484,0.0192642211914062,0.0,0.496,1.424,0.0,0.0,0.0,3.744,4.232,117.192,100.0,0.0,0.0,0.0,2501.12,0.0,1
135,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061822767874494,0.0083446502685546,0.0090599060058593,0.0090599060058593,0.0050067901611328,0.0050067901611328,0.0074625015258789,0.0083446502685546,0.0083446502685546,0.0099420547485351,0.0103235244750976,0.0243186950683593,0.0,0.496,1.424,0.0,0.0,0.0,8.264,7.736,113.256,100.0,0.0,0.0,0.0,1.192,0.0,1
136,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059723260983898,0.0083446502685546,0.0085830688476562,0.0085830688476562,0.0092983245849609,0.0092983245849609,0.0,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,113.256,100.0,0.0,0.0,0.0,1.192,0.0,1
137,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006257318982891,0.0087499618530273,0.0073909759521484,0.0073909759521484,0.0043427766259036,0.0052452087402343,0.0,0.0138282775878906,0.0138282775878906,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,128.832,100.0,0.0,0.0,0.0,2949.832,0.0,1
138,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0065457820892333,0.009322166442871,0.0085830688476562,0.0085830688476562,0.0041756617810586,0.0050067901611328,0.0,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,112.0,100.0,0.0,0.0,0.0,3774.504,0.0,1
139,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059663952879644,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0058412551879882,0.0068902969360351,0.0064373016357421,0.0069141387939453,0.0069141387939453,0.0086307525634765,0.0130176544189453,0.0247478485107421,0.0,0.496,1.424,0.0,0.0,0.0,3.744,4.232,117.192,100.0,0.0,0.0,0.0,7.28,0.0,1
140,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059795379638671,0.0076532363891601,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0068187713623046,0.011444091796875,0.011444091796875,0.0092029571533203,0.0107288360595703,0.0193119049072265,0.0,0.496,1.36,0.0,0.0,0.0,3.744,4.232,112.0,100.0,0.0,0.0,0.0,0.0,0.0,1
141,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061321258544921,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0063896179199218,0.0073909759521484,0.0073909759521484,0.0081539154052734,0.0101089477539062,0.0233888626098632,0.0,0.496,1.36,0.0,0.0,3.312,8.264,7.736,112.0,0.0,1363.036314646403,3067.819833755493,3067.819833755493,0.0,2659.24768447876,1
142,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006176345977024,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0066757202148437,0.0066757202148437,0.0,0.0061988830566406,0.0061988830566406,0.0,0.0,0.0,1.0,0.496,1.36,1.0,0.0,3.312,0.0,0.0,113.256,0.0,342.99222628275555,2048.508644104004,2048.898506164551,1.192,1639.2035961151123,1
143,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062415848917035,0.0085830688476562,0.0095367431640625,0.0095367431640625,0.0050067901611328,0.0050067901611328,0.0,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.848,1.696,0.0,0.0,113.256,50.0,0.0082254409790039,0.0095367431640625,0.0095367431640625,1.192,0.0106096267700195,1
