time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_ul_count,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,a1_packet_loss_dl_percentage,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
111,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.005847156637966,0.0078439712524414,0.0066757202148437,0.0066757202148437,0.0057220458984375,0.0092983245849609,0.0092983245849609,0.0064849853515625,0.0,0.0,0.0,0.0,0.496,1.36,0.0,1.0,0.0,0.0,0.0,0.0,121.696,0.0,0.0,100.0,0.0,0.0,12.464,1
112,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0058913230895996,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0,0.0133514404296875,0.0133514404296875,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,1.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,100.0,0.0,0.0,0.0,1
113,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060260295867919,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.0,3.0,0.0,0.0,4.088,3.504,112.0,0.0145435333251953,0.0230073928833007,50.0,0.0089645385742187,0.01373291015625,0.0,1
114,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061680428424284,0.0083446502685546,0.0090599060058593,0.0090599060058593,0.0050067901611328,0.0069141387939453,0.0069141387939453,0.0050067901611328,0.011444091796875,0.0185966491699218,0.0185966491699218,0.011444091796875,0.496,1.36,0.0,2.0,0.848,0.848,0.0,0.0,113.256,0.0,0.0,100.0,0.0,0.0,1.192,1
115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060282501519895,0.0078678131103515,0.0073909759521484,0.0073909759521484,0.0052187177870008,0.00762939453125,0.00762939453125,0.0066757202148437,0.0073909759521484,0.0069141387939453,0.0069141387939453,0.0073909759521484,0.496,1.36,0.0,0.0,0.848,0.848,0.0,0.0,121.008,0.0,0.0,100.0,0.0,0.0,19.688,1
116,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061577764050713,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0048677126566569,0.0083446502685546,0.0083446502685546,0.005960464477539,0.0,0.0,0.0,0.0,0.496,1.36,0.0,1.0,0.0,0.0,0.528,0.528,123.64,0.0169277191162109,0.0169277191162109,0.0,0.0050067901611328,0.0050067901611328,93.088,1
117,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061500072479248,0.0085830688476562,0.0090599060058593,0.0090599060058593,0.0063578287760416,0.009775161743164,0.009775161743164,0.0083446502685546,0.0,0.0,0.0,0.0,0.496,1.36,1.0,2.0,0.0,0.0,2.688,4.76,112.0,0.0200271606445312,0.0301361083984375,62.5,0.0071525573730468,0.0096559524536132,45.504,1
118,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060690511571298,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.00762939453125,0.0095367431640625,0.0095367431640625,0.0082015991210937,0.0,0.0,0.0,0.0,0.496,1.36,1.0,1.0,0.0,0.0,3.312,4.76,122.384,0.0159740447998046,0.0268459320068359,42.857142857142854,0.0075101852416992,0.0113248825073242,18.384,1
119,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061051762519191,0.0085830688476562,0.0066757202148437,0.0066757202148437,0.0052213668823242,0.0102519989013671,0.0102519989013671,0.0069141387939453,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,114.6,0.0,0.0,100.0,0.0,0.0,72.304,1
120,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060660329031113,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0052303075790405,0.0121593475341796,0.0121593475341796,0.0069141387939453,0.0,0.0,0.0,0.0,0.496,1.36,0.0,1.0,0.0,0.0,0.0,0.0,117.192,0.0,0.0,100.0,0.0,0.0,114.128,1
121,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061538088974074,0.0083446502685546,0.009775161743164,0.009775161743164,0.005197525024414,0.0071525573730468,0.0071525573730468,0.005960464477539,0.0,0.0,0.0,0.0,0.496,1.36,0.0,1.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,100.0,0.0,0.0,30.088,1
122,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061257050769163,0.0083446502685546,0.0088214874267578,0.0088214874267578,0.0057220458984375,0.0066757202148437,0.0066757202148437,0.0059127807617187,0.0,0.0,0.0,0.0,0.496,1.36,0.0,2.0,0.0,0.0,2.688,4.232,118.448,0.0162919362386067,0.0197887420654296,57.14285714285714,0.0072002410888671,0.0102519989013671,8.496,1
123,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062071450866094,0.0083446502685546,0.007033348083496,0.0065565109252929,0.0066757202148437,0.0098943710327148,0.0099897384643554,0.00762939453125,0.0,0.0,0.0,0.0,1.344,2.208,0.0,1.0,0.0,0.0,3.464,2.976,118.448,0.0199476877848307,0.0360488891601562,40.0,0.0061988830566406,0.0074625015258789,7.664,1
124,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062463295400439,0.0083446502685546,0.0088214874267578,0.0088214874267578,0.005960464477539,0.0123977661132812,0.0123977661132812,0.0067949295043945,0.0,0.0,0.0,0.0,0.496,1.36,1.0,1.0,0.0,0.0,0.528,1.056,117.192,0.0274181365966796,0.0274181365966796,50.0,0.0211000442504882,0.0269174575805664,39.328,1
125,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006035566329956,0.0083684921264648,0.0064373016357421,0.0064373016357421,0.0,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,50.0,0.0,0.0,0.0,1
126,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059962272644042,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.0,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,50.0,0.0,0.0,0.0,1
127,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059497890187733,0.0078678131103515,0.0090599060058593,0.0090599060058593,0.0081062316894531,0.0123977661132812,0.0123977661132812,0.0081062316894531,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.592,0.592,117.192,0.0276565551757812,0.0276565551757812,66.66666666666666,0.005960464477539,0.005960464477539,5.32,1
128,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061603153453153,0.0080347061157226,0.0066757202148437,0.0066757202148437,0.00534454981486,0.0061988830566406,0.0061988830566406,0.0070571899414062,0.0,0.0,0.0,0.0,0.496,1.36,0.0,1.0,0.0,0.0,2.096,3.64,133.464,0.0140666961669921,0.0171184539794921,33.33333333333333,0.0068545341491699,0.0091552734375,86.848,1
129,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060553574443456,0.0081062316894531,0.0061988830566406,0.0061988830566406,0.0069141387939453,0.0066757202148437,0.0066757202148437,0.0069141387939453,0.0,0.0,0.0,0.0,0.496,1.36,0.0,3.0,0.0,0.0,1.12,0.592,113.256,0.0171661376953125,0.026702880859375,66.66666666666666,0.005960464477539,0.005960464477539,1.192,1
130,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.005859640700307,0.0078678131103515,0.0064373016357421,0.0064373016357421,0.0054836273193359,0.0090599060058593,0.0090599060058593,0.0054836273193359,0.0,0.0,0.0,0.0,0.496,1.36,0.0,1.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,100.0,0.0,0.0,1.192,1
131,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060277410072855,0.0083208084106445,0.0069141387939453,0.0069141387939453,0.0054359436035156,0.0128746032714843,0.0128746032714843,0.0078678131103515,0.0,0.0,0.0,0.0,0.496,1.36,0.0,2.0,0.0,0.0,0.592,0.592,119.76,0.0333786010742187,0.0333786010742187,80.0,1375.747839609782,2677.7207374572754,28.744,1
132,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0058798054557534,0.0078678131103515,0.00762939453125,0.00762939453125,0.0054637591044108,0.0085830688476562,0.0085830688476562,0.006413459777832,0.0,0.0,0.0,0.0,0.496,1.36,1.0,2.0,0.0,0.0,0.0,0.592,117.192,0.0,0.0,100.0,335.64988772074383,1637.6227855682373,81.36,1
133,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061280656569074,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.004783272743225,0.0107288360595703,0.0107288360595703,0.0063180923461914,0.0,0.0,0.0,0.0,0.496,1.36,0.0,1.0,0.0,0.0,0.0,0.0,122.384,0.0,0.0,100.0,0.0,0.0,142.64,1
134,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061547756195068,0.0083446502685546,0.0061988830566406,0.0061988830566406,0.0,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.0,1.0,0.0,0.0,1.904,3.248,112.0,0.0172853469848632,0.0229120254516601,60.0,-855.6774854660034,0.0101327896118164,0.0,1
135,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061146655485997,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.0064373016357421,0.009775161743164,0.009775161743164,0.0064373016357421,0.0,0.0,0.0,0.0,0.496,1.36,0.0,5.0,0.0,0.0,0.528,0.528,113.256,0.0243186950683593,0.0243186950683593,80.0,0.0102519989013671,0.0102519989013671,1.192,1
