time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,f1_u_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
60,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063045858749615,0.0085830688476562,0.0061988830566406,0.005960464477539,0.0072002410888671,0.0073432922363281,0.0068902969360351,0.011444091796875,0.0056425730387369,0.011444091796875,0.0070571899414062,0.011301040649414,0.0114202499389648,0.0287294387817382,0.496,1.424,6.576,6.864,123.64,8.264,7.736,0.0085830688476562,0.0085830688476562,11.032,0
61,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061847893475311,0.0085830688476562,0.0072717666625976,0.0056743621826171,0.0083446502685546,0.0072956085205078,0.0063419342041015,0.0104904174804687,0.0042761525800151,0.0104904174804687,0.0054836273193359,0.0079631805419921,0.0117778778076171,0.023508071899414,0.496,1.424,6.448,7.008,123.64,3.744,4.232,0.0081062316894531,0.0081062316894531,317.064,0
62,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006117820739746,0.0081062316894531,0.0064969062805175,0.0079154968261718,0.007486343383789,0.0113964080810546,0.0063419342041015,0.013589859008789,0.0,0.013589859008789,0.0,0.0083446502685546,0.0112056732177734,0.0215530395507812,0.496,1.424,6.096,5.728,112.0,3.744,4.232,0.0104904174804687,0.0104904174804687,0.0,0
63,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059878826141357,0.0078678131103515,0.0070095062255859,0.0061511993408203,0.009012222290039,0.0074386596679687,0.0060558319091796,0.0107288360595703,0.0,0.0107288360595703,0.0,0.0081539154052734,0.0112056732177734,0.0262975692749023,0.496,1.36,8.88,9.04,112.0,8.264,7.736,0.0085830688476562,0.0085830688476562,0.0,0
64,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061774253845214,0.0081062316894531,0.0080585479736328,0.0073432922363281,0.0103473663330078,0.0103950500488281,0.0059127807617187,0.0121593475341796,0.0,0.0121593475341796,0.0,0.0074386596679687,0.0111579895019531,0.0216960906982421,0.496,1.36,6.576,6.864,112.0,3.744,4.232,0.009775161743164,0.009775161743164,0.0,0
65,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061619281768798,0.0081062316894531,0.007788340250651,0.0062465667724609,0.010848045349121,0.0082969665527343,0.0071525573730468,0.0116825103759765,0.0,0.0116825103759765,0.0,0.0089645385742187,0.0124454498291015,0.0241756439208984,0.496,1.36,6.448,7.008,112.0,3.744,4.232,0.00762939453125,0.00762939453125,0.0,0
66,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061540320368096,0.0083446502685546,0.0070929527282714,0.0062942504882812,0.0095605850219726,0.0080585479736328,0.0064849853515625,0.0116825103759765,0.0068346659342447,0.0116825103759765,0.0088214874267578,0.0093460083007812,0.0113248825073242,0.0269651412963867,0.496,1.36,6.096,5.728,118.448,8.264,7.736,0.0104904174804687,0.0104904174804687,19.416,0
67,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063624358983431,0.0085830688476562,0.0074704488118489,0.0054438908894856,0.009775161743164,0.0066757202148437,0.0069141387939453,0.0138282775878906,0.0039501484378138,0.0138282775878906,0.0047683715820312,0.0085353851318359,0.0121593475341796,0.022745132446289,0.496,1.424,9.856,10.176,143.416,3.744,4.232,0.0088214874267578,0.0088214874267578,8779.744,0
68,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072735459057252,0.009775161743164,0.0080466270446777,0.0061988830566406,0.0091075897216796,0.007939338684082,0.006723403930664,0.011444091796875,0.0038748340947287,0.011444091796875,0.0045299530029296,0.0087261199951171,0.0115394592285156,0.0220298767089843,0.496,1.424,5.6,5.728,113.256,3.744,4.232,0.0088214874267578,0.0088214874267578,15393.536,0
69,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061953067779541,0.0086069107055664,0.0072717666625976,0.0054836273193359,0.0102519989013671,0.006866455078125,0.006866455078125,0.011444091796875,0.0,0.011444091796875,0.0,0.0091314315795898,0.0118255615234375,0.0298976898193359,0.496,1.424,6.448,7.008,112.0,8.264,7.736,0.0085830688476562,0.0085830688476562,0.0,0
