time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
104,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067071216862376,0.0092983245849609,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0147819519042968,0.0147819519042968,0.0068187713623046,0.0,0.0,0.0097274780273437,0.0116348266601562,0.0224590301513671,0.496,1.36,0.0,0.0,30.411686586985393,131.4,3.744,4.232,226.1813123717563,226.43678188323972,14338.168,1
105,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060606002807617,0.0078916549682617,0.00762939453125,0.00762939453125,0.0,0.0,0.0123977661132812,0.0123977661132812,0.0060558319091796,0.0,0.0,0.007939338684082,0.0107765197753906,0.0271320343017578,0.496,1.424,0.0,0.0,30.411686586985393,112.0,7.488,8.464,0.0,0.0,0.0,1
106,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062286853790283,0.0086069107055664,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0112056732177734,0.0112056732177734,0.0065803527832031,0.0,0.0,0.0084877014160156,0.0119209289550781,0.0317096710205078,0.496,1.36,0.0,0.0,30.411686586985393,112.0,12.008,11.968,0.0,0.0,0.0,1
107,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061714649200439,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0066757202148437,0.0066757202148437,0.0062942504882812,0.0,0.0,0.0080347061157226,0.0108003616333007,0.0257492065429687,0.496,1.36,0.0,0.0,0.0,112.0,8.264,7.736,226.10784493959864,226.330041885376,0.0,1
108,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062822708355382,0.0083446502685546,0.00762939453125,0.00762939453125,0.0,0.0,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,127.576,0.0,0.0,0.0,0.0,248.992,1
109,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063570419160446,0.0085830688476562,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,117.104,0.0,0.0,226.00663625277005,226.0078191757202,48.744,1
110,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063475995960802,0.0085830688476562,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0102519989013671,0.0102519989013671,0.0063419342041015,0.0,0.0,0.0084877014160156,0.0110626220703125,0.0210285186767578,0.496,1.424,0.0,0.0,0.0,115.792,3.744,4.232,226.00718906947543,226.00882053375244,46.768,1
111,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061099209002594,0.0083446502685546,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0112056732177734,0.0112056732177734,0.0061511993408203,0.0,0.0,0.0081777572631835,0.0112295150756835,0.0296354293823242,0.496,1.424,0.0,0.0,0.0,113.256,7.488,8.464,226.00674629211423,226.00674629211423,3.632,1
112,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064607911509246,0.0088214874267578,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0166893005371093,0.0166893005371093,0.0065008799235026,0.0,0.0,0.0090599060058593,0.0110944112141927,0.0263214111328125,0.496,1.392,0.0,0.0,0.0,118.808,12.008,11.968,226.0078733617609,226.00984573364255,27.928,1
113,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006089756144813,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0071525573730468,0.0071525573730468,0.0066280364990234,0.0,0.0,0.0090599060058593,0.010538101196289,0.0240802764892578,0.496,1.424,0.0,0.0,0.0,117.192,8.264,7.736,226.00730260213217,226.00879669189453,37.528,1
114,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062739849090576,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,116.632,0.0,0.0,226.00751831417992,226.0093688964844,186.544,1
115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060677528381347,0.0083446502685546,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,1
116,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062260297265383,0.0085830688476562,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0069141387939453,0.0069141387939453,0.006723403930664,0.0,0.0,0.0092029571533203,0.0115871429443359,0.0220298767089843,0.496,1.392,0.0,0.0,0.0,119.792,3.744,4.232,226.00847482681277,226.0101556777954,11.168,1
117,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063364778585101,0.0085830688476562,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0102519989013671,0.0102519989013671,0.0063657760620117,0.0,0.0,0.0082015991210937,0.0107526779174804,0.0267505645751953,0.496,1.424,0.0,0.0,0.0,113.256,7.488,8.464,226.00793838500977,226.00793838500977,1.192,1
118,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061300856557058,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0066757202148437,0.0066757202148437,0.0059445699055989,0.0,0.0,0.008249282836914,0.0102678934733072,0.025796890258789,0.496,1.36,0.0,0.0,0.0,113.256,12.008,11.968,226.00960731506348,226.00960731506348,1.192,1
