time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
84,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064195092044659,0.0085830688476562,0.0095367431640625,0.0095367431640625,0.0,0.009775161743164,0.009775161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,114.344,0.0040610631306966,0.0050067901611328,1735.488,0
85,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060176849365234,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0,0.011444091796875,0.011444091796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,112.0,0.0042915344238281,0.0049591064453124,85.76,0
86,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060820579528808,0.0088214874267578,0.0071525573730468,0.0071525573730468,0.0,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0063419342041015,0.0,0.0090599060058593,0.0118970870971679,0.0295877456665039,0.496,1.424,0.0,0.0,8.464,7.488,0.0,112.0,0.0,0.0,0.0,0
87,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062525272369384,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0058412551879882,0.0,0.0081539154052734,0.010848045349121,0.0272035598754882,0.496,1.36,0.0,0.0,8.464,7.488,0.0,112.0,0.0,0.0,0.0,0
88,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059628368017092,0.0081062316894531,0.00762939453125,0.00762939453125,0.0,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0063896179199218,0.0,0.0083446502685546,0.010991096496582,0.0260114669799804,0.496,1.36,0.0,0.0,15.472,16.528,0.0,113.256,0.00762939453125,0.00762939453125,1.192,0
89,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060387511751545,0.0078678131103515,0.0064373016357421,0.0064373016357421,0.0,0.0104904174804687,0.0104904174804687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,113.256,0.0083446502685546,0.0083446502685546,1.192,0
90,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059818153950705,0.0078678131103515,0.0078678131103515,0.0078678131103515,0.0,0.011444091796875,0.011444091796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,113.256,0.0050067901611328,0.0050067901611328,1.192,0
91,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060772895812988,0.0078916549682617,0.0069141387939453,0.0069141387939453,0.0,0.0104904174804687,0.0104904174804687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
92,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061111070623445,0.0083446502685546,0.0058650970458984,0.0054836273193359,0.0,0.0100135803222656,0.0123023986816406,0.0,0.0,0.0063180923461914,0.0,0.0087976455688476,0.0110626220703125,0.0293970108032226,1.344,2.208,0.0,0.0,8.464,7.488,0.0,117.192,0.0065962473551432,0.0085830688476562,30.328,0
93,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059199333190917,0.0085830688476562,0.0095367431640625,0.0095367431640625,0.0,0.0159740447998046,0.0159740447998046,0.0,0.0,0.0060929192437065,0.0,0.0080108642578125,0.0107071616432883,0.0286102294921875,0.496,1.424,0.0,0.0,7.936,8.016,0.0,112.0,0.0,0.0,0.0,0
94,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062403987296185,0.0083446502685546,0.0064373016357421,0.0064373016357421,0.0,0.0166893005371093,0.0166893005371093,0.0,0.0,0.0068187713623046,0.0,0.0089645385742187,0.011444091796875,0.0284194946289062,0.496,1.36,0.0,0.0,15.472,16.528,0.0,117.192,0.00762939453125,0.0085830688476562,17.456,1
95,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062178616500019,0.0083446502685546,0.0095367431640625,0.0095367431640625,0.0,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,117.192,226.1159420013428,226.2515544891357,52.712,1
96,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065375065457993,0.0092983245849609,0.0078678131103515,0.0078678131103515,0.0,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,144.408,226.03106216008484,226.1061668395996,4302.24,1
97,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070982640332514,0.0095367431640625,0.0133514404296875,0.0133514404296875,0.0,0.0200271606445312,0.0200271606445312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,118.448,226.0244373007272,226.10080242156985,8761.8,1
98,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073862547921662,0.009775161743164,0.0143051147460937,0.0143051147460937,0.0,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0066757202148437,0.0,0.0087976455688476,0.011444091796875,0.0277280807495117,0.496,1.424,0.0,0.0,8.464,7.488,0.0,118.448,226.00923433374243,226.01008415222168,12007.048,1
99,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073601357379362,0.009775161743164,0.0138282775878906,0.0138282775878906,0.0,0.0143051147460937,0.0143051147460937,0.0,0.0,0.0065565109252929,0.0,0.0089883804321289,0.0111103057861328,0.0264644622802734,0.496,1.424,0.0,0.0,8.464,7.488,0.0,117.192,226.0127381132303,226.01056098937988,10883.72,1
100,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068773677693077,0.0090599060058593,0.0119209289550781,0.0119209289550781,0.0,0.0147819519042968,0.0147819519042968,0.0,0.0,0.0065207481384277,0.0,0.0086069107055664,0.0110745429992675,0.0268459320068359,0.496,1.424,0.0,0.0,15.472,16.528,0.0,117.192,226.01221980793136,226.01115703582764,10066.792,1
101,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072771043919805,0.0100135803222656,0.0100135803222656,0.0100135803222656,0.0,0.0133514404296875,0.0133514404296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,117.192,226.0198226157329,226.1016607284546,7713.528,1
102,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065167744954427,0.0088214874267578,0.0126361846923828,0.0126361846923828,0.0,0.0119209289550781,0.0119209289550781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,117.192,226.01387960493832,226.01122856140137,2410.496,1
103,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006964891263754,0.009775161743164,0.0112056732177734,0.0112056732177734,0.0,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,118.448,226.0285329967273,226.10368728637692,5803.312,1
104,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072398988327177,0.009775161743164,0.009775161743164,0.009775161743164,0.0042915344238281,0.0104904174804687,0.0104904174804687,0.0109672546386718,0.0042915344238281,0.0062465667724609,0.0109672546386718,0.008392333984375,0.0114917755126953,0.0267982482910156,0.496,1.424,0.848,0.848,8.464,7.488,0.0,118.448,226.0131934457574,226.0127067565918,8794.264,1
105,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070923625832737,0.009775161743164,0.0116825103759765,0.0116825103759765,0.0066757202148437,0.0183582305908203,0.0183582305908203,0.005960464477539,0.0066757202148437,0.0068902969360351,0.005960464477539,0.0094175338745117,0.0111579895019531,0.0273942947387695,0.496,1.424,0.848,0.848,8.464,7.488,0.0,118.448,226.00892143791884,226.00984573364255,6732.816,1
