time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,a1_latency_p90_ul_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,a1_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
47,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062236691465472,0.0083446502685546,0.0085830688476562,0.0085830688476562,0.0062942504882812,0.013589859008789,0.0080585479736328,0.013589859008789,0.0,0.0,0.0117778778076171,0.0,0.0,0.0224590301513671,0.496,1.424,0.0,0.0,4.232,3.744,115.904,0.0047418806287977,0.0055789947509765,28.456,0
48,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059794430709003,0.0078678131103515,0.009775161743164,0.009775161743164,0.0065803527832031,0.0085830688476562,0.0092744827270507,0.0085830688476562,0.0,0.0,0.0113964080810546,0.0,0.0,0.0260591506958007,0.496,1.424,0.0,0.0,7.736,8.264,114.968,0.0053048133850097,0.0066041946411132,27.632,0
49,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006147878086982,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0058174133300781,0.0116825103759765,0.007486343383789,0.0116825103759765,0.0,0.0,0.0118255615234375,0.0,0.0,0.0226497650146484,0.496,1.424,0.0,0.0,4.232,3.744,114.392,0.0050067901611328,0.0071525573730468,93.144,0
50,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060458681476649,0.0081062316894531,0.0092983245849609,0.0092983245849609,0.0057220458984375,0.0085830688476562,0.0061273574829101,0.0085830688476562,0.0,0.0,0.0104904174804687,0.0,0.0,0.0180006027221679,0.496,1.424,0.0,0.0,3.704,4.272,114.392,0.0049613770984468,0.0057220458984375,144.504,0
51,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061583518981933,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0068426132202148,0.0102519989013671,0.0090599060058593,0.0102519989013671,0.0,0.0,0.0112295150756835,0.0,0.0,0.0247001647949218,0.496,1.424,0.0,0.0,7.736,8.264,112.0,0.0,0.0,0.0,0
52,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059830015571556,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0069618225097656,0.0092983245849609,0.0087261199951171,0.0092983245849609,0.0,0.0,0.012063980102539,0.0,0.0,0.0233173370361328,0.496,1.36,0.0,0.0,4.232,3.744,113.256,0.00762939453125,0.00762939453125,1.192,0
53,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063246162376593,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.0071525573730468,0.0107288360595703,0.0088214874267578,0.0107288360595703,0.0,0.0,0.012063980102539,0.0,0.0,0.0230312347412109,0.496,1.36,0.0,0.0,4.232,3.744,113.256,0.0042915344238281,0.0042915344238281,1.192,0
54,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006147878086982,0.0081062316894531,0.0052452087402343,0.0052452087402343,0.0063048468695746,0.0102519989013671,0.0088691711425781,0.0102519989013671,0.0,0.0,0.010858882557262,0.0,0.0,0.0259876251220703,0.496,1.36,0.0,0.0,7.208,8.792,113.256,0.00762939453125,0.00762939453125,1.192,0
55,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060961978270275,0.0083208084106445,0.0088214874267578,0.0088214874267578,0.006866455078125,0.0069141387939453,0.0091075897216796,0.0069141387939453,0.0,0.0,0.0113487243652343,0.0,0.0,0.0217437744140625,0.496,1.36,0.0,0.0,4.232,3.744,122.384,0.0043782320889559,0.0069141387939453,127.496,0
56,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060462951660156,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0067710876464843,0.0081062316894531,0.0099658966064453,0.0081062316894531,0.0,0.0,0.0108718872070312,0.0,0.0,0.0202178955078125,0.496,1.424,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,0
