time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
138,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059260657770716,0.00762939453125,0.0069141387939453,0.0069141387939453,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,113.256,0.0,0.0,21.013259887695312,21.013259887695312,1.192,1
139,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057706785439258,0.0073909759521484,0.0069141387939453,0.0069141387939453,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,113.256,0.0,0.0,21.009445190429688,21.009445190429688,1.192,1
140,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060017746273833,0.0078678131103515,0.0061988830566406,0.0061988830566406,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,118.448,0.0,0.0,21.00785573323568,21.009016036987305,14.104,1
141,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059533475050285,0.0078678131103515,0.0102519989013671,0.0102519989013671,0.0066757202148437,0.0066757202148437,0.0066227383083767,0.0,0.0,0.0,0.0,0.0086307525634765,0.0112273476340553,0.028848648071289,0.496,1.424,0.0,0.0,115.8,7.936,8.016,21.010875701904297,21.010875701904297,3.512,1
142,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062354720465027,0.0081062316894531,0.0085830688476562,0.0085830688476562,0.0109672546386718,0.0109672546386718,0.0058889389038085,0.0074174669053819,0.0059366226196289,0.0093460083007812,0.0084161758422851,0.0086069107055664,0.0109195709228515,0.0266313552856445,0.496,1.424,11.728,26.336,118.128,8.464,7.488,21.007180213928223,21.00803852081299,5.552,1
143,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060546398162841,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0066757202148437,0.0066757202148437,0.0063180923461914,0.0,0.0,0.0,0.0,0.0081300735473632,0.0104069709777832,0.0247716903686523,0.496,1.36,0.0,0.0,112.0,15.472,16.528,0.0,0.0,0.0,1
144,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060248374938964,0.0081062316894531,0.0083446502685546,0.0083446502685546,0.0119209289550781,0.0119209289550781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,1
145,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062401932064849,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0112056732177734,0.0112056732177734,0.0,0.007718801498413,0.0059339735243055,0.0099658966064453,0.0072002410888671,0.0,0.0,0.0,0.496,1.36,21.856,13.648,113.752,0.0,0.0,21.012067794799805,21.012067794799805,1.192,1
146,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006132457979876,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.011444091796875,0.011444091796875,0.0,0.0107288360595703,0.0,0.0107288360595703,0.0,0.0,0.0,0.0,0.496,1.36,0.496,0.0,113.256,0.0,0.0,21.012544631958008,21.012544631958008,1.192,1
147,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063613872622969,0.0085830688476562,0.0112056732177734,0.0112056732177734,0.00762939453125,0.00762939453125,0.0065088272094726,0.0,0.0,0.0,0.0,0.0086545944213867,0.011610984802246,0.0281333923339843,0.496,1.776,0.0,0.0,113.256,8.464,7.488,21.007776260375977,21.007776260375977,1.192,1
