time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
124,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060423096614097,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0,0.0058650970458984,0.0,0.0,0.0,0.0080108642578125,0.0116825103759765,0.0116825103759765,0.010840098063151,0.0255107879638671,0.496,1.36,0.0,0.0,11.968,12.008,113.256,21.012067794799805,21.012067794799805,1.192,1
125,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062119308395765,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0,0.0060081481933593,0.0,0.0,0.0,0.0077247619628906,0.0116825103759765,0.0116825103759765,0.0115394592285156,0.0225067138671875,0.496,1.36,0.0,0.0,4.232,3.744,113.256,21.00849151611328,21.00849151611328,1.192,1
126,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063507118035311,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0,0.0070095062255859,0.0,0.0,0.0,0.0091075897216796,0.0073909759521484,0.0073909759521484,0.0107765197753906,0.0269412994384765,0.496,1.36,0.0,0.0,7.736,8.264,113.256,21.006107330322266,21.006107330322266,1.192,1
127,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006050166517201,0.0078678131103515,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.011444091796875,0.011444091796875,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,117.136,21.01194858551025,21.01204395294189,4.56,1
128,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062143802642822,0.0083684921264648,0.0104904174804687,0.0104904174804687,0.0,0.0066280364990234,0.0,0.0,0.0,0.0081539154052734,0.0102519989013671,0.0102519989013671,0.011301040649414,0.0220775604248046,0.496,1.424,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,1
129,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061428546905517,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0,0.0065326690673828,0.0,0.0,0.0,0.0085830688476562,0.0109672546386718,0.0109672546386718,0.011301040649414,0.0220298767089843,0.496,1.36,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,1
130,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061559677124023,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0,0.0060240427652994,0.0,0.0,0.0,0.0080108642578125,0.00762939453125,0.00762939453125,0.0104745229085286,0.0255107879638671,0.496,1.36,0.0,0.0,11.968,12.008,112.0,0.0,0.0,0.0,1
131,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060458681476649,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.0,0.0069618225097656,0.0,0.0,0.0,0.0098228454589843,0.0071525573730468,0.0071525573730468,0.0110149383544921,0.0215053558349609,0.496,1.36,0.0,0.0,4.232,3.744,113.256,21.007776260375977,21.007776260375977,1.192,1
132,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062392125675334,0.0085830688476562,0.0092983245849609,0.0092983245849609,0.0,0.0063180923461914,0.0,0.0,0.0,0.0086545944213867,0.0083446502685546,0.0083446502685546,0.010538101196289,0.02593994140625,0.496,1.36,0.0,0.0,7.736,8.264,113.256,21.0115909576416,21.0115909576416,1.192,1
133,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060660329031113,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0,0.0,0.0,0.0085830688476562,0.0085830688476562,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,113.256,21.00825309753418,21.00825309753418,1.192,1
134,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061964988708496,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0064373016357421,0.0057220458984375,0.0061988830566406,0.0064373016357421,0.0061988830566406,0.0072479248046875,0.009775161743164,0.009775161743164,0.010538101196289,0.0199794769287109,0.496,1.36,0.848,0.848,4.232,3.744,112.0,0.0,0.0,0.0,1
135,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060725212097167,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0042915344238281,0.0061988830566406,0.0119209289550781,0.0042915344238281,0.0119209289550781,0.0077724456787109,0.0073909759521484,0.0073909759521484,0.0110149383544921,0.0207901000976562,0.496,1.36,0.848,0.848,4.232,3.744,112.0,0.0,0.0,0.0,1
136,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060951709747314,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0,0.0058968861897786,0.0,0.0,0.0,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0106175740559895,0.0258445739746093,0.496,1.36,0.0,0.0,11.968,12.008,112.0,0.0,0.0,0.0,1
137,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060963630676269,0.0081300735473632,0.0071525573730468,0.0071525573730468,0.0,0.0055789947509765,0.0,0.0,0.0,0.0071525573730468,0.0090599060058593,0.0090599060058593,0.0107288360595703,0.0208377838134765,0.496,1.36,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,1
138,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060725212097167,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0,0.0056982040405273,0.0,0.0,0.0,0.0078916549682617,0.0112056732177734,0.0112056732177734,0.0108242034912109,0.0286579132080078,0.496,1.36,0.0,0.0,7.736,8.264,112.0,0.0,0.0,0.0,1
139,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006147878086982,0.0083446502685546,0.0123977661132812,0.0123977661132812,0.0,0.0,0.0,0.0,0.0,0.0,0.00762939453125,0.00762939453125,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,113.256,21.010398864746094,21.010398864746094,1.192,1
140,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059296242633269,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0,0.0066280364990234,0.0,0.0,0.0,0.0092983245849609,0.0083446502685546,0.0083446502685546,0.0104904174804687,0.0192642211914062,0.496,1.36,0.0,0.0,4.232,3.744,113.256,21.00682258605957,21.00682258605957,1.192,1
141,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064560011321423,0.0083446502685546,0.0100135803222656,0.0100135803222656,0.0069671207004123,0.0056743621826171,0.0067287021213107,0.0084400177001953,0.0072002410888671,0.0071525573730468,0.0107288360595703,0.0107288360595703,0.0113487243652343,0.0226020812988281,0.496,1.36,11.728,25.84,4.232,3.744,128.832,21.17352736623664,21.428918838500977,202.152,1
142,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060868263244628,0.0083684921264648,0.0071525573730468,0.0071525573730468,0.0095367431640625,0.0058968861897786,0.0,0.0095367431640625,0.0,0.0080108642578125,0.0107288360595703,0.0107288360595703,0.0105857849121093,0.0257015228271484,0.496,1.424,0.0,0.496,11.968,12.008,112.0,0.0,0.0,0.0,1
