time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
143,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085830688476562,0.0085830688476562,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0058889389038085,0.0150203704833984,0.0150203704833984,0.0,0.0,0.0077486038208007,0.0103712081909179,0.0242471694946289,0.496,1.36,0.0,0.0,8.264,7.736,0.0,0.84,3940.006732940674,3940.006732940674,0.0,1
144,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0090599060058593,0.0090599060058593,0.0102519989013671,0.0102519989013671,0.0078678131103515,0.0078678131103515,0.0,0.0092983245849609,0.0092983245849609,0.0054836273193359,0.0054836273193359,0.0,0.0,0.0,0.496,1.36,0.784,0.848,0.0,0.0,0.0,1.096,3940.008282661438,3940.009522438049,0.0,1
145,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073629267075482,0.0092983245849609,0.0083446502685546,0.0083446502685546,0.0071525573730468,0.0098943710327148,0.0,0.0131130218505859,0.0131130218505859,0.0087916851043701,0.0114202499389648,0.0,0.0,0.0,0.496,1.392,12.864,21.504,0.0,0.0,0.0,72.672,3940.007734298706,3940.009927749634,2.4,1
146,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073629267075482,0.0092983245849609,0.0102519989013671,0.0102519989013671,0.0,0.0,0.0066757202148437,0.0171661376953125,0.0171661376953125,0.0,0.0,0.0085830688476562,0.0100135803222656,0.0175237655639648,0.496,1.776,0.0,0.0,4.272,3.704,0.0,72.672,3940.007734298706,3940.009927749634,2.4,1
147,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073629267075482,0.0092983245849609,0.00762939453125,0.00762939453125,0.0,0.0,0.0060319900512695,0.0145435333251953,0.0145435333251953,0.0,0.0,0.0086307525634765,0.0109434127807617,0.0266551971435546,0.496,1.776,0.0,0.0,7.488,8.464,0.0,72.672,3940.007734298706,3940.009927749634,2.4,1
148,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073629267075482,0.0092983245849609,0.00762939453125,0.00762939453125,0.0,0.0,0.0059788043682391,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0080585479736328,0.009929432588465,0.0246047973632812,0.496,1.808,0.0,0.0,13.064,10.912,0.0,72.672,3940.007734298706,3940.009927749634,2.4,1
149,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073629267075482,0.0092983245849609,0.00762939453125,0.00762939453125,0.0,0.0,0.0058889389038085,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0083684921264648,0.0109195709228515,0.025033950805664,0.496,1.84,0.0,0.0,8.264,7.736,0.0,72.672,3940.007734298706,3940.009927749634,2.4,1
150,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065899834844279,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.0,0.0,0.496,1.84,0.0,0.0,0.0,0.0,0.0,115.44,3940.007448196411,3940.008592605591,8.864,1
151,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064873695373535,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.011444091796875,0.011444091796875,0.0,0.0,0.0,0.0,0.0,0.496,1.776,0.0,0.0,0.0,0.0,0.0,112.0,3940.010905265808,3940.01100063324,0.0,1
152,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061632981940881,0.0081062316894531,0.00762939453125,0.00762939453125,0.0,0.0,0.0060081481933593,0.011444091796875,0.011444091796875,0.0,0.0,0.00762939453125,0.01068115234375,0.0202655792236328,0.496,1.776,0.0,0.0,3.744,4.232,0.0,112.904,0.0,0.0,2.4,1
