time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060701370239257,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0123977661132812,0.0123977661132812,0.0,0.0065326690673828,0.008392333984375,0.0115871429443359,0.0221729278564453,0.496,1.36,0.0,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060684052272815,0.0081062316894531,0.0075578689575195,0.0063180923461914,0.0,0.0,0.0,0.0088214874267578,0.0093936920166015,0.0,0.0061511993408203,0.0084161758422851,0.0106334686279296,0.0252485275268554,1.344,2.208,0.0,0.0,0.0,7.736,8.264,117.192,0.0054836273193359,0.0077247619628906,25.0,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058984756469726,0.0078678131103515,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,112.0,0.0081062316894531,0.0081062316894531,2.488,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061427845674402,0.0083446502685546,0.0104904174804687,0.0104904174804687,0.0,0.0,0.0,0.013589859008789,0.013589859008789,0.0,0.0058174133300781,0.0071048736572265,0.0111103057861328,0.0216007232666015,0.496,1.36,0.0,0.0,0.0,4.232,3.744,122.4,0.007947285970052,0.008249282836914,6.76,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062214201362571,0.0085830688476562,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0081062316894531,0.0081062316894531,0.0,0.0060081481933593,0.00762939453125,0.0118255615234375,0.02288818359375,0.496,1.36,0.0,0.0,0.0,4.232,3.744,113.256,0.005960464477539,0.005960464477539,1.192,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059569059912838,0.0078678131103515,0.009775161743164,0.009775161743164,0.0,0.0,0.0,0.0102519989013671,0.0102519989013671,0.0,0.0058968861897786,0.0078678131103515,0.0104586283365885,0.026559829711914,0.496,1.36,0.0,0.0,0.0,11.968,12.008,113.256,0.0047683715820312,0.0047683715820312,1.192,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061016177656638,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0102519989013671,0.0102519989013671,0.0,0.0060081481933593,0.007486343383789,0.0118732452392578,0.0228404998779296,0.496,1.36,0.0,0.0,0.0,4.232,3.744,113.256,0.009775161743164,0.009775161743164,1.192,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006075522199792,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0109672546386718,0.0109672546386718,0.0,0.0062227249145507,0.0086784362792968,0.0102758407592773,0.0246286392211914,0.496,1.36,0.0,0.0,0.0,7.736,8.264,117.192,0.0090599060058593,0.0090599060058593,5.56,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062035125436134,0.0083446502685546,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0104904174804687,0.0104904174804687,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,134.128,0.0058809916178385,0.0072956085205078,34.744,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060885699827279,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.009775161743164,0.009775161743164,0.0,0.0058174133300781,0.0071048736572265,0.0103473663330078,0.0194072723388671,0.496,1.36,0.0,0.0,0.0,4.232,3.744,115.288,0.0051498413085937,0.0062465667724609,26.536,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060069561004638,0.0081062316894531,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0154972076416015,0.0154972076416015,0.0,0.0075817108154296,0.0102519989013671,0.0113964080810546,0.0214576721191406,0.496,1.36,0.0,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059687676121346,0.0078678131103515,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0069141387939453,0.0069141387939453,0.0,0.0057061513264973,0.0080108642578125,0.0109354654947916,0.0267505645751953,0.496,1.36,0.0,0.0,0.0,11.968,12.008,113.256,0.0078678131103515,0.0078678131103515,1.192,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059356783876324,0.0081062316894531,0.009775161743164,0.009775161743164,0.0,0.0,0.0,0.0138282775878906,0.0138282775878906,0.0,0.0055432319641113,0.0060558319091796,0.0107685724894205,0.0183582305908203,0.496,1.36,0.0,0.0,0.0,3.704,4.272,117.888,0.0075101852416992,0.0087499618530273,5.536,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059127807617187,0.0078916549682617,0.00762939453125,0.00762939453125,0.0042915344238281,0.0042915344238281,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0061750411987304,0.0083684921264648,0.0104427337646484,0.024580955505371,0.496,1.36,0.848,0.848,0.0,7.736,8.264,112.0,0.0,0.0,0.0,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060707775514517,0.0078678131103515,0.0073909759521484,0.0073909759521484,0.0081062316894531,0.0081062316894531,0.005960464477539,0.0121593475341796,0.0121593475341796,0.005960464477539,0.0,0.0,0.0,0.0,0.496,1.36,0.848,0.848,0.0,0.0,0.0,113.256,0.0078678131103515,0.0078678131103515,1.192,0
