time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,e2_du_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,a1_retransmissions_ul_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_ul_percentage,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,a1_packet_loss_dl_percentage,f1_c_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
28,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0066060831051061,0.0083446502685546,0.0044079714043195,0.0058650970458984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.448,7.008,122.384,33.33333333333333,3.744,4.232,20.0,0.0,1276.6597509384155,1109.4735860824585,-899.0591287612915,-1051.258385181427,0.0066280364990234,0.0087261199951171,0.022745132446289,0.0124931335449218,384.12,0
29,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0066060831051061,0.0083446502685546,0.0044079714043195,0.0058650970458984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.096,5.728,122.384,25.0,3.744,4.232,40.0,0.0,1250.7682800292969,1067.3595269521077,-866.3618087768555,-1055.3936958312988,0.005960464477539,0.0075340270996093,0.0209808349609375,0.0110149383544921,384.12,0
30,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0069082373439675,0.0090360641479492,0.0040865591748267,0.0047683715820312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.88,9.04,122.384,20.0,8.264,7.736,20.0,0.0,1228.3016204833984,1009.5213651657104,-885.4496955871582,-1135.529637336731,0.0067710876464843,0.0097513198852539,0.0286102294921875,0.0114202499389648,2110.424,0
31,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0071430680763662,0.0090599060058593,0.0041490313650547,0.0052452087402343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.576,6.864,117.192,20.0,3.744,4.232,20.0,0.0,1226.6193389892578,1069.0117478370669,-836.7613792419434,-1009.6772909164428,0.0065803527832031,0.0084400177001953,0.0230312347412109,0.0119686126708984,2507.064,0
32,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0064467439557066,0.008559226989746,0.0040785471598307,0.0047683715820312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.448,7.008,118.448,33.33333333333333,3.744,4.232,20.0,0.0,1291.6718482971191,1123.7562894821167,-887.0652914047241,-1050.9691834449768,0.0060081481933593,0.007486343383789,0.0197887420654296,0.0106334686279296,733.0,0
33,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0061205963590251,0.0081062316894531,0.0050067901611328,0.0050067901611328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.096,5.728,113.256,25.0,8.264,7.736,40.0,0.0,1245.973253250122,1067.686398824056,-873.1138706207275,-1069.2920684814453,0.0067710876464843,0.0090360641479492,0.0294446945190429,0.0120162963867187,1.192,0
34,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0065851211547851,0.0081062316894531,0.0054836273193359,0.0054836273193359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.88,9.04,112.696,20.0,3.744,4.232,20.0,0.0,1224.1661548614502,1010.5042457580566,-892.0427322387695,-1141.311526298523,0.0064849853515625,0.0095844268798828,0.0230789184570312,0.0116825103759765,1.192,0
35,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0067031383514404,0.0088214874267578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.576,6.864,112.0,20.0,3.744,4.232,20.0,0.0,1223.0289220809937,1069.0020322799685,-842.4778938293457,-1010.4415416717528,0.0064849853515625,0.0085830688476562,0.0230789184570312,0.0117301940917968,0.0,0
36,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.006566047668457,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.448,7.008,112.0,33.33333333333333,8.264,7.736,20.0,0.0,1286.6580724716189,1121.9903230667114,-893.4120655059814,-1052.1045327186584,0.0061988830566406,0.0086069107055664,0.0261783599853515,0.0112533569335937,0.0,0
37,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0066673755645751,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.096,5.728,112.0,25.0,3.744,4.232,40.0,0.0,1243.023920059204,1068.023920059204,-875.9729862213135,-1066.2100315093994,0.005960464477539,0.0077724456787109,0.0222206115722656,0.0114917755126953,0.0,0
