time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_dl_ms,f1_u_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,a1_retransmissions_ul_count,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
71,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061917304992675,0.0,0.0066757202148437,0.0066757202148437,0.0104904174804687,0.0104904174804687,0.0,0.0,0.0,0.0081062316894531,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
72,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062823295593261,0.0,0.0064373016357421,0.0064373016357421,0.009775161743164,0.009775161743164,0.0,0.0,0.0,0.0085830688476562,0.0,0.0105857849121093,0.0199317932128906,0.496,0.0,1.36,0.0,0.0,0.0,3.744,4.232,0.0,112.0,0.0062465667724609,0.008249282836914,0.0,0
73,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0052452087402343,0.0062154893258317,0.0052452087402343,0.0061988830566406,0.0061988830566406,0.0147819519042968,0.0147819519042968,0.0,0.0,0.0,0.0085830688476562,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,1.192,0
74,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0045299530029296,0.0063003879962581,0.0055789947509765,0.0071525573730468,0.0071525573730468,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0087976455688476,0.0,0.0111579895019531,0.0215530395507812,0.496,0.0,1.36,0.0,0.0,0.0,3.744,4.232,0.0,118.448,0.0064373016357421,0.0085353851318359,17.848,0
75,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0050862630208333,0.0063106057724515,0.005960464477539,0.009775161743164,0.009775161743164,0.0119209289550781,0.0119209289550781,0.0,0.0,0.0,0.0088214874267578,0.0,0.0107288360595703,0.0236511230468749,0.496,0.0,1.424,0.0,0.0,0.0,8.264,7.736,0.0,127.8,0.0061988830566406,0.0082254409790039,69.84,0
76,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0053984778267996,0.0061597397078329,0.0067710876464843,0.0090599060058593,0.0090599060058593,0.0150203704833984,0.0150203704833984,0.0,0.0,0.0,0.0083446502685546,0.0,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,0.0,0.0,0.0,114.408,0.0,0.0,32.08,0
77,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059854984283447,0.0,0.0073909759521484,0.0073909759521484,0.0121593475341796,0.0121593475341796,0.0,0.0,0.0,0.0078916549682617,0.0,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
78,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063443183898925,0.0,0.0071525573730468,0.0071525573730468,0.0102519989013671,0.0102519989013671,0.0,0.0,0.0,0.0083446502685546,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
79,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062763690948486,0.0,0.0095367431640625,0.0095367431640625,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0083446502685546,0.0,0.0104427337646484,0.0194072723388671,0.496,0.0,1.36,0.0,0.0,0.0,3.744,4.232,0.0,112.0,0.006103515625,0.0076770782470703,0.0,0
80,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0061787183011942,0.0081062316894531,0.0104904174804687,0.0104904174804687,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0083446502685546,0.0,0.0116348266601562,0.0207424163818359,0.496,0.0,1.36,0.0,0.0,0.0,3.744,4.232,0.0,113.256,0.0065326690673828,0.0086307525634765,1.192,0
