time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_ul_kbps,f1_u_throughput_dl_kbps,F-node
89,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060458681476649,0.0085830688476562,0.0095367431640625,0.0095367431640625,0.0,0.0047683715820312,0.0050067901611328,0.0050067901611328,0.0047683715820312,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,113.256,1.192,0
90,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062937760234472,0.0085830688476562,0.0069141387939453,0.005960464477539,0.0,0.005960464477539,0.0090599060058593,0.0096321105957031,0.005960464477539,0.0,0.0,0.0,0.0,0.0,1.344,2.208,0.0,0.0,0.0,0.0,0.0,0.0,113.256,1.192,0
91,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006262935809235,0.0085830688476562,0.0109672546386718,0.0109672546386718,0.0,0.0046888987223307,0.0071525573730468,0.0071525573730468,0.006103515625,0.0,0.0069141387939453,0.009322166442871,0.0117063522338867,0.0295639038085937,0.496,1.36,0.0,0.0,8.464,7.488,0.0,0.0,117.192,30.328,0
92,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062322616577148,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0066518783569335,0.0096797943115234,0.0111579895019531,0.0284671783447265,0.496,1.424,0.0,0.0,8.464,7.488,0.0,0.0,112.0,0.0,0
93,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064029029352747,0.0083446502685546,0.0061988830566406,0.0061988830566406,0.0,0.0060796737670898,0.0121593475341796,0.0121593475341796,0.0075101852416992,0.0,0.006413459777832,0.0088214874267578,0.0112771987915039,0.0262022018432617,0.496,1.36,0.0,0.0,15.472,16.528,0.0,0.0,117.192,17.456,0
94,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062783559163411,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0,0.004434585571289,0.0112056732177734,0.0112056732177734,0.005960464477539,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,0.0,117.192,52.712,0
95,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065444172292515,0.0091552734375,0.0085830688476562,0.0085830688476562,0.0,0.0040304093133835,0.0121593475341796,0.0121593475341796,0.0047683715820312,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,0.0,144.408,3372.096,0
96,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074550287047428,0.009775161743164,0.0095367431640625,0.0095367431640625,0.0,0.0040969380039426,0.0138282775878906,0.0138282775878906,0.0047683715820312,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,0.0,117.888,8882.888,0
97,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072201686118965,0.0095367431640625,0.0100135803222656,0.0100135803222656,0.0,0.0040715740573021,0.0181198120117187,0.0181198120117187,0.0047683715820312,0.0,0.0062227249145507,0.0086069107055664,0.0112533569335937,0.0276803970336914,0.496,1.424,0.0,0.0,8.464,7.488,0.0,0.0,117.888,12111.048,0
98,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076649793938024,0.009775161743164,0.0119209289550781,0.0119209289550781,0.0,0.0043100209163723,0.0104904174804687,0.0104904174804687,0.0052452087402343,0.0,0.0066041946411132,0.0092983245849609,0.0116348266601562,0.0289440155029296,0.496,1.424,0.0,0.0,8.464,7.488,0.0,0.0,117.192,10326.376,1
