time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,a1_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
166,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068957103047393,0.0086784362792968,0.0078678131103515,0.0078678131103515,0.0,0.0061988830566406,0.0,0.0078678131103515,0.0078678131103515,0.0063478946685791,0.0092029571533203,0.0081300735473632,0.010848045349121,0.0258445739746093,0.496,1.776,0.0,0.0,7.736,8.264,133.304,0.0,0.0,33.824,1
167,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067350283190978,0.0085830688476562,0.0109672546386718,0.0109672546386718,0.0,0.0,0.0,0.0073909759521484,0.0073909759521484,0.0057220458984375,0.0057220458984375,0.0,0.0,0.0,0.496,1.84,0.0,0.0,0.0,0.0,113.256,0.0,0.0,1.192,1
168,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067663192749023,0.0085830688476562,0.0104904174804687,0.0104904174804687,0.0,0.0069141387939453,0.0,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0100612640380859,0.0116825103759765,0.0224113464355468,0.496,1.84,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,1
169,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067353248596191,0.0088214874267578,0.009775161743164,0.009775161743164,0.0,0.0063419342041015,0.0,0.00762939453125,0.00762939453125,0.0,0.0,0.0077724456787109,0.0123500823974609,0.0236034393310546,0.496,1.776,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,1
170,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068072614998653,0.0082969665527343,0.0081062316894531,0.0081062316894531,0.0,0.0071525573730468,0.0,0.0078678131103515,0.0078678131103515,0.0049710273742675,0.0069379806518554,0.0104904174804687,0.0106175740559895,0.0263214111328125,0.496,1.776,0.0,0.0,11.968,12.008,123.184,0.0,0.0,290.272,1
171,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069165111181154,0.0088214874267578,0.0073909759521484,0.0073909759521484,0.0,0.0070095062255859,0.0,0.0112056732177734,0.0112056732177734,0.0054836273193359,0.0054836273193359,0.0100612640380859,0.0116348266601562,0.0225543975830078,0.496,1.84,0.0,0.0,4.232,3.744,114.456,0.0,0.0,2.168,1
172,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00676586853331,0.0088214874267578,0.0071525573730468,0.0071525573730468,0.0,0.0064373016357421,0.0,0.0095367431640625,0.0095367431640625,0.0092983245849609,0.0092983245849609,0.0073432922363281,0.0110467274983723,0.0199079513549804,0.496,1.84,0.0,0.0,3.704,4.272,113.256,0.0,0.0,1.192,1
173,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066769063769288,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0064373016357421,0.0064373016357421,0.009775161743164,0.009775161743164,0.0,0.0,0.0,0.496,1.776,0.0,0.0,0.0,0.0,113.256,0.0,0.0,1.192,1
174,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067302836707575,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.0,0.0062465667724609,0.0,0.009775161743164,0.009775161743164,0.0050067901611328,0.0050067901611328,0.0077247619628906,0.0109672546386718,0.0206947326660156,0.496,1.776,0.0,0.0,4.232,3.744,113.256,0.0,0.0,1.192,1
175,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066900253295898,0.0083446502685546,0.0088214874267578,0.0088214874267578,0.0065565109252929,0.0057220458984375,0.0066518783569335,0.0121593475341796,0.0121593475341796,0.0,0.0,0.0072956085205078,0.0115394592285156,0.0215530395507812,0.496,1.776,1.696,1.696,4.232,3.744,112.0,35.012245178222656,35.016632080078125,0.0,1
