time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,a1_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_u_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064728864982946,0.0088214874267578,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0,0.0,0.0,0.0166893005371093,0.0166893005371093,0.0,0.0038947665445352,0.0,0.0045299530029296,0.496,1.424,0.0,0.0,0.0,0.0,115.48,0.0,5785.608,0
43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069366758735618,0.009775161743164,0.011444091796875,0.011444091796875,0.0,0.0061988830566406,0.0,0.0,0.0,0.0080585479736328,0.0131130218505859,0.0131130218505859,0.0116348266601562,0.0038607856154884,0.022125244140625,0.0045299530029296,0.496,1.424,0.0,0.0,3.744,4.232,117.192,0.0,21012.088,0
44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073957206004887,0.009775161743164,0.013589859008789,0.013589859008789,0.0,0.0066757202148437,0.0,0.0,0.0,0.0088930130004882,0.0159740447998046,0.0159740447998046,0.0114679336547851,0.0038766259063677,0.0287055969238281,0.0045299530029296,0.496,1.424,0.0,0.0,7.488,8.464,117.192,0.0,39176.536,0
45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074063197220906,0.009775161743164,0.0092983245849609,0.0092983245849609,0.0,0.0062465667724609,0.0,0.0,0.0,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0112056732177734,0.0038789899161692,0.0286102294921875,0.0045299530029296,0.496,1.424,0.0,0.0,12.008,11.968,118.448,0.0,16587.336,0
46,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074193029120416,0.0102519989013671,0.0102519989013671,0.0102519989013671,0.0,0.0063657760620117,0.0,0.0,0.0,0.0084161758422851,0.009775161743164,0.009775161743164,0.0115156173706054,0.0038651309893166,0.0310182571411132,0.0045299530029296,0.496,1.424,0.0,0.0,8.264,7.736,118.448,0.0,51703.576,0
47,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073768124722018,0.0100135803222656,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0,0.0,0.0,0.0,0.0126361846923828,0.0126361846923828,0.0,0.0040581002052652,0.0,0.0050067901611328,0.496,1.424,0.0,0.0,0.0,0.0,118.448,0.0,2944.072,0
48,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006498098373413,0.0090599060058593,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0,0.0,0.0,0.0195503234863281,0.0195503234863281,0.0,0.004415926725968,0.0,0.0070571899414062,0.496,1.424,0.0,0.0,0.0,0.0,112.0,0.0,263.912,0
49,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006420695366551,0.0088214874267578,0.0102519989013671,0.0102519989013671,0.0,0.0059127807617187,0.0,0.0,0.0,0.007486343383789,0.0138282775878906,0.0138282775878906,0.0110149383544921,0.0039050745409588,0.0211238861083984,0.0045299530029296,0.496,1.424,0.0,0.0,3.744,4.232,117.192,0.0,4612.656,0
50,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063768073694029,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0,0.0062465667724609,0.0,0.0,0.0,0.0083684921264648,0.011444091796875,0.011444091796875,0.0123023986816406,0.00762939453125,0.032973289489746,0.00762939453125,0.496,1.424,0.0,0.0,7.488,8.464,116.12,0.0,3.832,0
51,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059735774993896,0.0083684921264648,0.0078678131103515,0.0078678131103515,0.0,0.0060558319091796,0.0,0.0,0.0,0.0084877014160156,0.005960464477539,0.005960464477539,0.0113487243652343,0.0,0.0291347503662109,0.0,0.496,1.36,0.0,0.0,12.008,11.968,112.0,0.0,0.0,0
52,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061607360839843,0.0081300735473632,0.0085830688476562,0.0085830688476562,0.0,0.0060081481933593,0.0,0.0,0.0,0.0081777572631835,0.011444091796875,0.011444091796875,0.0114679336547851,0.0,0.0290870666503906,0.0,0.496,1.36,0.0,0.0,8.264,7.736,112.0,0.0,0.0,0
53,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059984216642616,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0,0.0,0.0,0.0069141387939453,0.0069141387939453,0.0,0.0078678131103515,0.0,0.0078678131103515,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,1.192,0
54,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062626187164004,0.0088214874267578,0.0104904174804687,0.0104904174804687,0.0,0.0,0.0,0.0,0.0,0.0,0.0092983245849609,0.0092983245849609,0.0,0.005960464477539,0.0,0.0065326690673828,0.496,1.392,0.0,0.0,0.0,0.0,118.448,0.0,6.944,0
55,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062526441087909,0.0085115432739257,0.0073909759521484,0.0073909759521484,0.0,0.005960464477539,0.0,0.0,0.0,0.007486343383789,0.011444091796875,0.011444091796875,0.0111103057861328,0.0056823094685872,0.021219253540039,0.0083446502685546,0.496,1.392,0.0,0.0,3.744,4.232,126.032,0.0,37.152,0
