time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,e2_du_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
125,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068085703683729,0.0092983245849609,0.0042615618024553,0.0052452087402343,0.0061988830566406,0.0065167744954427,0.0080108642578125,0.0065565109252929,0.0096559524536132,0.0126361846923828,0.0077486038208007,0.009775161743164,0.009775161743164,0.0251293182373046,0.496,1.424,9.856,10.176,3.744,4.232,114.992,32.01627731323242,32.01627731323242,1551.832,1
126,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006535265705373,0.0090360641479492,0.0043561381678427,0.0052452087402343,0.006103515625,0.0056743621826171,0.0082731246948242,0.0073909759521484,0.0072956085205078,0.0106334686279296,0.0101327896118164,0.0081062316894531,0.0081062316894531,0.0273466110229492,0.496,1.424,6.448,7.008,8.264,7.736,118.448,32.010793685913086,32.010793685913086,1346.184,1
127,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067362144811829,0.0092983245849609,0.0041984021663665,0.0052452087402343,0.0,0.00762939453125,0.0,0.0064969062805175,0.0121116638183593,0.0,0.0081539154052734,0.0078678131103515,0.0078678131103515,0.0,0.496,1.424,6.096,5.728,0.0,0.0,117.192,32.01651573181152,32.01651573181152,2279.552,1
128,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066425076764614,0.0090599060058593,0.0042770298714873,0.0050067901611328,0.0069618225097656,0.0072717666625976,0.0086307525634765,0.0074505805969238,0.0106096267700195,0.0119686126708984,0.009012222290039,0.0121593475341796,0.0121593475341796,0.0232696533203125,0.496,1.424,5.6,5.728,3.744,4.232,117.192,32.02080726623535,32.02080726623535,2178.2,1
129,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069995424640712,0.0090599060058593,0.0042480334900973,0.0052452087402343,0.0058174133300781,0.0071128209431966,0.0074386596679687,0.0075896581013997,0.0098943710327148,0.0109195709228515,0.0096559524536132,0.0126361846923828,0.0126361846923828,0.0206470489501953,0.496,1.424,9.856,10.176,3.744,4.232,115.16,32.011985778808594,32.011985778808594,2513.912,1
130,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066733478906735,0.0088214874267578,0.004152108354178,0.0052452087402343,0.006262461344401,0.0055313110351562,0.0080108642578125,0.006715456644694,0.0072956085205078,0.0111738840738932,0.0077486038208007,0.0109672546386718,0.0109672546386718,0.0287532806396484,0.496,1.424,6.448,7.008,12.008,11.968,117.192,32.02366828918457,32.02366828918457,1509.464,1
131,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006469169465622,0.0092506408691406,0.0042700767517089,0.0052452087402343,0.0058174133300781,0.006103515625,0.0072479248046875,0.0073909759521484,0.0080108642578125,0.0111103057861328,0.0078916549682617,0.0119209289550781,0.0119209289550781,0.0215530395507812,0.496,1.424,6.096,5.728,3.744,4.232,118.448,32.018184661865234,32.018184661865234,1709.472,1
132,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068311074479895,0.0090599060058593,0.0042892957517238,0.0052452087402343,0.006866455078125,0.0078082084655761,0.0092029571533203,0.0054240226745605,0.0123023986816406,0.0110864639282226,0.0066757202148437,0.0107288360595703,0.0107288360595703,0.0275135040283203,0.496,1.424,5.6,5.728,8.264,7.736,116.816,32.02533721923828,32.02533721923828,1819.24,1
133,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069318431438785,0.0092983245849609,0.0044268530768317,0.0054836273193359,0.0,0.0064373016357421,0.0,0.0074307123819986,0.0088214874267578,0.0,0.0092983245849609,0.0119209289550781,0.0119209289550781,0.0,0.496,1.424,9.856,10.176,0.0,0.0,118.448,32.01127052307129,32.01127052307129,944.888,1
134,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064396739599123,0.0088214874267578,0.0043116606675185,0.0052452087402343,0.0,0.0057697296142578,0.0,0.006715456644694,0.009012222290039,0.0,0.0081062316894531,0.0157356262207031,0.0157356262207031,0.0,0.496,1.424,6.448,7.008,0.0,0.0,117.192,32.022953033447266,32.022953033447266,1373.136,1
