time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,a1_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_u_throughput_dl_kbps,f1_c_latency_p90_ul_ms,F-node
30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0069046494972646,0.0095367431640625,0.0100135803222656,0.0100135803222656,0.0058174133300781,0.0041155930025031,0.0138282775878906,0.0050067901611328,0.0138282775878906,0.0071525573730468,0.0108718872070312,0.020456314086914,0.0,0.496,1.424,0.0,0.0,0.0,4.232,3.744,117.192,0.0,0.0,0.0,0.0,3177.44,0.0,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0065464285475697,0.0088214874267578,0.0066757202148437,0.0066757202148437,0.0059127807617187,0.0039109905946601,0.0092983245849609,0.0045299530029296,0.0092983245849609,0.0073909759521484,0.011301040649414,0.0211715698242187,0.0,0.496,1.424,0.0,0.0,0.0,4.232,3.744,117.192,0.0,0.0,0.0,0.0,5641.832,0.0,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0062649792963915,0.0090360641479492,0.0092983245849609,0.0092983245849609,0.0058412551879882,0.0039161141238995,0.0102519989013671,0.0045299530029296,0.0102519989013671,0.0079631805419921,0.0106990337371826,0.0256299972534179,0.0,0.496,1.424,0.0,0.0,0.0,11.44,12.536,118.448,0.0,0.0,0.0,0.0,2978.608,0.0,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0059652091258793,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.0067710876464843,0.0042915344238281,0.009775161743164,0.0042915344238281,0.009775161743164,0.0098228454589843,0.0108242034912109,0.0208854675292968,0.0,0.496,1.424,0.0,0.0,0.0,4.232,3.744,113.256,0.0,0.0,0.0,0.0,1.192,0.0,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0059806292329854,0.0081062316894531,0.0121593475341796,0.0121593475341796,0.0066518783569335,0.0090599060058593,0.0071525573730468,0.0090599060058593,0.0071525573730468,0.0097513198852539,0.0118017196655273,0.0314712524414062,0.0,0.496,1.392,0.0,0.0,0.0,7.736,8.264,113.256,0.0,0.0,0.0,0.0,1.192,0.0,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0061821937561035,0.0085830688476562,0.00762939453125,0.00762939453125,0.0,0.0,0.0066757202148437,0.0,0.0066757202148437,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060689449310302,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.0057220458984375,0.0,0.0109672546386718,0.0,0.0109672546386718,0.0072002410888671,0.0107288360595703,0.0206947326660156,0.0,0.496,1.36,0.0,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060820579528808,0.0078678131103515,0.0081062316894531,0.0081062316894531,0.0059127807617187,0.0,0.0100135803222656,0.0,0.0100135803222656,0.007486343383789,0.0117778778076171,0.0218391418457031,0.0,0.496,1.36,0.0,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060713291168212,0.0081062316894531,0.0085830688476562,0.0085830688476562,0.005658467610677,0.0,0.0095367431640625,0.0,0.0095367431640625,0.0077724456787109,0.0106016794840494,0.0259876251220703,0.0,0.496,1.36,0.0,0.0,0.0,11.968,12.008,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0059877462054959,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0057697296142578,0.0088214874267578,0.0102519989013671,0.0088214874267578,0.0102519989013671,0.0072956085205078,0.0111579895019531,0.0208854675292968,0.0,0.496,1.36,0.0,0.0,0.0,4.232,3.744,113.256,0.0,0.0,0.0,0.0,1.192,0.0,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0059723260983898,0.0078678131103515,0.0073909759521484,0.0073909759521484,0.0058889389038085,0.0064373016357421,0.0102519989013671,0.0064373016357421,0.0102519989013671,0.0083684921264648,0.0110864639282226,0.0278949737548828,0.0,0.496,1.36,0.0,0.0,0.0,7.736,8.264,113.256,0.0,0.0,0.0,0.0,1.192,0.0,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0059521613429434,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0,0.0052452087402343,0.0092983245849609,0.0052452087402343,0.0092983245849609,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,1.192,0.0,0
