time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,e2_du_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062251091003417,0.0088214874267578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.496,0.0,0.0,1.36,112.0,0.0,0.0,0.0,0.00762939453125,0.00762939453125,0.0071525573730468,0.0071525573730468,0.0,0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.005958080291748,0.0078916549682617,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.496,0.0,0.0,1.36,112.0,0.0,0.0,0.0,0.0071525573730468,0.0071525573730468,0.0061988830566406,0.0061988830566406,3.512,0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0058856664919385,0.0078678131103515,0.0045980725969587,0.005650520324707,0.0059127807617187,0.0077724456787109,0.0,0.0,0.0,0.0107765197753906,0.0,0.0200748443603515,0,0.496,0.0,0.0,1.424,127.008,3.744,4.232,0.0,0.0150203704833984,0.0150203704833984,0.0083446502685546,0.0083446502685546,80.992,0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063157317662003,0.0083446502685546,0.0042642865862165,0.0056266784667968,0.0058174133300781,0.0072479248046875,0.0,0.0,0.0,0.0119209289550781,0.0,0.0223159790039062,0,0.496,0.0,0.0,1.424,118.448,3.744,4.232,0.0,0.0090599060058593,0.0090599060058593,0.0057220458984375,0.0057220458984375,1093.272,0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063405178561069,0.0081062316894531,0.0044167041778564,0.0054836273193359,0.0063180923461914,0.0079631805419921,0.0,0.0,0.0,0.0113487243652343,0.0,0.0294685363769531,0,0.496,0.0,0.0,1.424,115.552,8.264,7.736,0.0,0.0083446502685546,0.0083446502685546,0.005960464477539,0.005960464477539,259.456,0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060296058654785,0.0078678131103515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.496,0.0,0.0,1.424,112.0,0.0,0.0,0.0,0.0092983245849609,0.0092983245849609,0.0073909759521484,0.0073909759521484,0.0,0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006355861626049,0.0088214874267578,0.0053882598876953,0.0064373016357421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.496,0.0,0.0,1.392,122.384,0.0,0.0,0.0,0.0061988830566406,0.0061988830566406,0.0081062316894531,0.0081062316894531,26.472,0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060802668481323,0.0083446502685546,0.0044902165730794,0.0057220458984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.496,0.0,0.0,1.392,114.296,0.0,0.0,0.0,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0083446502685546,156.928,0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061632981940881,0.0083446502685546,0.0042373483831232,0.006103515625,0.0069141387939453,0.0098705291748046,0.0,0.0,0.0,0.0114917755126953,0.0,0.0214576721191406,0,0.496,0.0,0.0,1.392,117.192,3.744,4.232,0.0,0.0154972076416015,0.0154972076416015,0.0071525573730468,0.0071525573730468,233.408,0
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061383887903014,0.0083446502685546,0.0057220458984375,0.0057220458984375,0.005960464477539,0.0076770782470703,0.0,0.0,0.0,0.01068115234375,0.0,0.0202655792236328,0,0.496,0.0,0.0,1.424,113.256,3.744,4.232,0.0,0.0066757202148437,0.0066757202148437,0.0057220458984375,0.0057220458984375,1.192,0
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061704151665986,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0061273574829101,0.008392333984375,0.0,0.0,0.0,0.0103473663330078,0.0,0.0257730484008789,0,0.496,0.0,0.0,1.36,113.256,8.264,7.736,0.0,0.0081062316894531,0.0081062316894531,0.00762939453125,0.00762939453125,1.192,0
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060043524746871,0.0081062316894531,0.0047683715820312,0.0047683715820312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.496,0.0,0.0,1.36,113.256,0.0,0.0,0.0,0.0102519989013671,0.0102519989013671,0.0066757202148437,0.0066757202148437,1.192,0
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060913609523399,0.0085830688476562,0.0039989639907981,0.0047683715820312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.496,0.0,0.0,1.36,132.064,0.0,0.0,0.0,0.0092983245849609,0.0092983245849609,0.0109672546386718,0.0109672546386718,3419.032,0
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060778945239622,0.0081062316894531,0.0043542761551706,0.0057220458984375,0.0,0.0,0.0090599060058593,0.009775161743164,0.0090599060058593,0.0,0.009775161743164,0.0,0,0.496,0.848,0.848,1.424,117.192,0.0,0.0,0.0,0.0133514404296875,0.0133514404296875,0.0071525573730468,0.0071525573730468,305.088,0
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064479242457021,0.0090599060058593,0.0043255942208426,0.0052452087402343,0.005960464477539,0.0075817108154296,0.005960464477539,0.0073909759521484,0.005960464477539,0.0113487243652343,0.0073909759521484,0.0215530395507812,0,0.496,0.848,0.848,1.424,118.64,3.744,4.232,0.0,0.0078678131103515,0.0078678131103515,0.005960464477539,0.005960464477539,685.904,0
