time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,a1_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_ul_kbps,f1_u_throughput_dl_kbps,F-node
36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072009492628645,0.0095367431640625,0.0092983245849609,0.0092983245849609,0.0143051147460937,0.0058809916178385,0.0038461829331913,0.0112056732177734,0.0112056732177734,0.01678466796875,0.0045299530029296,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.424,1.696,1.696,4.368,4.672,0.0149011611938476,0.017857551574707,118.448,13284.36,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060411234993246,0.0081062316894531,0.00762939453125,0.00762939453125,0.0,0.0058809916178385,0.0040581351832339,0.0128746032714843,0.0128746032714843,0.0,0.0047683715820312,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.424,0.0,0.0,4.368,4.672,0.0,0.0,117.192,953.368,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059652091258793,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0,0.0058809916178385,0.0046730041503906,0.0164508819580078,0.0164508819580078,0.0,0.0057697296142578,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.424,0.0,0.0,4.368,4.672,0.0,0.0,114.712,24.24,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069437928460723,0.0095367431640625,0.0090599060058593,0.0090599060058593,0.0,0.0058809916178385,0.0038565754814849,0.0092983245849609,0.0092983245849609,0.0,0.0045299530029296,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.424,0.0,0.0,4.368,4.672,0.0,0.0,117.192,16953.656,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065452423854846,0.0085830688476562,0.0085830688476562,0.0085830688476562,0.0,0.0058809916178385,0.004049685361574,0.0112056732177734,0.0112056732177734,0.0,0.0050067901611328,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.424,0.0,0.0,4.368,4.672,0.0,0.0,117.192,1386.776,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061162627569519,0.0085353851318359,0.0088214874267578,0.0088214874267578,0.0,0.0058809916178385,0.0044600716952619,0.0083446502685546,0.0083446502685546,0.0,0.0057935714721679,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.424,0.0,0.0,4.368,4.672,0.0,0.0,118.448,399.632,0
42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063712053959912,0.0085830688476562,0.0085830688476562,0.0085830688476562,0.0,0.0058809916178385,0.003881687477205,0.0095367431640625,0.0095367431640625,0.0,0.0045299530029296,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.424,0.0,0.0,4.368,4.672,0.0,0.0,116.736,6230.008,0
43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071560982430335,0.0097513198852539,0.0071525573730468,0.0071525573730468,0.0,0.0058809916178385,0.0038355350917487,0.0159740447998046,0.0159740447998046,0.0,0.0045299530029296,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.424,0.0,0.0,4.368,4.672,0.0,0.0,118.448,25013.856,0
44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073648803862766,0.0102519989013671,0.013589859008789,0.013589859008789,0.0,0.0058809916178385,0.0038510361568635,0.0131130218505859,0.0131130218505859,0.0,0.0045299530029296,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.424,0.0,0.0,4.368,4.672,0.0,0.0,117.192,38454.456,0
45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073079446061926,0.009775161743164,0.0095367431640625,0.0095367431640625,0.0,0.0058809916178385,0.0038422613617068,0.0140666961669921,0.0140666961669921,0.0,0.0045299530029296,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.424,0.0,0.0,4.368,4.672,0.0,0.0,117.192,23899.016,0
46,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076127882620588,0.0104904174804687,0.0123977661132812,0.0123977661132812,0.0,0.0058809916178385,0.003839793958162,0.0150203704833984,0.0150203704833984,0.0,0.0045299530029296,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.424,0.0,0.0,4.368,4.672,0.0,0.0,117.192,41830.968,0
47,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071169725104944,0.0092983245849609,0.0092983245849609,0.0092983245849609,0.0,0.0058809916178385,0.0040452211897894,0.0121593475341796,0.0121593475341796,0.0,0.0050067901611328,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.424,0.0,0.0,4.368,4.672,0.0,0.0,117.192,1550.488,0
48,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063435948310206,0.0085830688476562,0.009775161743164,0.009775161743164,0.0,0.0061137335641043,0.0038757492638055,0.0081062316894531,0.0081062316894531,0.0,0.0045299530029296,0.007939338684082,0.0089119220602101,0.0195503234863281,0.496,1.424,0.0,0.0,22.448,21.008,0.0,0.0,117.192,4876.568,0
49,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059497890187733,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0,0.0071525573730468,0.0042915344238281,0.0131130218505859,0.0131130218505859,0.0,0.0042915344238281,0.0090599060058593,0.012063980102539,0.0227928161621093,0.496,1.424,0.0,0.0,3.504,4.52,0.0,0.0,113.256,1.192,0
50,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00601593810733,0.0081062316894531,0.0085830688476562,0.0085830688476562,0.0,0.0056266784667968,0.0069141387939453,0.0116825103759765,0.0116825103759765,0.0,0.0076770782470703,0.0072002410888671,0.0103950500488281,0.0200271606445312,0.496,1.424,0.0,0.0,4.232,3.744,0.0,0.0,117.376,5.024,0
