time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.005800724029541,0.0076532363891601,0.0,0.0059945242745535,0.0085830688476562,0.0,0.0104904174804687,0.01068115234375,0.008249282836914,0.011444091796875,0.0092983245849609,0.0092983245849609,0.0091416495186941,0.0181198120117187,0,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0.0071525573730468,0.0071525573730468,0.0,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061253410073655,0.0078678131103515,0.0063180923461914,0.0059945242745535,0.0085830688476562,0.0081300735473632,0.0104904174804687,0.01068115234375,0.008249282836914,0.011444091796875,0.0064373016357421,0.0064373016357421,0.0091416495186941,0.0181198120117187,0,0.496,1.36,1.696,1.696,117.192,25.152,27.344,0.0,0.0054836273193359,0.0054836273193359,21.392,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059225072908164,0.0078678131103515,0.0047683715820312,0.0059945242745535,0.0085830688476562,0.0062942504882812,0.0104904174804687,0.01068115234375,0.008249282836914,0.011444091796875,0.0107288360595703,0.0107288360595703,0.0091416495186941,0.0181198120117187,0,0.496,1.424,1.696,1.696,117.192,25.152,27.344,0.0,0.0073909759521484,0.0073909759521484,25.768,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0067393756607203,0.0095367431640625,0.0038520783812776,0.0059945242745535,0.0,0.0045299530029296,0.0,0.0,0.008249282836914,0.0,0.0133514404296875,0.0133514404296875,0.0091416495186941,0.0181198120117187,0,0.496,1.424,0.0,0.0,139.216,25.152,27.344,0.0,0.0085830688476562,0.0085830688476562,16547.128,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0069622923000692,0.0095367431640625,0.0038844125528905,0.0059945242745535,0.0,0.0045299530029296,0.0,0.0,0.008249282836914,0.0,0.0102519989013671,0.0102519989013671,0.0091416495186941,0.0181198120117187,0,0.496,1.424,0.0,0.0,120.84,25.152,27.344,0.0,0.0078678131103515,0.0078678131103515,12653.264,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0070564782441552,0.0092983245849609,0.0038638509996594,0.0059945242745535,0.0,0.0045299530029296,0.0,0.0,0.008249282836914,0.0,0.0154972076416015,0.0154972076416015,0.0091416495186941,0.0181198120117187,0,0.496,1.424,0.0,0.0,113.256,25.152,27.344,0.0,0.0104904174804687,0.0104904174804687,21841.328,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060126556092826,0.0081062316894531,0.0052849451700846,0.0062465667724609,0.0,0.0077486038208007,0.0,0.0,0.0079631805419921,0.0,0.0095367431640625,0.0095367431640625,0.0119686126708984,0.0226020812988281,0,0.496,1.424,0.0,0.0,114.392,4.52,3.504,0.0,0.009775161743164,0.009775161743164,93.312,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0058964117249446,0.0078678131103515,0.0046661921909877,0.0,0.0,0.005340576171875,0.0,0.0,0.0,0.0,0.0126361846923828,0.0126361846923828,0.0,0.0,0,0.496,1.424,0.0,0.0,117.192,0.0,0.0,0.0,0.0085830688476562,0.0085830688476562,35.512,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060451030731201,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008702278137207,0.0101327896118164,0.0,0.0,0,1.344,2.272,0.0,0.0,112.0,0.0,0.0,0.0,0.0053644180297851,0.0058412551879882,0.0,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060749053955078,0.0081300735473632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0102519989013671,0.0102519989013671,0.0,0.0,0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0071525573730468,0.0071525573730468,0.0,0
