time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
62,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060993490867244,0.0078678131103515,0.0061988830566406,0.0061988830566406,0.0060081481933593,0.0,0.0100135803222656,0.0100135803222656,0.0,0.0077724456787109,0.0056425730387369,0.0,0.0064373016357421,0.0,0.0123977661132812,0.0243186950683593,0.496,1.36,0.0,0.0,3.744,132.08,4.232,0.0,21.552,0
63,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058695821478815,0.0078678131103515,0.011444091796875,0.011444091796875,0.0065326690673828,0.0,0.0121593475341796,0.0121593475341796,0.0,0.0079631805419921,0.005960464477539,0.0,0.0071048736572265,0.0,0.0117301940917968,0.0231266021728515,0.496,1.424,0.0,0.0,3.744,120.32,4.232,0.0,17.608,0
64,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005805492401123,0.0078678131103515,0.0078678131103515,0.0078678131103515,0.0064373016357421,0.0,0.0116825103759765,0.0116825103759765,0.0,0.0079631805419921,0.0,0.0,0.0,0.0,0.01068115234375,0.0250101089477539,0.496,1.424,0.0,0.0,8.264,112.0,7.736,0.0,0.0,0
65,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059866905212402,0.0081062316894531,0.0092983245849609,0.0092983245849609,0.0080585479736328,0.0,0.0069141387939453,0.0069141387939453,0.0,0.0114917755126953,0.0,0.0,0.0,0.0,0.0138282775878906,0.0268459320068359,0.496,1.36,0.0,0.0,3.744,112.0,4.232,0.0,0.0,0
66,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057125091552734,0.00762939453125,0.0069141387939453,0.0069141387939453,0.0061511993408203,0.0,0.00762939453125,0.00762939453125,0.0,0.0080108642578125,0.0,0.0,0.0,0.0,0.0112056732177734,0.0215053558349609,0.496,1.36,0.0,0.0,3.744,112.0,4.232,0.0,0.0,0
67,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061587531967918,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0060558319091796,0.0,0.0126361846923828,0.0126361846923828,0.0,0.008392333984375,0.0082254409790039,0.0,0.0092744827270507,0.0,0.0108003616333007,0.0262022018432617,0.496,1.424,0.0,0.0,8.264,118.448,7.736,0.0,11.888,0
68,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060529851201754,0.0081062316894531,0.00762939453125,0.00762939453125,0.005960464477539,0.0,0.0107288360595703,0.0107288360595703,0.0,0.0064611434936523,0.0071525573730468,0.0,0.0071525573730468,0.0,0.0110467274983723,0.0202655792236328,0.496,1.36,0.0,0.0,4.272,113.256,3.704,0.0,1.192,0
69,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059996078263467,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0064373016357421,0.0,0.0112056732177734,0.0112056732177734,0.0,0.0084400177001953,0.005960464477539,0.0,0.005960464477539,0.0,0.0112056732177734,0.0214099884033203,0.496,1.36,0.0,0.0,3.744,113.256,4.232,0.0,1.192,0
70,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060414804995638,0.0081062316894531,0.009775161743164,0.009775161743164,0.0062227249145507,0.0,0.0133514404296875,0.0133514404296875,0.0,0.0088214874267578,0.00415529523577,0.0,0.0047683715820312,0.0,0.0107288360595703,0.026249885559082,0.496,1.36,0.0,0.0,8.264,143.152,7.736,0.0,407.0,0
71,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063827381798283,0.0085830688476562,0.0100135803222656,0.0100135803222656,0.0070095062255859,0.0,0.0088214874267578,0.0088214874267578,0.0,0.0104427337646484,0.0038591633361415,0.0,0.0045299530029296,0.0,0.0109672546386718,0.0208377838134765,0.496,1.424,0.0,0.0,3.744,117.192,4.232,0.0,12254.824,0
72,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070932492687927,0.0095367431640625,0.0116825103759765,0.0116825103759765,0.0060081481933593,0.0,0.0104904174804687,0.0104904174804687,0.0,0.0075340270996093,0.0038529177391919,0.0,0.0042915344238281,0.0,0.0106334686279296,0.0206470489501953,0.496,1.424,0.0,0.0,3.744,117.192,4.232,0.0,29895.128,0
73,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061023235321044,0.0083684921264648,0.0107288360595703,0.0107288360595703,0.0060558319091796,0.0,0.0092983245849609,0.0092983245849609,0.0,0.0086307525634765,0.0,0.0,0.0,0.0,0.0107526779174804,0.0267267227172851,0.496,1.424,0.0,0.0,8.264,112.0,7.736,0.0,0.0,0
74,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060446819855799,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0063896179199218,0.0,0.0081062316894531,0.0081062316894531,0.0,0.008249282836914,0.0047683715820312,0.0,0.0047683715820312,0.0,0.0108718872070312,0.020456314086914,0.496,1.36,0.0,0.0,3.744,113.256,4.232,0.0,1.192,0
75,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058465929173711,0.00762939453125,0.0073909759521484,0.0073909759521484,0.0065326690673828,0.0,0.0164508819580078,0.0164508819580078,0.0,0.0081062316894531,0.0050067901611328,0.0,0.0050067901611328,0.0,0.0132083892822265,0.0249385833740234,0.496,1.36,0.0,0.0,3.744,113.256,4.232,0.0,1.192,0
76,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059818153950705,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0065898895263671,0.0,0.0061988830566406,0.0061988830566406,0.0,0.0091075897216796,0.0078678131103515,0.0,0.0078678131103515,0.0,0.0110626220703125,0.0258445739746093,0.496,1.36,0.0,0.0,19.04,113.256,19.048,0.0,1.192,0
77,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059581038975479,0.0078678131103515,0.0073909759521484,0.0073909759521484,0.0064849853515625,0.0,0.0140666961669921,0.0140666961669921,0.0,0.008392333984375,0.0067949295043945,0.0,0.0068902969360351,0.0,0.0113487243652343,0.0213146209716796,0.496,1.424,0.0,0.0,3.744,118.16,4.232,0.0,5.584,0
78,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059783458709716,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.0063896179199218,0.0,0.009775161743164,0.009775161743164,0.0,0.008392333984375,0.0,0.0,0.0,0.0,0.0115394592285156,0.0220775604248046,0.496,1.36,0.0,0.0,3.744,112.0,4.232,0.0,0.0,0
79,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058848683427019,0.0078678131103515,0.0061988830566406,0.0061988830566406,0.0061750411987304,0.0,0.0064373016357421,0.0064373016357421,0.0,0.0081777572631835,0.005756105695452,0.0,0.0075817108154296,0.0,0.0111103057861328,0.0272989273071289,0.496,1.36,0.0,0.0,8.264,133.64,7.736,0.0,34.952,0
