time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_u_throughput_dl_kbps,F-node
31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061122932244296,0.0081062316894531,0.0088214874267578,0.0088214874267578,0.0047683715820312,0.0047683715820312,0.0119209289550781,0.0119209289550781,0.005960464477539,0.007486343383789,0.496,1.424,5.6,6.544,3.744,4.232,113.256,25.0,20.0,533.5532824198405,731.4409732818604,0.0111579895019531,0.0216960906982421,-305.2826404571533,-476.75156593322754,1.192,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061609258699179,0.0083446502685546,0.0085830688476562,0.0085830688476562,0.0052452087402343,0.0052452087402343,0.0126361846923828,0.0126361846923828,0.0059843063354492,0.0082015991210937,0.496,1.36,6.096,5.76,7.488,8.464,113.256,40.0,25.0,534.1111024220785,731.198263168335,0.0118970870971679,0.0295162200927734,-351.238489151001,-533.9783032735189,1.192,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0059956987503126,0.0080585479736328,0.0083446502685546,0.0083446502685546,0.0054836273193359,0.0054836273193359,0.0061988830566406,0.0061988830566406,0.006270408630371,0.0090837478637695,0.496,1.36,9.856,10.24,8.264,7.736,114.376,16.666666666666664,16.666666666666664,521.5251445770264,761.6341590881348,0.0115633010864257,0.0269889831542968,-395.9882259368897,-578.9737701416016,1.192,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0060415267944335,0.0081300735473632,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0112056732177734,0.0112056732177734,0.0072121620178222,0.0093698501586914,0.496,1.36,6.448,6.256,4.272,3.704,112.0,20.0,40.0,548.5796928405762,710.6371402740479,0.0112454096476236,0.020146369934082,-352.8294086456299,-533.6740811665853,0.0,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0060604076192836,0.0081062316894531,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0083446502685546,0.0083446502685546,0.0063657760620117,0.0090360641479492,0.496,1.36,5.6,6.544,8.264,7.736,110.88,25.0,20.0,533.9925289154053,726.9397735595703,0.0107288360595703,0.0262260437011718,-310.37821769714355,-478.0327081680298,0.0,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061953421866539,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0071525573730468,0.0071525573730468,0.0,0.0,0.496,1.36,6.096,5.76,0.0,0.0,113.12,40.0,25.0,533.4842205047607,725.6946563720703,0.0,0.0,-355.36913871765137,-534.2602729797363,0.0,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061780503652628,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0042261615876228,0.0047683715820312,0.0116825103759765,0.0116825103759765,0.006723403930664,0.0088214874267578,0.496,1.36,9.856,10.24,3.744,4.232,143.152,16.666666666666664,16.666666666666664,520.6950187683105,756.7146301269531,0.0116825103759765,0.0221729278564453,-399.0929126739502,-577.9959201812744,601.84,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0069296360015869,0.0097990036010742,0.0081062316894531,0.0081062316894531,0.0040039528895468,0.0047683715820312,0.0107288360595703,0.0107288360595703,0.006103515625,0.0077724456787109,0.496,1.424,6.448,6.256,3.744,4.232,117.328,20.0,40.0,550.0283241271973,708.9901685714722,0.0111103057861328,0.0208377838134765,-356.85439109802246,-533.377488454183,10881.344,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0066910639847859,0.0090599060058593,0.011444091796875,0.011444091796875,0.0041768357560441,0.0050067901611328,0.0164508819580078,0.0164508819580078,0.0063101450602213,0.0084877014160156,0.496,1.424,5.6,6.544,12.008,11.968,118.448,25.0,20.0,534.9178314208984,722.3897457122803,0.0110467274983723,0.027322769165039,-315.2740716934204,-479.4735908508301,1972.328,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0066104813001642,0.0088214874267578,0.0088214874267578,0.0088214874267578,0.0039762352963862,0.0045299530029296,0.0078678131103515,0.0078678131103515,0.005960464477539,0.0075817108154296,0.496,1.424,6.096,5.76,3.744,4.232,113.256,40.0,25.0,533.7393283843994,719.0322875976562,0.0110626220703125,0.021219253540039,-359.16662216186523,-533.6280663808187,10608.344,0
