time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_c_packet_loss_ul_percentage,f1_u_throughput_ul_kbps,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0062807282405113,0.0085830688476562,0.0047683715820312,0.0047683715820312,0.0162124633789062,0.0162124633789062,0.0066995620727539,0.0092267990112304,0.0116586685180664,0.0310420989990234,0.496,1.36,8.88,9.04,0.0,8.464,7.488,0.0,113.256,0.0073909759521484,0.0073909759521484,801.4151096343994,800.7441997528076,-800.4098892211914,-799.3714332580566,1.192,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0063032653201278,0.0083446502685546,0.0042915344238281,0.0042915344238281,0.0109672546386718,0.0109672546386718,0.0066161155700683,0.0089168548583984,0.0116825103759765,0.0310420989990234,0.496,1.36,6.576,6.864,0.0,15.472,16.528,0.0,113.256,0.0078678131103515,0.0078678131103515,804.7074317932129,801.6436576843262,-800.7955074310303,-800.037670135498,1.192,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0063216686248779,0.0088214874267578,0.0,0.0,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0,0.0,0.496,1.36,6.448,7.008,0.0,0.0,0.0,0.0,112.0,0.0092983245849609,0.0092983245849609,805.6373119354248,802.0214080810547,-801.6637166341146,-800.0026941299438,0.0,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0062143802642822,0.0085830688476562,0.0,0.0,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0,0.0,0.496,1.36,6.096,5.728,0.0,0.0,0.0,0.0,112.0,0.0083446502685546,0.0083446502685546,800.5300521850586,799.9703407287598,-800.4578948020935,-799.9436855316162,0.0,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0063097476959228,0.0085830688476562,0.0,0.0,0.0128746032714843,0.0128746032714843,0.0,0.0,0.0,0.0,0.496,1.36,8.88,9.04,0.0,0.0,0.0,0.0,112.0,0.011444091796875,0.011444091796875,801.515007019043,800.5816459655762,-800.6180763244629,-799.9954700469971,0.0,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0066710907278709,0.0090599060058593,0.0041801421368708,0.0052452087402343,0.0123977661132812,0.0123977661132812,0.005960464477539,0.0078916549682617,0.0116348266601562,0.0302314758300781,0.496,1.36,6.576,6.864,0.0,8.464,7.488,0.0,138.928,0.0083446502685546,0.0083446502685546,800.8408069610596,800.0814437866211,-800.594425201416,-799.9744892120361,1149.808,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.006242553786476,0.0083446502685546,0.0047385692596435,0.0056266784667968,0.0066757202148437,0.0066757202148437,0.0060796737670898,0.0084400177001953,0.0114679336547851,0.0295162200927734,0.496,1.424,6.448,7.008,0.0,8.464,7.488,0.0,115.632,0.0078678131103515,0.0078678131103515,801.0047435760498,800.3418922424316,-800.311803817749,-799.9892234802246,38.544,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0063258023997444,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0126361846923828,0.0126361846923828,0.0063300132751464,0.0081539154052734,0.0108718872070312,0.0269889831542968,0.496,1.424,6.096,5.728,0.0,15.472,16.528,0.0,113.256,0.0078678131103515,0.0078678131103515,860.8123779296875,821.5373516082764,-800.4885911941528,-799.9783039093018,1.192,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0062605634850649,0.0085830688476562,0.0061988830566406,0.0061988830566406,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.0,0.496,1.36,9.856,10.176,0.0,0.0,0.0,0.0,113.256,0.0064373016357421,0.0064373016357421,800.309419631958,773.857831954956,-813.6585156122843,-789.970874786377,1.192,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0062803230663337,0.008559226989746,0.0060796737670898,0.0061750411987304,0.0133514404296875,0.0133514404296875,0.0,0.0,0.0,0.0,0.496,1.36,6.448,6.224,0.0,0.0,0.0,0.0,121.44,0.0090599060058593,0.0090599060058593,801.4118194580078,800.2788066864014,-773.1987953186035,-724.394941329956,10.16,0
