time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060280757163887,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0061750411987304,0.0095367431640625,0.0095367431640625,0.0081300735473632,0.0105142593383789,0.0,0.0,0.0,0.0057220458984375,0.0,0.0272750854492187,0.0057220458984375,0.496,1.36,0.0,0.0,8.264,7.736,113.256,0.0,1.192,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062012553808107,0.0083446502685546,0.005960464477539,0.005960464477539,0.0,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0,0.0050067901611328,0.0,0.0,0.0050067901611328,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,1.192,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060364819955134,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0,0.0,0.0039550165335337,0.0,0.0,0.0045299530029296,0.496,1.36,0.0,0.0,0.0,0.0,144.408,0.0,2126.016,0
42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006291403699277,0.0083446502685546,0.0112056732177734,0.0112056732177734,0.0058174133300781,0.0133514404296875,0.0133514404296875,0.0072479248046875,0.0114917755126953,0.0,0.0,0.0,0.004014272368356,0.0,0.022125244140625,0.0048398971557617,0.496,1.424,0.0,0.0,3.744,4.232,117.192,0.0,1923.536,0
43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060260295867919,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0058174133300781,0.0133514404296875,0.0133514404296875,0.0078678131103515,0.0108957290649414,0.0,0.0,0.0,0.0,0.0,0.0287055969238281,0.0,0.496,1.424,0.0,0.0,7.488,8.464,112.0,0.0,0.0,0
44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062626187164004,0.0083208084106445,0.0069141387939453,0.0069141387939453,0.006096703665597,0.0078678131103515,0.0078678131103515,0.0079631805419921,0.0106245279312133,0.0,0.0,0.0,0.0041631551889272,0.0,0.0269412994384765,0.0049114227294921,0.496,1.36,0.0,0.0,12.536,11.44,122.384,0.0,674.344,0
45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061655044555664,0.0083684921264648,0.00762939453125,0.00762939453125,0.0061459011501736,0.0083446502685546,0.0083446502685546,0.0086307525634765,0.0103603709827769,0.0,0.0,0.0,0.0,0.0,0.025033950805664,0.0,0.496,1.424,0.0,0.0,8.792,7.208,112.0,0.0,0.0,0
46,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059580921533688,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0,0.0109672546386718,0.0109672546386718,0.0,0.0,0.0,0.0,0.0,0.0052452087402343,0.0,0.0,0.0052452087402343,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,1.192,0
47,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063332856870165,0.0087499618530273,0.0078678131103515,0.0078678131103515,0.0,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0,0.0,0.0,0.0039995933065609,0.0,0.0,0.0047683715820312,0.496,1.36,0.0,0.0,0.0,0.0,128.832,0.0,1630.568,0
48,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059047148595401,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0061511993408203,0.0143051147460937,0.0143051147460937,0.0080585479736328,0.010538101196289,0.0,0.0,0.0,0.0066757202148437,0.0,0.0197410583496093,0.0066757202148437,0.496,1.424,0.0,0.0,3.744,4.232,113.256,0.0,1.192,0
