time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_ul_percentage,f1_c_packet_loss_dl_percentage,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061428546905517,0.0085830688476562,0.0083446502685546,0.0083446502685546,0.0,0.0071525573730468,0.0071525573730468,0.0,0.0062670026506696,0.0078678131103515,0.496,1.36,8.88,10.24,112.0,16.666666666666664,20.0,25.152,27.344,-39.99834060668945,-261.7953300476074,209.2936635017395,438.6966466903687,0.0215053558349609,0.0097547258649553,0.0,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0062358379364013,0.0086069107055664,0.0081062316894531,0.0081062316894531,0.0,0.0112056732177734,0.0112056732177734,0.0,0.0062670026506696,0.0078678131103515,0.496,1.36,6.576,5.76,112.0,25.0,20.0,25.152,27.344,-81.06441497802734,-267.0148213704427,250.12344121932983,453.5761117935181,0.0215053558349609,0.0097547258649553,0.0,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061516714568185,0.0081062316894531,0.0107288360595703,0.0107288360595703,0.0052452087402343,0.0071525573730468,0.0071525573730468,0.0058174133300781,0.0062670026506696,0.0078678131103515,0.496,1.424,6.448,7.04,118.448,33.33333333333333,20.0,25.152,27.344,-105.68907260894773,-268.7326669692993,340.59232473373413,562.0161294937134,0.0215053558349609,0.0097547258649553,6.752,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061228655386662,0.0082015991210937,0.0092983245849609,0.0092983245849609,0.0053644180297851,0.0088214874267578,0.0088214874267578,0.0060319900512695,0.0062670026506696,0.0078678131103515,0.496,1.36,6.096,5.76,135.384,25.0,40.0,25.152,27.344,-101.18570327758788,-296.6632843017578,266.66855812072754,484.9280834197998,0.0215053558349609,0.0097547258649553,35.936,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0063499601760713,0.0085830688476562,0.0090599060058593,0.0090599060058593,0.0056028366088867,0.0126361846923828,0.0126361846923828,0.0067949295043945,0.0062670026506696,0.0078678131103515,0.496,1.424,8.88,9.072,116.544,20.0,20.0,25.152,27.344,-107.13937282562252,-300.47309398651123,210.20042896270752,450.1786947250367,0.0215053558349609,0.0097547258649553,27.728,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0059354305267333,0.0076532363891601,0.0083446502685546,0.0083446502685546,0.0,0.0069141387939453,0.0069141387939453,0.0,0.0062670026506696,0.0078678131103515,0.496,1.424,6.576,6.928,112.0,20.0,20.0,25.152,27.344,-38.66519927978516,-210.00045537948608,251.4780759811401,449.1104364395142,0.0215053558349609,0.0097547258649553,0.0,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061452388763427,0.0083446502685546,0.0064373016357421,0.0064373016357421,0.0,0.0104904174804687,0.0104904174804687,0.0,0.0062670026506696,0.0078678131103515,0.496,1.36,6.448,7.04,112.0,33.33333333333333,20.0,25.152,27.344,-109.61763858795165,-268.0058479309082,338.3573889732361,553.404426574707,0.0215053558349609,0.0097547258649553,0.0,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061419472765566,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0069141387939453,0.0078678131103515,0.0078678131103515,0.0069141387939453,0.0062670026506696,0.0078678131103515,0.496,1.36,6.096,5.76,116.632,25.0,40.0,25.152,27.344,-86.5959644317627,-266.9993241628011,266.6636308034261,484.2041969299317,0.0215053558349609,0.0097547258649553,4.344,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0060451030731201,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0,0.00762939453125,0.00762939453125,0.0,0.0062670026506696,0.0078678131103515,0.496,1.424,8.88,9.072,112.0,20.0,20.0,25.152,27.344,-110.60972213745114,-321.73842191696167,211.28487586975095,448.3153104782105,0.0215053558349609,0.0097547258649553,0.0,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0063115684547234,0.0085830688476562,0.0085830688476562,0.0085830688476562,0.0050067901611328,0.011444091796875,0.011444091796875,0.0050067901611328,0.0062670026506696,0.0078678131103515,0.496,1.36,6.576,6.928,113.256,20.0,20.0,25.152,27.344,-42.28475093841553,-210.74676513671875,252.38066911697388,449.99527931213385,0.0215053558349609,0.0097547258649553,1.192,0
