time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_ul_ms,a1_latency_p90_ul_ms,e2_du_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_packet_loss_ul_percentage,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0068473815917968,0.0088453292846679,0.0042745045253208,0.0047683715820312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,6.544,0.0,0.0,20.0,112.0,25.0,0.0,0.0,-315.026593208313,723.9800930023193,-478.9823889732361,534.1886679331461,122.784,1
140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0070920631067076,0.0092983245849609,0.0040146188998441,0.0047683715820312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.096,5.76,0.0,0.0,25.0,121.824,40.0,0.0,0.0,-358.54129791259766,722.0654964447021,-534.304698308309,533.5295995076498,5539.256,1
141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0067623100470547,0.0085830688476562,0.0045431984795464,0.0054836273193359,0.0086784362792968,0.0,0.0,0.0,0.0110149383544921,0.0,0.0,0.0,11.12,11.856,3.744,4.232,14.285714285714285,114.264,14.285714285714285,85.01625061035156,85.02616882324219,-201.521635055542,674.6295690536499,-495.32997608184814,313.4140968322754,168.816,1
142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0063447809931057,0.0083446502685546,0.0042915344238281,0.0042915344238281,0.0089406967163085,0.0,0.0,0.0,0.0122785568237304,0.0,0.0,0.0,16.544,30.608,8.016,8.464,7.6923076923076925,113.256,8.333333333333332,85.01449498263273,85.03580093383789,-48.7697124481201,592.6456451416016,-150.32541751861572,265.674352645874,1.192,1
143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0067919640991818,0.0090599060058593,0.0044164203462146,0.005960464477539,0.0094005039760044,0.0,0.0,0.0,0.014352798461914,0.0,0.0,0.0,5.6,6.544,4.928,5.416,20.0,117.888,25.0,85.01681414517489,85.03556251525879,-321.3916778564453,718.9513683319092,-480.5180430412293,534.7183545430502,175.8,1
144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0068542405302301,0.009012222290039,0.0042052979164935,0.0050067901611328,0.0079274177551269,0.0,0.0,0.0,0.0115633010864257,0.0,0.0,0.0,6.944,5.76,7.08,6.552,25.0,123.64,33.33333333333333,85.01297235488892,85.01715660095215,-363.9976501464844,631.0416460037231,-534.302552541097,450.72638988494873,425.992,1
145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0067535956301281,0.0090599060058593,0.0,0.0,0.0088453292846679,0.0,0.0,0.0,0.0120401382446289,0.0,0.0,0.0,26.112,18.912,8.264,7.736,16.666666666666664,111.376,50.0,85.0163459777832,85.03031730651855,-34.40952301025392,441.50991439819336,-239.76821899414065,290.7012939453125,0.0,1
146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0062263011932373,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.096,5.76,0.0,0.0,25.0,112.0,40.0,0.0,0.0,-310.9326362609863,730.9108257293701,-383.11243057250977,533.592144648234,0.0,1
147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.006335973739624,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.856,10.24,0.0,0.0,16.666666666666664,112.0,16.666666666666664,0.0,0.0,-394.80834007263184,763.5952949523926,-579.5817852020264,521.2100028991699,0.0,1
148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0069772495942957,0.0088214874267578,0.0040601123267318,0.0049591064453125,0.0093936920166015,0.0,0.0,0.0,0.0153541564941406,0.0,0.0,0.0,6.448,7.04,3.744,4.232,33.33333333333333,132.768,20.0,85.01725196838379,85.03055572509766,-307.2747230529785,712.206506729126,-477.234959602356,549.2091774940491,4067.096,1
