time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059450443704329,0.0081062316894531,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0121593475341796,0.0121593475341796,0.0057220458984375,0.0047683715820312,0.0047683715820312,0.0067710876464843,0.011444091796875,0.0278949737548828,0.496,1.36,0.0,0.0,113.256,8.016,7.936,0.0,0.0,1.192,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005953311920166,0.0081300735473632,0.00762939453125,0.00762939453125,0.0,0.0,0.0073909759521484,0.0073909759521484,0.0061988830566406,0.0,0.0,0.0087261199951171,0.0110308329264322,0.0272274017333984,0.496,1.36,0.0,0.0,112.0,12.008,11.968,0.0,0.0,0.0,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060737133026123,0.0078678131103515,0.0083446502685546,0.0083446502685546,0.0,0.0,0.013589859008789,0.013589859008789,0.0058650970458984,0.0,0.0,0.008392333984375,0.010228157043457,0.0246047973632812,0.496,1.36,0.0,0.0,112.0,8.264,7.736,0.0,0.0,0.0,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060629844665527,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0128746032714843,0.0128746032714843,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060272216796875,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060292618784738,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0145435333251953,0.0145435333251953,0.0060081481933593,0.0069141387939453,0.0069141387939453,0.0076770782470703,0.0109672546386718,0.020599365234375,0.496,1.36,0.0,0.0,113.256,3.744,4.232,0.0,0.0,1.192,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061348303040461,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0092983245849609,0.0092983245849609,0.0060319900512695,0.0088214874267578,0.0088214874267578,0.0088691711425781,0.0107765197753906,0.0256776809692382,0.496,1.36,0.0,0.0,113.256,7.488,8.464,0.0,0.0,1.192,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060767083618771,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0150203704833984,0.0150203704833984,0.0062465667724609,0.0064373016357421,0.0064373016357421,0.0080108642578125,0.0103632609049479,0.0260353088378906,0.496,1.36,0.0,0.0,113.256,12.008,11.968,0.0,0.0,1.192,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060343742370605,0.0081300735473632,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0123977661132812,0.0123977661132812,0.0059366226196289,0.0,0.0,0.0081300735473632,0.0108003616333007,0.0266075134277343,0.496,1.36,0.0,0.0,112.0,8.264,7.736,0.0,0.0,0.0,0
42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061595439910888,0.0083446502685546,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0
