time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_dl_kbps,F-node
30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060661672958599,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0071525573730468,0.0084877014160156,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,119.56,0.0,0.0,6.696,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061386882668674,0.0080823898315429,0.0073909759521484,0.0073909759521484,0.0060796737670898,0.0061750411987304,0.0104904174804687,0.0104904174804687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,116.096,0.0,0.0,3.744,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059343689116672,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0066757202148437,0.0066757202148437,0.0081062316894531,0.0081062316894531,0.0065326690673828,0.0,0.0,0.0,0.0085830688476562,0.0,0.0113248825073242,0.028395652770996,0.496,1.424,0.0,0.0,113.256,7.488,8.464,1.192,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061229686831953,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0073909759521484,0.0073909759521484,0.0126361846923828,0.0126361846923828,0.0061194101969401,0.0,0.0,0.0,0.0083446502685546,0.0,0.0111623243852095,0.0312328338623046,0.496,1.36,0.0,0.0,113.256,8.016,7.936,1.192,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061822767874494,0.0088214874267578,0.0073909759521484,0.0073909759521484,0.0081062316894531,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0059008598327636,0.0,0.0,0.0,0.0083684921264648,0.0,0.0114798545837402,0.028085708618164,0.496,1.36,0.0,0.0,117.192,16.528,15.472,5.56,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062744216163559,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.00762939453125,0.009012222290039,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,117.936,0.0,0.0,11.048,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063753595539167,0.0090599060058593,0.0088214874267578,0.0088214874267578,0.0056353482333096,0.0073909759521484,0.0054836273193359,0.0054836273193359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,128.192,0.0,0.0,50.232,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059592783154539,0.0081062316894531,0.0061988830566406,0.0061988830566406,0.0,0.0,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,115.288,0.0,0.0,0.0,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060434958234948,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0057220458984375,0.0057220458984375,0.0052452087402343,0.0052452087402343,0.006103515625,0.0,0.0,0.0,0.0087261199951171,0.0,0.0122308731079101,0.0309467315673828,0.496,1.424,0.0,0.0,113.256,7.488,8.464,1.192,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062854728888516,0.0090599060058593,0.0095367431640625,0.0095367431640625,0.00762939453125,0.00762939453125,0.0083446502685546,0.0083446502685546,0.0060796737670898,0.0,0.0,0.0,0.0086307525634765,0.0,0.0114917755126953,0.0294208526611328,0.496,1.36,0.0,0.0,113.256,7.488,8.464,1.192,0
