time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,a1_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,f1_u_throughput_dl_kbps,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,F-node
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060956869552384,0.0083446502685546,0.0045299530029296,0.0045299530029296,0.0109672546386718,0.0065122331891741,0.0130653381347656,0.0083446502685546,0.0092302049909319,0.0104904174804687,0.0104904174804687,0.0104904174804687,0.0131607055664062,0.0189781188964843,0,0.496,1.36,1.696,1.696,113.256,25.152,27.344,0.0,1.192,0.00762939453125,0.00762939453125,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060164928436279,0.0078678131103515,0.0,0.0,0.0,0.0065122331891741,0.0,0.0083446502685546,0.0092302049909319,0.0109672546386718,0.0109672546386718,0.0,0.0,0.0189781188964843,0,0.496,1.36,0.0,0.0,112.0,25.152,27.344,0.0,0.0,0.0102519989013671,0.0102519989013671,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061444865847096,0.0088214874267578,0.0038711757926674,0.0045299530029296,0.0,0.0065122331891741,0.0,0.0083446502685546,0.0092302049909319,0.0123977661132812,0.0123977661132812,0.0,0.0,0.0189781188964843,0,0.496,1.36,0.0,0.0,143.152,25.152,27.344,0.0,12982.384,0.0071525573730468,0.0071525573730468,0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006650686264038,0.0090599060058593,0.0038514654320406,0.0043153762817382,0.0,0.0065122331891741,0.0,0.0083446502685546,0.0092302049909319,0.009775161743164,0.009775161743164,0.0,0.0,0.0189781188964843,0,0.496,1.36,0.0,0.0,112.0,25.152,27.344,0.0,9351.472,0.0085830688476562,0.0085830688476562,0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060486793518066,0.0078678131103515,0.0,0.0,0.0,0.0065122331891741,0.0,0.0083446502685546,0.0092302049909319,0.0147819519042968,0.0147819519042968,0.0,0.0,0.0189781188964843,0,0.496,1.424,0.0,0.0,112.0,25.152,27.344,0.0,0.0,0.0071525573730468,0.0071525573730468,0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006031634202644,0.0081062316894531,0.0050067901611328,0.0050067901611328,0.0,0.0065122331891741,0.0,0.0083446502685546,0.0092302049909319,0.0109672546386718,0.0109672546386718,0.0,0.0,0.0189781188964843,0,0.496,1.36,0.0,0.0,113.256,25.152,27.344,0.0,1.192,0.0069141387939453,0.0069141387939453,0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060043524746871,0.0078678131103515,0.00762939453125,0.00762939453125,0.0,0.0065122331891741,0.0,0.0083446502685546,0.0092302049909319,0.0102519989013671,0.0102519989013671,0.0,0.0,0.0189781188964843,0,0.496,1.36,0.0,0.0,113.256,25.152,27.344,0.0,1.192,0.0069141387939453,0.0069141387939453,0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060079109609423,0.0081062316894531,0.0047683715820312,0.0047683715820312,0.0,0.0065122331891741,0.0,0.0083446502685546,0.0092302049909319,0.00762939453125,0.00762939453125,0.0,0.0,0.0189781188964843,0,0.496,1.36,0.0,0.0,113.256,25.152,27.344,0.0,1.192,0.0071525573730468,0.0071525573730468,0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060868263244628,0.0078678131103515,0.0,0.0,0.0,0.0065122331891741,0.0,0.0083446502685546,0.0092302049909319,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0189781188964843,0,0.496,1.36,0.0,0.0,112.0,25.152,27.344,0.0,0.0,0.0073909759521484,0.0073909759521484,0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060737133026123,0.0078678131103515,0.0,0.0,0.0,0.0065122331891741,0.0,0.0083446502685546,0.0092302049909319,0.00762939453125,0.00762939453125,0.0,0.0,0.0189781188964843,0,0.496,1.36,0.0,0.0,112.0,25.152,27.344,0.0,0.0,0.0085830688476562,0.0085830688476562,0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0068597423220143,0.0095367431640625,0.0038683470112491,0.0045299530029296,0.0,0.0065122331891741,0.0,0.0083446502685546,0.0092302049909319,0.00762939453125,0.00762939453125,0.0,0.0,0.0189781188964843,0,0.496,1.36,0.0,0.0,143.152,25.152,27.344,0.0,36580.872,0.005960464477539,0.005960464477539,0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0070742706754314,0.0092983245849609,0.0039260785530476,0.0047683715820312,0.0,0.0065122331891741,0.0,0.0083446502685546,0.0092302049909319,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0189781188964843,0,0.496,1.424,0.0,0.0,117.192,25.152,27.344,0.0,6081.32,0.0138282775878906,0.0138282775878906,0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061265271694505,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0,0.0065122331891741,0.0,0.0083446502685546,0.0092302049909319,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0189781188964843,0,0.496,1.424,0.0,0.0,113.256,25.152,27.344,0.0,1.192,0.0083446502685546,0.0083446502685546,0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062166754879168,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0,0.0065122331891741,0.0,0.0083446502685546,0.0092302049909319,0.0145435333251953,0.0145435333251953,0.0,0.0,0.0189781188964843,0,0.496,1.424,0.0,0.0,113.256,25.152,27.344,0.0,1.192,0.0085830688476562,0.0085830688476562,0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006234467919193,0.0083446502685546,0.0047683715820312,0.0047683715820312,0.0,0.0,0.0,0.0,0.0,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0,0,0.496,1.36,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0.00762939453125,0.00762939453125,0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060399373372395,0.0081062316894531,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0,0.0,0.0133514404296875,0.0133514404296875,0.0,0.0,0.0,0,0.496,1.36,0.0,0.0,117.192,0.0,0.0,0.0,9.784,0.0092983245849609,0.0092983245849609,0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059306621551513,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0,0.496,1.424,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0078678131103515,0.0078678131103515,0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059759616851806,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009775161743164,0.009775161743164,0.0,0.0,0.0,0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.005960464477539,0.005960464477539,0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0071618163469925,0.0096559524536132,0.003880028681527,0.0045299530029296,0.0,0.0065803527832031,0.0,0.0091075897216796,0.0117301940917968,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0215530395507812,0,0.496,1.36,0.0,0.0,143.152,4.52,3.504,0.0,26282.728,0.0061988830566406,0.0061988830566406,0
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060257033922185,0.0078678131103515,0.0047683715820312,0.0047683715820312,0.0,0.0,0.0,0.0,0.0,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0,0,0.496,1.424,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0.0109672546386718,0.0109672546386718,0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.005988932367581,0.0081062316894531,0.005960464477539,0.005960464477539,0.0,0.0,0.0,0.0,0.0,0.0088214874267578,0.0107288360595703,0.0,0.0,0.0,0,1.344,2.24,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0.0073432922363281,0.0061988830566406,0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059236934529015,0.0078678131103515,0.0050067901611328,0.0050067901611328,0.0,0.0,0.0,0.0,0.0,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0,0,0.496,1.36,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0.0064373016357421,0.0064373016357421,0
