time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_p90_ul_ms,f1_u_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_p90_ul_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078678131103515,0.0059890747070312,0.0065326690673828,0.0088214874267578,0.0088214874267578,0.0084400177001953,0.0123977661132812,0.0123977661132812,0.0,0.0,0.0073909759521484,0.0062465667724609,0.0085830688476562,0.0093460083007812,0.496,1.36,6.576,6.928,112.0,16.528,15.472,0.0286340713500976,0.0114083290100097,0.0,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0059068202972412,0.0056743621826171,0.009775161743164,0.009775161743164,0.0069618225097656,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0067949295043945,0.0,0.0,0.008702278137207,0.496,1.36,6.448,7.04,112.0,0.0,0.0,0.0,0.0,0.0,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.006108283996582,0.0077724456787109,0.0078678131103515,0.0078678131103515,0.0093460083007812,0.011444091796875,0.011444091796875,0.0,0.0,0.007331371307373,0.0,0.0,0.0087976455688476,0.496,1.36,6.096,5.76,112.0,0.0,0.0,0.0,0.0,0.0,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0059974193572998,0.0070571899414062,0.0085830688476562,0.0085830688476562,0.0078678131103515,0.0162124633789062,0.0162124633789062,0.0,0.0,0.0066757202148437,0.0,0.0,0.0077724456787109,0.496,1.36,8.88,9.072,112.0,0.0,0.0,0.0,0.0,0.0,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078678131103515,0.0057279767088629,0.0061988830566406,0.0088214874267578,0.0088214874267578,0.0071525573730468,0.0083446502685546,0.0083446502685546,0.0052452087402343,0.0052452087402343,0.0086784362792968,0.0061988830566406,0.0081539154052734,0.0107765197753906,0.496,1.36,6.576,6.928,113.256,7.488,8.464,0.0290870666503906,0.0110387802124023,1.192,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0088214874267578,0.0063866232904259,0.0061988830566406,0.0081062316894531,0.0081062316894531,0.0092506408691406,0.0085830688476562,0.0085830688476562,0.0048305677331012,0.0061511993408203,0.0070730845133463,0.0069856643676757,0.0090360641479492,0.0088214874267578,0.496,1.36,6.448,7.04,144.408,7.488,8.464,0.0286102294921875,0.0110149383544921,195.768,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0059474166946031,0.0061988830566406,0.00762939453125,0.00762939453125,0.0077724456787109,0.0107288360595703,0.0107288360595703,0.0061988830566406,0.0061988830566406,0.0060200691223144,0.0062108039855957,0.0086069107055664,0.0071287155151367,0.496,1.424,6.096,5.76,113.256,16.528,15.472,0.0280380249023437,0.0110864639282226,1.192,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078916549682617,0.0061845779418945,0.0060558319091796,0.0088214874267578,0.0088214874267578,0.0071048736572265,0.0140666961669921,0.0140666961669921,0.0,0.0,0.006866455078125,0.0,0.0,0.0073909759521484,0.496,1.392,8.88,9.072,112.0,0.0,0.0,0.0,0.0,0.0,0
42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083684921264648,0.0060093402862548,0.006103515625,0.0121593475341796,0.0121593475341796,0.00762939453125,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0066280364990234,0.0,0.0,0.0075817108154296,0.496,1.36,6.576,6.928,112.0,0.0,0.0,0.0,0.0,0.0,0
43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0058984756469726,0.006723403930664,0.0092983245849609,0.0092983245849609,0.0111579895019531,0.0128746032714843,0.0128746032714843,0.0,0.0,0.0065565109252929,0.0,0.0,0.0079870223999023,0.496,1.36,6.448,7.04,112.0,0.0,0.0,0.0,0.0,0.0,0
44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0060662990663109,0.0069618225097656,0.0092983245849609,0.0092983245849609,0.0098228454589843,0.0071525573730468,0.0071525573730468,0.0050783157348632,0.0068187713623046,0.0088810920715332,0.0066995620727539,0.0087738037109375,0.0111818313598632,0.496,1.36,6.096,5.76,135.416,7.488,8.464,0.0296354293823242,0.012063980102539,73.312,0
45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0060454453572188,0.006723403930664,0.0092983245849609,0.0092983245849609,0.0074386596679687,0.0126361846923828,0.0126361846923828,0.0047922134399414,0.0055789947509765,0.0070095062255859,0.0061988830566406,0.0081062316894531,0.0089168548583984,0.496,1.424,8.88,9.072,118.448,7.488,8.464,0.0287055969238281,0.0110626220703125,80.208,0
46,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0061573673836627,0.006103515625,0.0100135803222656,0.0100135803222656,0.0073432922363281,0.0102519989013671,0.0102519989013671,0.0050067901611328,0.0050067901611328,0.0080585479736328,0.006103515625,0.008392333984375,0.0106334686279296,0.496,1.424,6.576,6.928,113.256,16.528,15.472,0.0298500061035156,0.0112891197204589,1.192,0
47,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0062763984567426,0.0058174133300781,0.0088214874267578,0.0088214874267578,0.0081062316894531,0.0121593475341796,0.0121593475341796,0.0046730041503906,0.0056266784667968,0.0073115030924479,0.0,0.0,0.0089406967163085,0.496,1.36,6.448,7.04,123.64,0.0,0.0,0.0,0.0,40.2,0
48,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0061047077178955,0.0084877014160156,0.0095367431640625,0.0095367431640625,0.0133514404296875,0.011444091796875,0.011444091796875,0.0,0.0,0.0077486038208007,0.0,0.0,0.0102996826171875,0.496,1.424,6.096,5.76,112.0,0.0,0.0,0.0,0.0,0.0,0
49,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083684921264648,0.0062894821166992,0.007486343383789,0.0100135803222656,0.0100135803222656,0.0098228454589843,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0064849853515625,0.0,0.0,0.0072002410888671,0.496,1.36,8.88,9.072,112.0,0.0,0.0,0.0,0.0,0.0,0
50,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085830688476562,0.0062740495052243,0.0057220458984375,0.0090599060058593,0.0090599060058593,0.0067710876464843,0.0107288360595703,0.0107288360595703,0.0052054723103841,0.0071525573730468,0.0081062316894531,0.007176399230957,0.0100612640380859,0.0104427337646484,0.496,1.36,6.576,6.928,127.576,7.488,8.464,0.0306129455566406,0.0116825103759765,212.4,0
51,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0060672190651964,0.0062465667724609,0.009775161743164,0.009775161743164,0.0090599060058593,0.0092983245849609,0.0092983245849609,0.0049591064453125,0.0057697296142578,0.0072320302327473,0.0059366226196289,0.0081539154052734,0.0100135803222656,0.496,1.424,6.448,7.04,117.192,7.488,8.464,0.0284910202026367,0.0113964080810546,52.456,0
52,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085830688476562,0.0061194101969401,0.0060081481933593,0.0095367431640625,0.0095367431640625,0.0075340270996093,0.0140666961669921,0.0140666961669921,0.0088214874267578,0.0088214874267578,0.0075101852416992,0.0062365280954461,0.0088214874267578,0.0089883804321289,0.496,1.392,6.096,5.76,113.256,17.056,14.944,0.0295639038085937,0.011693863641648,1.192,0
