time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,a1_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
177,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062143031637466,0.0083446502685546,0.0102519989013671,0.0102519989013671,0.0,0.00762939453125,0.0143051147460937,0.0143051147460937,0.00762939453125,0.0,0.0,0.0054836273193359,0.0054836273193359,0.0,0.496,1.36,0.0,0.784,113.256,0.0,0.0,1067.0106410980225,1067.0106410980225,1.192,1
178,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062143031637466,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0,0.00762939453125,0.0069141387939453,0.0069141387939453,0.00762939453125,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.496,0.0,113.256,0.0,0.0,0.0,0.0,1.192,1
179,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062143031637466,0.0083446502685546,0.0064373016357421,0.0064373016357421,0.0063180923461914,0.00762939453125,0.0095367431640625,0.0095367431640625,0.00762939453125,0.0083684921264648,0.0113844871520996,0.0,0.0,0.0221490859985351,0.496,1.36,0.0,0.0,113.256,3.216,3.704,0.0,0.0,1.192,1
180,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062143031637466,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0088214874267578,0.00762939453125,0.0083446502685546,0.0083446502685546,0.00762939453125,0.0088214874267578,0.0081062316894531,0.0,0.0,0.0081062316894531,0.496,1.36,0.0,0.0,113.256,0.528,0.528,0.0,0.0,1.192,1
181,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059272519391567,0.0081062316894531,0.0061988830566406,0.0061988830566406,0.006866455078125,0.0061988830566406,0.0123977661132812,0.0123977661132812,0.0061988830566406,0.0091075897216796,0.011444091796875,0.0,0.0,0.0226974487304687,0.496,1.36,0.0,0.0,113.256,3.744,4.232,0.0,0.0,1.192,1
182,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005930810425412,0.0078678131103515,0.0073909759521484,0.0073909759521484,0.0058809916178385,0.0092983245849609,0.0102519989013671,0.0102519989013671,0.0092983245849609,0.0067710876464843,0.0102519989013671,0.0,0.0,0.0257492065429687,0.496,1.36,0.0,0.0,113.256,8.792,7.208,0.0,0.0,1.192,1
183,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061941384083002,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0,0.0047683715820312,0.009775161743164,0.009775161743164,0.0047683715820312,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,113.256,0.0,0.0,0.0,0.0,1.192,1
184,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063824653625488,0.0090599060058593,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0104904174804687,0.0104904174804687,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,1
185,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061607360839843,0.0083684921264648,0.0071048736572265,0.005960464477539,0.0,0.0,0.0092983245849609,0.0100612640380859,0.0,0.0,0.0,0.0066757202148437,0.0066757202148437,0.0,1.344,2.208,0.0,3.312,112.0,0.0,0.0,1067.0104026794434,1067.0104026794434,0.0,1
186,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062358379364013,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0058650970458984,0.0,0.0150203704833984,0.0150203704833984,0.0,0.0074386596679687,0.0115871429443359,0.0066757202148437,0.0066757202148437,0.0229835510253906,0.496,1.36,3.28,0.496,112.0,3.744,4.232,1067.016363143921,1067.016363143921,0.0,1
