time_seconds,a1_retransmissions_ul_count,a1_packet_loss_ul_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,f1_u_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,a1_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061504911668229,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0104904174804687,0.0051657358805338,0.0104904174804687,0.0,0.0061988830566406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,118.448,0.0,21.304,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061549950594925,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0138282775878906,0.0069141387939453,0.0138282775878906,0.0,0.0069141387939453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,113.256,0.0,1.192,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060558319091796,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0085830688476562,0.0,0.0085830688476562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063526630401611,0.0088214874267578,0.0069141387939453,0.0069141387939453,0.0095367431640625,0.0,0.0095367431640625,0.0071048736572265,0.0,0.0094413757324218,0.0,0.0102519989013671,0.0,0.0,0.0,0.0185489654541015,0.496,1.36,0.0,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064718723297119,0.0088214874267578,0.0071525573730468,0.0071525573730468,0.0138282775878906,0.0,0.0138282775878906,0.006103515625,0.0,0.0077247619628906,0.0,0.0123023986816406,0.0,0.0,0.0,0.0218868255615234,0.496,1.36,0.0,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061631202697753,0.0083446502685546,0.009775161743164,0.009775161743164,0.0071525573730468,0.0,0.0071525573730468,0.0076532363891601,0.0,0.0101327896118164,0.0,0.0107049942016601,0.0,0.0,0.0,0.0238895416259765,0.496,1.36,0.0,0.0,0.0,8.264,7.736,112.0,0.0,0.0,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062451433779588,0.0083446502685546,0.0073671340942382,0.0063180923461914,0.00762939453125,0.0052452087402343,0.0080108642578125,0.0,0.0052452087402343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.344,2.208,0.0,0.0,0.0,0.0,0.0,113.256,0.0,1.192,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063305470480847,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0100135803222656,0.0078678131103515,0.0100135803222656,0.0,0.0078678131103515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,113.256,0.0,1.192,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062807282405113,0.0088214874267578,0.0112056732177734,0.0112056732177734,0.0116825103759765,0.0050067901611328,0.0116825103759765,0.0,0.0050067901611328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,113.256,0.0,1.192,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.006263256072998,0.0083684921264648,0.0109672546386718,0.0109672546386718,0.0083446502685546,0.0,0.0083446502685546,0.0060558319091796,0.0,0.0076770782470703,0.0,0.0102996826171875,0.0,0.0,0.0,0.0192165374755859,0.496,1.36,0.0,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0
