time_seconds,a1_retransmissions_ul_count,a1_packet_loss_ul_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
57,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063210577514041,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0078678131103515,0.0,0.0078678131103515,0.0,0.0,0.0,0.0109672546386718,0.0109672546386718,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,113.256,0.0,1.192,0
58,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.006570816040039,0.0085830688476562,0.005960464477539,0.005960464477539,0.0045299530029296,0.0,0.0045299530029296,0.0,0.0,0.0,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,112.696,0.0,1.192,0
59,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061750411987304,0.0083684921264648,0.0095605850219726,0.0077486038208007,0.0,0.0,0.0,0.0,0.0,0.0,0.0104904174804687,0.0125885009765625,0.0,0.0,0.0,0.0,1.344,2.208,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0
60,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062421256420659,0.0085115432739257,0.0109672546386718,0.0109672546386718,0.0040417082572097,0.0,0.0047683715820312,0.0,0.0,0.0070095062255859,0.0085830688476562,0.0085830688476562,0.0,0.0088214874267578,0.0111579895019531,0.0197887420654296,0.496,1.36,0.0,0.0,0.0,3.744,4.232,132.768,0.0,2221.544,0
61,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061225891113281,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0,0.0,0.0059127807617187,0.0123977661132812,0.0123977661132812,0.0,0.0076770782470703,0.0103950500488281,0.0188827514648437,0.496,1.36,0.0,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0
62,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063645839691162,0.0086069107055664,0.005960464477539,0.005960464477539,0.0,0.0,0.0,0.0,0.0,0.0070810317993164,0.0071525573730468,0.0071525573730468,0.0,0.0088691711425781,0.0107526779174804,0.0241279602050781,0.496,1.36,0.0,0.0,0.0,8.264,7.736,112.0,0.0,0.0,0
63,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062791427763381,0.0088214874267578,0.0064373016357421,0.0064373016357421,0.0058412551879882,0.0,0.0072717666625976,0.0,0.0,0.0,0.0119209289550781,0.0119209289550781,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,116.88,0.0,4.528,0
64,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0067996043784945,0.0095367431640625,0.0064373016357421,0.0064373016357421,0.0039494153365348,0.0,0.0047683715820312,0.0,0.0,0.0,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,133.464,0.0,10935.744,0
65,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0071584588230246,0.0092983245849609,0.0078678131103515,0.0078678131103515,0.0041017254579414,0.0,0.0050067901611328,0.0,0.0,0.0062306722005208,0.00762939453125,0.00762939453125,0.0,0.0080585479736328,0.009775161743164,0.0195503234863281,0.496,1.36,0.0,0.0,0.0,10.776,11.312,116.864,0.0,3074.632,0
66,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.006495714187622,0.0085830688476562,0.0066757202148437,0.0066757202148437,0.0041313469409942,0.0,0.0051736831665039,0.0,0.0,0.005960464477539,0.0071525573730468,0.0071525573730468,0.0,0.0077247619628906,0.0107765197753906,0.0193595886230468,0.496,1.36,0.0,0.0,0.0,3.744,4.232,112.0,0.0,671.44,0
