time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064776311466349,0.0081062316894531,0.005960464477539,0.005960464477539,0.0,0.0,0.0109672546386718,0.0109672546386718,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,113.256,0.0088214874267578,0.0088214874267578,1.192,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006524643095413,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0,0.006723403930664,0.0119209289550781,0.0119209289550781,0.0,0.0,0.0,0.0091075897216796,0.0108242034912109,0.0204086303710937,0.496,1.36,0.0,0.0,3.744,4.232,0.0,116.752,0.009775161743164,0.0103473663330078,4.4,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066294598935255,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0,0.005960464477539,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.0088214874267578,0.0110149383544921,0.0283241271972656,0.496,1.36,0.0,0.0,7.488,8.464,0.0,113.256,0.0073909759521484,0.0073909759521484,1.192,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064859342812305,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0,0.0063101450602213,0.0119209289550781,0.0119209289550781,0.0,0.0,0.0,0.0086307525634765,0.0110626220703125,0.0284671783447265,0.496,1.424,0.0,0.0,12.008,11.968,0.0,113.256,0.0066757202148437,0.0066757202148437,1.192,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066184997558593,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0,0.0065803527832031,0.0145435333251953,0.0145435333251953,0.0,0.0,0.0,0.008392333984375,0.0110864639282226,0.0269651412963867,0.496,1.36,0.0,0.0,8.264,7.736,0.0,112.0,0.0,0.0,0.0,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065076351165771,0.0085830688476562,0.009775161743164,0.009775161743164,0.0,0.0,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073550974281088,0.009775161743164,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,143.152,0.0039041820456402,0.0045299530029296,17116.416,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069426066839872,0.0088214874267578,0.0085830688476562,0.0085830688476562,0.0,0.0088691711425781,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0138282775878906,0.0112056732177734,0.0209808349609375,0.496,1.424,0.0,0.0,3.744,4.232,0.0,117.192,0.0039127451428294,0.0047683715820312,3777.376,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006608108975994,0.0085830688476562,0.0100135803222656,0.0100135803222656,0.0,0.0069141387939453,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0,0.0088214874267578,0.0116825103759765,0.0295400619506835,0.496,1.424,0.0,0.0,7.488,8.464,0.0,113.256,0.005960464477539,0.005960464477539,1.192,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065286361162935,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0,0.0065485636393229,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0,0.0090599060058593,0.011142094930013,0.0270366668701171,0.496,1.36,0.0,0.0,12.008,11.968,0.0,113.256,0.0061988830566406,0.0061988830566406,1.192,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007178269180597,0.0090599060058593,0.0107288360595703,0.0107288360595703,0.0,0.006723403930664,0.009775161743164,0.009775161743164,0.0,0.0,0.0,0.0091791152954101,0.0106334686279296,0.024580955505371,0.496,1.36,0.0,0.0,8.264,7.736,0.0,128.832,0.0039870861553236,0.0047683715820312,6434.168,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006493330001831,0.0083446502685546,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068267973342744,0.0088214874267578,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.392,0.0,0.0,0.0,0.0,0.0,122.384,0.004105269908905,0.0050067901611328,1354.512,0
43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065457820892333,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0,0.0059127807617187,0.0133514404296875,0.0133514404296875,0.0,0.0,0.0,0.0075340270996093,0.0110149383544921,0.0208377838134765,0.496,1.424,0.0,0.0,3.744,4.232,0.0,112.0,0.0,0.0,0.0,0
44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065934658050537,0.0083684921264648,0.0073909759521484,0.0073909759521484,0.0,0.0061511993408203,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.0090837478637695,0.0108957290649414,0.0277042388916015,0.496,1.392,0.0,0.0,7.488,8.464,0.0,112.0,0.0,0.0,0.0,0
45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066152259485045,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0,0.0063578287760416,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0094413757324218,0.0109513600667317,0.0259876251220703,0.496,1.36,0.0,0.0,12.008,11.968,0.0,113.256,0.0057220458984375,0.0057220458984375,1.192,0
46,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066140397864194,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0,0.0069379806518554,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0,0.0092267990112304,0.0108718872070312,0.0270605087280273,0.496,1.36,0.0,0.0,8.264,7.736,0.0,113.256,0.0071525573730468,0.0071525573730468,1.192,0
