time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
117,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072056704228467,0.0097513198852539,0.0081062316894531,0.0081062316894531,0.0050067901611328,0.0061511993408203,0.0109672546386718,0.0109672546386718,0.0082015991210937,0.0108242034912109,0.0,0.0,0.0,0.0,0.0208043037576878,0.0201702117919921,0.496,1.36,0.0,0.0,118.448,3.744,4.232,34.903047091412745,5205.184,1
118,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072056704228467,0.0097513198852539,0.0078678131103515,0.0078678131103515,0.0050067901611328,0.0059366226196289,0.009775161743164,0.009775161743164,0.0081777572631835,0.0108242034912109,0.0,0.0,0.0,0.0,0.0208043037576878,0.0258207321166992,0.496,1.36,0.0,0.0,118.448,8.264,7.736,34.903047091412745,5205.184,1
119,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072056704228467,0.0097513198852539,0.00762939453125,0.00762939453125,0.0050067901611328,0.0,0.0071525573730468,0.0071525573730468,0.0,0.0,0.009775161743164,0.0154972076416015,0.0154972076416015,0.009775161743164,0.0208043037576878,0.0,0.496,1.36,0.848,0.848,118.448,0.0,0.0,34.903047091412745,5205.184,1
120,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072056704228467,0.0097513198852539,0.0121593475341796,0.0121593475341796,0.0050067901611328,0.0068187713623046,0.0100135803222656,0.0100135803222656,0.0093936920166015,0.0116825103759765,0.0121593475341796,0.0042915344238281,0.0042915344238281,0.0121593475341796,0.0208043037576878,0.0222682952880859,0.496,1.36,0.848,0.848,118.448,3.744,4.232,34.903047091412745,5205.184,1
121,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072056704228467,0.0097513198852539,0.0077724456787109,0.0064373016357421,0.0050067901611328,0.006866455078125,0.0113248825073242,0.0129461288452148,0.0094413757324218,0.0108718872070312,0.0,0.0,0.0,0.0,0.0208043037576878,0.0198841094970703,1.344,2.208,0.0,0.0,118.448,3.744,4.232,34.903047091412745,5205.184,1
122,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072056704228467,0.0097513198852539,0.0069141387939453,0.0069141387939453,0.0050067901611328,0.0060876210530598,0.0092983245849609,0.0092983245849609,0.008249282836914,0.0110467274983723,0.0,0.0,0.0,0.0,0.0208043037576878,0.0280380249023437,0.496,1.36,0.0,0.0,118.448,12.008,11.968,34.903047091412745,5205.184,1
123,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072056704228467,0.0097513198852539,0.0071525573730468,0.0071525573730468,0.0050067901611328,0.0059127807617187,0.0085830688476562,0.0085830688476562,0.0075817108154296,0.0106334686279296,0.0,0.0,0.0,0.0,0.0208043037576878,0.0200271606445312,0.496,1.36,0.0,0.0,118.448,3.744,4.232,34.903047091412745,5205.184,1
124,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072056704228467,0.0097513198852539,0.00762939453125,0.00762939453125,0.0050067901611328,0.0060558319091796,0.0102519989013671,0.0102519989013671,0.0083684921264648,0.0112056732177734,0.0,0.0,0.0,0.0,0.0208043037576878,0.0267982482910156,0.496,1.36,0.0,0.0,118.448,8.264,7.736,34.903047091412745,5205.184,1
125,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072056704228467,0.0097513198852539,0.0066757202148437,0.0066757202148437,0.0050067901611328,0.0,0.0102519989013671,0.0102519989013671,0.0,0.0,0.0,0.0,0.0,0.0,0.0208043037576878,0.0,0.496,1.36,0.0,0.0,118.448,0.0,0.0,34.903047091412745,5205.184,1
126,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072056704228467,0.0097513198852539,0.0088214874267578,0.0088214874267578,0.0050067901611328,0.0064373016357421,0.0102519989013671,0.0102519989013671,0.0091075897216796,0.0111103057861328,0.0,0.0,0.0,0.0,0.0208043037576878,0.0215530395507812,0.496,1.36,0.0,0.0,118.448,3.744,4.232,34.903047091412745,5205.184,1
