time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
93,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062261647845975,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0128746032714843,0.0128746032714843,0.0,0.0059008598327636,0.0,0.0,0.0,0.0064611434936523,0.010530153910319,0.0185966491699218,0.0045980725969587,0.0054836273193359,0.496,1.392,0.0,0.0,3.704,4.272,121.824,0.0,517.04,0
94,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060176849365234,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.0154972076416015,0.0154972076416015,0.0,0.0061670939127604,0.0,0.0,0.0,0.0088691711425781,0.0112374623616536,0.0272750854492187,0.0,0.0,0.496,1.424,0.0,0.0,11.968,12.008,112.0,0.0,0.0,1
95,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060629844665527,0.0081062316894531,0.0090599060058593,0.0090599060058593,0.0104904174804687,0.0104904174804687,0.0,0.0064373016357421,0.0,0.0,0.0,0.0084877014160156,0.0109195709228515,0.0205516815185546,0.0,0.0,0.496,1.392,0.0,0.0,4.232,3.744,112.0,0.0,0.0,1
96,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006032820364729,0.0078678131103515,0.0081062316894531,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0,0.005960464477539,0.0,0.0,0.0,0.0072002410888671,0.0108155337246981,0.0281333923339843,0.0,0.0,0.496,1.36,0.0,0.0,7.208,8.792,113.256,100.0,0.0,1
97,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061265271694505,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0119209289550781,0.0119209289550781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0090599060058593,0.0090599060058593,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,1.192,1
98,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006103990089834,0.0083446502685546,0.0085830688476562,0.0085830688476562,0.0066757202148437,0.0066757202148437,0.0,0.0072479248046875,0.0,0.0,0.0,0.009775161743164,0.0119686126708984,0.0220775604248046,0.0066757202148437,0.0066757202148437,0.496,1.36,0.0,0.0,4.232,3.744,113.256,0.0,1.192,1
99,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059247016906738,0.0078678131103515,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0,0.006103515625,0.0,0.0,0.0,0.0077724456787109,0.0110626220703125,0.0216484069824218,0.0,0.0,0.496,1.36,0.0,0.0,4.232,3.744,112.0,0.0,0.0,1
100,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059783458709716,0.0081062316894531,0.0083446502685546,0.0083446502685546,0.0147819519042968,0.0147819519042968,0.0,0.0059286753336588,0.0,0.0,0.0,0.008249282836914,0.0109672546386718,0.0279426574707031,0.0,0.0,0.496,1.36,0.0,0.0,11.968,12.008,112.0,0.0,0.0,1
101,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059795379638671,0.0078916549682617,0.0085830688476562,0.0085830688476562,0.0162124633789062,0.0162124633789062,0.0,0.006103515625,0.0,0.0,0.0,0.0076770782470703,0.01068115234375,0.0203132629394531,0.0,0.0,0.496,1.36,0.0,0.0,4.232,3.744,112.0,0.0,0.0,1
102,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060808658599853,0.0085830688476562,0.00762939453125,0.00762939453125,0.0131130218505859,0.0131130218505859,0.0,0.006066428290473,0.0,0.0,0.0,0.0077724456787109,0.0111839988014914,0.0257492065429687,0.0,0.0,0.496,1.36,0.0,0.0,7.208,8.792,112.0,0.0,0.0,1
