time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_ul_kbps,f1_u_throughput_dl_kbps,F-node
145,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062759835921709,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0067816840277777,0.0,0.0,0.0086784362792968,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.496,1.36,21.856,13.648,0.0,0.0,35.01075506210327,35.01391410827637,112.496,0.0,1
146,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059521198272705,0.00762939453125,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.0,0.006723403930664,0.0128746032714843,0.0128746032714843,0.0088691711425781,0.0115871429443359,0.020456314086914,0.496,1.776,0.496,0.0,3.744,4.232,35.00795364379883,35.00795364379883,112.0,0.0,1
147,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061444865847096,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0,0.0043984117179081,0.0061988830566406,0.0,0.0063896179199218,0.009775161743164,0.009775161743164,0.0085830688476562,0.0104427337646484,0.0194072723388671,0.496,1.84,0.0,0.0,3.744,4.232,0.0,0.0,140.256,322.392,1
148,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063381572761157,0.0088214874267578,0.0073909759521484,0.0073909759521484,0.0,0.0046781591466955,0.0062465667724609,0.0,0.0066041946411132,0.0102519989013671,0.0102519989013671,0.0093698501586914,0.0109672546386718,0.0272750854492187,0.496,1.84,0.0,0.0,7.488,8.464,0.0,0.0,118.448,330.616,1
149,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062119308395765,0.0085830688476562,0.00762939453125,0.00762939453125,0.0,0.0054041544596354,0.0065803527832031,0.0,0.0058650970458984,0.00762939453125,0.00762939453125,0.0081777572631835,0.010538101196289,0.0259876251220703,0.496,1.808,0.0,0.0,8.264,7.736,0.0,0.0,113.256,15.016,1
150,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076435580111966,0.0102519989013671,0.0107288360595703,0.0107288360595703,0.0,0.0040140927404385,0.0045299530029296,0.0,0.0061988830566406,0.013589859008789,0.013589859008789,0.0081777572631835,0.009918212890625,0.0235557556152343,0.496,1.84,0.0,0.0,8.264,7.736,0.0,0.0,123.08,54543.848,1
151,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072889660128313,0.009775161743164,0.0100135803222656,0.0100135803222656,0.0,0.0040936020185362,0.0049591064453125,0.0,0.0,0.0140666961669921,0.0140666961669921,0.0,0.0,0.0,0.496,1.84,0.0,0.0,0.0,0.0,0.0,0.0,117.192,611.24,1
152,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061666965484619,0.0083446502685546,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0,0.0,0.0,0.0104904174804687,0.0104904174804687,0.0,0.0,0.0,0.496,1.808,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,1
153,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006030797958374,0.0083446502685546,0.0084638595581054,0.010085105895996,0.0,0.0,0.0,0.0,0.0067710876464843,0.0131130218505859,0.0146389007568359,0.0087738037109375,0.0118732452392578,0.0222682952880859,1.344,2.624,0.0,0.0,3.744,4.232,0.0,0.0,112.0,0.0,1
154,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061511993408203,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0,0.006270408630371,0.0083446502685546,0.0083446502685546,0.0088453292846679,0.0121593475341796,0.0287294387817382,0.496,1.776,0.0,0.0,7.488,8.464,0.0,0.0,112.0,0.0,1
155,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060280757163887,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0,0.0044838074714906,0.0054836273193359,0.0,0.0060240427652994,0.0121593475341796,0.0121593475341796,0.0080108642578125,0.011603037516276,0.0287055969238281,0.496,1.776,0.0,0.0,12.008,11.968,0.0,0.0,117.192,697.008,1
