time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_u_throughput_dl_kbps,f1_c_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,F-node
38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062885850963025,0.0080823898315429,0.0083446502685546,0.0083446502685546,0.0104904174804687,0.0104904174804687,0.0042915344238281,0.0070095062255859,0.0058174133300781,0.009012222290039,0.0116348266601562,0.0216007232666015,0.0,0.496,1.36,0.0,0.0,0.0,3.744,4.232,127.016,0.0,0.0,0.0,193.032,0.0,0.0,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060292618784738,0.0081062316894531,0.00762939453125,0.00762939453125,0.0102519989013671,0.0102519989013671,0.0053246815999348,0.0061273574829101,0.0073432922363281,0.0081062316894531,0.010538101196289,0.0250101089477539,0.0,0.496,1.36,0.0,0.0,0.0,8.264,7.736,117.192,0.0,0.0,0.0,31.48,0.0,0.0,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059260657770716,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0166893005371093,0.0166893005371093,0.00762939453125,0.0,0.00762939453125,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,115.032,0.0,0.0,0.0,2.744,0.0,0.0,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060375999001895,0.0080347061157226,0.0085830688476562,0.0085830688476562,0.0085830688476562,0.0085830688476562,0.0059127807617187,0.0,0.0072479248046875,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,128.64,0.0,0.0,0.0,24.456,0.0,0.0,0
42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061419472765566,0.0081062316894531,0.0116825103759765,0.0116825103759765,0.0157356262207031,0.0157356262207031,0.0048024313790457,0.0,0.0077247619628906,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,70.872,0.0,0.0,0
43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.00597469842256,0.0081062316894531,0.0083446502685546,0.0083446502685546,0.0102519989013671,0.0102519989013671,0.0047683715820312,0.0065326690673828,0.0047683715820312,0.0082015991210937,0.01220703125,0.0234603881835937,0.0,0.496,1.36,0.0,0.0,0.0,3.744,4.232,113.256,0.0,0.0,0.0,1.192,0.0,0.0,0
44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062822708355382,0.0083446502685546,0.0090599060058593,0.0090599060058593,0.0128746032714843,0.0128746032714843,0.007788340250651,0.0063419342041015,0.0091552734375,0.0081539154052734,0.0112056732177734,0.0216007232666015,0.0,0.496,1.36,0.0,0.0,0.0,3.744,4.232,120.056,0.0,0.0,0.0,7.416,0.0,0.0,0
45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.005847156637966,0.0078678131103515,0.0104904174804687,0.0104904174804687,0.0121593475341796,0.0121593475341796,0.0072717666625976,0.005960464477539,0.0077486038208007,0.0083446502685546,0.0107526779174804,0.023198127746582,0.0,0.496,1.36,0.0,0.0,0.0,8.264,7.736,116.528,0.0,0.0,0.0,3.952,0.0,0.0,0
46,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061070919036865,0.0081300735473632,0.00762939453125,0.00762939453125,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
47,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060427188873291,0.0085830688476562,0.0092983245849609,0.0092983245849609,0.0140666961669921,0.0140666961669921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
