time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,a1_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_latency_mean_dl_ms,f1_c_packet_loss_dl_percentage,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_u_throughput_dl_kbps,F-node
49,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060591204413052,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0057697296142578,0.0072320302327473,0.0104904174804687,0.0104904174804687,0.0082969665527343,0.0074386596679687,0.0107288360595703,0.0201702117919921,0.0,0.496,1.36,0.0,0.0,3.744,4.232,123.64,0.0,0.0,0.0,0.0,0.0,14.968,0
50,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060088563673567,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0065326690673828,0.0055789947509765,0.0100135803222656,0.0100135803222656,0.0062465667724609,0.0085115432739257,0.011444091796875,0.0284194946289062,0.0,0.496,1.36,0.0,0.0,8.264,7.736,118.448,0.0,0.0,0.0,0.0,0.0,40.52,0
51,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060826391723025,0.0083446502685546,0.0085830688476562,0.0085830688476562,0.0,0.0045299530029296,0.0107288360595703,0.0107288360595703,0.0045299530029296,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,0.0,1.192,0
52,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060832500457763,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,112.0,0.0084638595581054,0.0,0.011610984802246,0.0077009201049804,0.0060796737670898,0.0,0
53,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0058288004860949,0.0078678131103515,0.0081062316894531,0.0081062316894531,0.0,0.0090599060058593,0.0107288360595703,0.0107288360595703,0.0090599060058593,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,117.192,0.0,0.0,0.0,0.0,0.0,5.32,0
54,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059497356414794,0.0078916549682617,0.0066757202148437,0.0066757202148437,0.0066280364990234,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0088214874267578,0.0102996826171875,0.0186920166015625,0.0,0.496,1.36,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
55,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061378103171663,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0061511993408203,0.00541860407049,0.0126361846923828,0.0126361846923828,0.0083446502685546,0.0078201293945312,0.0109195709228515,0.0197410583496093,0.0,0.496,1.36,0.0,0.0,3.744,4.232,132.208,0.0,0.0,0.0,0.0,0.0,85.656,0
56,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061419472765566,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0061988830566406,0.005960464477539,0.0140666961669921,0.0140666961669921,0.005960464477539,0.0088453292846679,0.0107049942016601,0.025796890258789,0.0,0.496,1.36,0.0,0.0,8.264,7.736,113.256,0.0,0.0,0.0,0.0,0.0,1.192,0
57,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060309330230863,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0,0.0053644180297851,0.0081062316894531,0.0081062316894531,0.0077486038208007,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,121.016,0.0,0.0,0.0,0.0,0.0,29.936,0
58,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060690511571298,0.0078678131103515,0.0085830688476562,0.0085830688476562,0.0,0.0059339735243055,0.0147819519042968,0.0147819519042968,0.0084400177001953,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,118.448,0.0,0.0,0.0,0.0,0.0,44.68,0
