time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,a1_retransmissions_ul_count,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
111,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.007942611095952,0.0097513198852539,0.0047683715820312,0.009775161743164,0.009775161743164,0.0047683715820312,0.0,0.0126361846923828,0.0126361846923828,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.528,0.0,0.0,62.448,0.0,0.0,0.0,0.0,1.192,1
112,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0072693824768066,0.0095605850219726,0.0,0.0090599060058593,0.0090599060058593,0.0,0.0,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.496,1.36,2.0,0.0,0.0,0.0,0.528,0.0,0.0,56.0,0.0,0.0,4359.05134677887,4359.040379524231,0.0,1
113,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0071477890014648,0.0090837478637695,0.0,0.00762939453125,0.00762939453125,0.0,0.0,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.496,1.36,2.0,0.0,0.0,0.0,2.768,1.712,0.0,56.0,1747.5375395554763,3911.442518234254,4359.038829803467,4359.022776285808,0.0,1
114,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.007023811340332,0.0086307525634765,0.0,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.496,1.36,0.0,4.0,0.0,0.0,1.184,2.368,0.0,56.0,852.293848991394,3072.0242738723755,4359.033489227295,4359.033107757568,0.0,1
115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0070405006408691,0.0086069107055664,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0109672546386718,0.0109672546386718,0.0,0.0,0.0,0.496,1.36,0.0,2.0,0.0,0.0,1.184,1.184,0.0,56.0,-175.23545026779175,1945.5999374389653,4359.013533592224,4359.01153087616,0.0,1
116,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0069212913513183,0.0088453292846679,0.0,0.0102519989013671,0.0102519989013671,0.0,0.0,0.009775161743164,0.009775161743164,0.0,0.0,0.0,0.496,1.36,0.0,2.0,0.0,0.0,1.184,1.184,0.0,56.0,-1199.230968952179,921.585297584534,4359.011650085449,4359.009742736816,0.0,1
117,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0071407544730913,0.0088214874267578,0.0092983245849609,0.0078678131103515,0.0078678131103515,0.0092983245849609,0.0,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.496,1.36,0.0,2.0,0.0,0.0,6.928,5.952,0.0,57.256,-1482.1506208843657,0.007939338684082,4359.021782875061,4359.015146891276,1.192,1
118,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0080072654868071,0.0102519989013671,0.0038534508155849,0.0150203704833984,0.0150203704833984,0.0042915344238281,0.0,0.0152587890625,0.0152587890625,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,1.056,0.0,0.0,87.848,0.0,0.0,0.0,0.0,22404.728,1
119,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0078280766805013,0.0099897384643554,0.005960464477539,0.0116825103759765,0.0116825103759765,0.005960464477539,0.0,0.011444091796875,0.011444091796875,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,1.056,0.0,0.0,62.448,0.0,0.0,0.0,0.0,1.192,1
120,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0078280766805013,0.0099897384643554,0.005960464477539,0.0092983245849609,0.0092983245849609,0.005960464477539,0.0,0.0119209289550781,0.0119209289550781,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,1.056,0.0,0.0,62.448,0.0,0.0,0.0,0.0,1.192,1
