time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_u_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
64,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060820579528808,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0060081481933593,0.0066757202148437,0.0066757202148437,0.0081300735473632,0.0,0.0,0.0,0.0,0.0113964080810546,0.0,0.0268459320068359,0.0,0.496,1.392,0.0,0.0,8.264,7.736,112.0,0.0,0.0,0
65,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059723854064941,0.0078916549682617,0.00762939453125,0.00762939453125,0.006723403930664,0.0095367431640625,0.0095367431640625,0.0092506408691406,0.0,0.0,0.0,0.0,0.0115871429443359,0.0,0.0216960906982421,0.0,0.496,1.36,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0
66,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060153007507324,0.0078678131103515,0.0092983245849609,0.0092983245849609,0.0065803527832031,0.0057220458984375,0.0057220458984375,0.0086307525634765,0.0,0.0,0.0,0.0,0.0120162963867187,0.0,0.0238418579101562,0.0,0.496,1.36,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0
67,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062253740098741,0.0083446502685546,0.0064373016357421,0.0064373016357421,0.0061988830566406,0.0095367431640625,0.0095367431640625,0.0082254409790039,0.0,0.0,0.0,0.0,0.01068115234375,0.0043285304102404,0.0268459320068359,0.005960464477539,0.496,1.424,0.0,0.0,8.264,7.736,141.608,0.0,586.704,0
68,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061217825211102,0.0081062316894531,0.0104904174804687,0.0104904174804687,0.0061511993408203,0.0107288360595703,0.0107288360595703,0.0077247619628906,0.0,0.0,0.0,0.0,0.0117301940917968,0.0043098743145282,0.0226497650146484,0.005340576171875,0.496,1.424,0.0,0.0,3.744,4.232,113.256,0.0,106.536,0
69,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061087347381743,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0063419342041015,0.0131130218505859,0.0131130218505859,0.0081539154052734,0.0,0.0,0.0,0.0,0.0115394592285156,0.0052452087402343,0.0217437744140625,0.0052452087402343,0.496,1.36,0.0,0.0,3.744,4.232,113.256,0.0,1.192,0
70,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060915946960449,0.0081300735473632,0.0078678131103515,0.0078678131103515,0.0060796737670898,0.0083446502685546,0.0083446502685546,0.0081300735473632,0.0,0.0,0.0,0.0,0.0112771987915039,0.0,0.0275611877441406,0.0,0.496,1.36,0.0,0.0,8.264,7.736,112.0,0.0,0.0,0
71,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060665607452392,0.0081300735473632,0.0092983245849609,0.0092983245849609,0.006866455078125,0.0126361846923828,0.0126361846923828,0.0094413757324218,0.0,0.0,0.0,0.0,0.0115871429443359,0.0,0.0211715698242187,0.0,0.496,1.36,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0
72,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059092044830322,0.0078916549682617,0.00762939453125,0.00762939453125,0.0061988830566406,0.0081062316894531,0.0081062316894531,0.0076770782470703,0.0,0.0,0.0,0.0,0.0116825103759765,0.0,0.0224590301513671,0.0,0.496,1.36,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0
73,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058603286743164,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.0069379806518554,0.0090599060058593,0.0090599060058593,0.0091075897216796,0.0,0.0,0.0,0.0,0.0117301940917968,0.0,0.0265836715698242,0.0,0.496,1.36,0.0,0.0,8.264,7.736,112.0,0.0,0.0,0
