time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,a1_retransmissions_ul_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
83,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0063424086689355,0.0085830688476562,0.0073909759521484,0.0071048736572265,0.0084877014160156,0.0081062316894531,0.0081062316894531,0.0101327896118164,0.0109672546386718,0.0109672546386718,0.0090599060058593,0.0090599060058593,0.496,1.36,0.0,2.0,5.6,6.512,114.728,5.376,7.408,0.0,-1481.60277472602,0.0100612640380859,4359.016537666321,4359.013398488362,2.44,1
84,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060606002807617,0.0083684921264648,0.008392333984375,0.0078082084655761,0.0107288360595703,0.0073909759521484,0.0073909759521484,0.0111579895019531,0.0090599060058593,0.0090599060058593,0.0,0.0,0.496,1.424,0.0,0.0,6.096,5.728,112.0,0.528,0.0,0.0,0.0,0.0,4359.036993980408,4359.036326408386,0.0,1
85,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0059348780934403,0.0078678131103515,0.0069936116536458,0.0079075495402018,0.0100135803222656,0.0066757202148437,0.0066757202148437,0.0082254409790039,0.0088214874267578,0.0088214874267578,0.0055789947509765,0.0065803527832031,0.496,1.36,1.0,0.0,9.856,10.176,123.864,1.056,0.0,0.0,0.0,0.0,4359.042954444885,4359.033703804016,10.424,1
86,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.006392227476509,0.0085830688476562,0.0062942504882812,0.0079154968261718,0.009012222290039,0.00762939453125,0.00762939453125,0.0072479248046875,0.0083446502685546,0.0083446502685546,0.0039728064286081,0.0046730041503906,0.496,1.424,3.0,0.0,6.448,6.224,114.296,1.056,0.0,0.0,0.0,0.0,4359.036636352539,4359.034140904744,1026.888,1
87,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0062558188367245,0.0085830688476562,0.0072121620178222,0.0067710876464843,0.0077724456787109,0.0100135803222656,0.0100135803222656,0.0093460083007812,0.0128746032714843,0.0128746032714843,0.0050663948059082,0.0057697296142578,0.496,1.424,3.0,0.0,5.6,6.512,113.256,2.112,0.528,0.0,0.0147819519042968,0.0147819519042968,4359.03468132019,4359.029054641724,21.648,1
88,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0061025760443927,0.0083446502685546,0.0073432922363281,0.0070929527282714,0.0098466873168945,0.0081062316894531,0.0081062316894531,0.0092029571533203,0.0102519989013671,0.0102519989013671,0.0051259994506835,0.0067949295043945,0.496,1.36,3.0,0.0,6.096,5.728,121.288,2.176,1.12,0.0,1612.56742477417,3487.8000736236577,4359.029769897461,4359.026908874512,33.616,1
89,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0061776378367206,0.0088214874267578,0.0064373016357421,0.007788340250651,0.0094175338745117,0.013589859008789,0.013589859008789,0.0073909759521484,0.0088214874267578,0.0088214874267578,0.0052452087402343,0.0060558319091796,0.496,1.424,2.0,2.0,9.856,10.176,115.712,1.776,2.368,0.0,1377.849777539571,3101.796078681946,4359.029006958008,4359.017508370535,7.576,1
90,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0063169120561958,0.0083446502685546,0.0052452087402343,0.0066280364990234,0.0094413757324218,0.0067949295043945,0.0068902969360351,0.006866455078125,0.0113248825073242,0.012373924255371,0.0043999065052379,0.0058412551879882,1.344,2.272,0.0,5.0,6.448,6.224,122.384,1.776,2.96,0.0,646.0274775822958,3072.0037698745728,4359.026670455933,4359.020233154297,167.616,1
91,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0069473513323276,0.0095367431640625,0.0061392784118652,0.0061988830566406,0.0079631805419921,0.0071525573730468,0.0071525573730468,0.007033348083496,0.0109672546386718,0.0109672546386718,0.00396021481218,0.0047683715820312,0.496,1.424,0.0,3.0,5.6,6.512,117.192,1.776,1.776,0.0,-516.9035461213854,1331.896352767945,4359.011888504028,4359.011332194011,5913.968,1
92,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0061571598052978,0.0083446502685546,0.0077247619628906,0.0077486038208007,0.009012222290039,0.0081062316894531,0.0081062316894531,0.0121116638183593,0.0078678131103515,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.496,1.424,0.0,3.0,6.096,5.728,112.0,1.776,1.776,0.0,-1540.5677027172512,307.5074195861824,4359.016513824463,4359.014828999837,4.92,1
