time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
170,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060462951660156,0.0083446502685546,0.00762939453125,0.00762939453125,0.0062147776285807,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0083446502685546,0.0047683715820312,0.0047683715820312,0.0105698903401692,0.0238895416259765,0.496,1.36,3.28,1.616,11.968,12.008,112.0,650.007963180542,650.007963180542,0.0,1
171,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062859058380126,0.0085830688476562,0.0095367431640625,0.0095367431640625,0.0073432922363281,0.0169277191162109,0.0169277191162109,0.0,0.0,0.0110626220703125,0.007033348083496,0.0078916549682617,0.0115871429443359,0.0223636627197265,0.496,1.36,2.368,2.72,4.232,3.744,112.0,650.0116586685181,650.0136613845825,0.0,1
172,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062760523551904,0.0088214874267578,0.0073909759521484,0.0073909759521484,0.0057697296142578,0.009775161743164,0.009775161743164,0.0055257011862362,0.0084400177001953,0.0072002410888671,0.0066757202148437,0.0066757202148437,0.0104904174804687,0.0199794769287109,0.496,1.36,1.072,3.248,4.232,3.744,142.504,650.0101089477539,650.0101089477539,149.624,1
173,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061457700068407,0.0078678131103515,0.0073909759521484,0.0073909759521484,0.0,0.0083446502685546,0.0083446502685546,0.0044310965189119,0.0052452087402343,0.0,0.00762939453125,0.00762939453125,0.0,0.0,0.496,1.424,1.344,0.816,0.0,0.0,118.448,650.0217914581299,650.0244617462158,448.024,1
174,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062309094329378,0.0081062316894531,0.0100135803222656,0.0100135803222656,0.0057220458984375,0.0078678131103515,0.0078678131103515,0.00762939453125,0.00762939453125,0.0071525573730468,0.0066757202148437,0.0066757202148437,0.010538101196289,0.019693374633789,0.496,1.424,0.496,0.784,4.232,3.744,113.256,650.0132083892822,650.0132083892822,1.192,1
175,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062763690948486,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0057697296142578,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0073909759521484,0.0,0.0,0.0115871429443359,0.0224590301513671,0.496,1.36,0.496,0.0,4.232,3.744,112.0,0.0,0.0,0.0,1
176,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060021877288818,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0063657760620117,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0081539154052734,0.0,0.0,0.0111579895019531,0.028228759765625,0.496,1.36,0.0,0.0,7.736,8.264,112.0,0.0,0.0,0.0,1
177,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060927867889404,0.0081300735473632,0.0064373016357421,0.0064373016357421,0.0062465667724609,0.0121593475341796,0.0121593475341796,0.0,0.0,0.0087738037109375,0.0,0.0,0.0095208485921223,0.019693374633789,0.496,1.36,0.0,0.0,11.312,10.776,112.0,0.0,0.0,0.0,1
178,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059080123901367,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,1
179,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061466919248969,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0,0.013589859008789,0.013589859008789,0.0102519989013671,0.0102519989013671,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,0.0,1.192,1
180,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061383887903014,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0064373016357421,0.0166893005371093,0.0166893005371093,0.0071525573730468,0.0071525573730468,0.0079154968261718,0.0,0.0,0.0103950500488281,0.0197887420654296,0.496,1.36,0.0,0.0,4.232,3.744,113.256,0.0,0.0,1.192,1
181,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060648467410263,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0065326690673828,0.0085830688476562,0.0085830688476562,0.0095367431640625,0.0095367431640625,0.0084400177001953,0.0,0.0,0.0109195709228515,0.0204086303710937,0.496,1.36,0.0,0.0,4.232,3.744,113.256,0.0,0.0,1.192,1
182,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061047077178955,0.0081300735473632,0.0064373016357421,0.0064373016357421,0.0058889389038085,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0081300735473632,0.0,0.0,0.0107765197753906,0.0269174575805664,0.496,1.36,0.0,0.0,7.736,8.264,112.0,0.0,0.0,0.0,1
183,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061526227353224,0.0078678131103515,0.0073909759521484,0.0073909759521484,0.0,0.0121593475341796,0.0121593475341796,0.0063180923461914,0.0081300735473632,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,117.192,0.0,0.0,14.128,1
184,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061571598052978,0.0085830688476562,0.0092983245849609,0.0092983245849609,0.0,0.0126361846923828,0.0126361846923828,0.0,0.0,0.0,0.0067949295043945,0.0068902969360351,0.0,0.0,0.496,1.424,3.28,4.928,0.0,0.0,112.0,650.0108242034912,650.0108242034912,0.0,1
185,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061678886413574,0.0081062316894531,0.0094890594482421,0.0073909759521484,0.0,0.0079870223999023,0.0084638595581054,0.0,0.0,0.0,0.0088214874267578,0.0088214874267578,0.0,0.0,1.344,2.208,1.264,1.168,0.0,0.0,112.0,650.0115394592285,650.0115394592285,0.0,1
186,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061609258699179,0.0083446502685546,0.0100135803222656,0.0100135803222656,0.0069618225097656,0.0152587890625,0.0152587890625,0.0064373016357421,0.0064373016357421,0.0098228454589843,0.0061988830566406,0.0061988830566406,0.0113487243652343,0.021219253540039,0.496,1.36,1.104,1.552,4.232,3.744,113.256,650.007963180542,650.007963180542,1.192,1
