time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,f1_u_throughput_dl_kbps,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,F-node
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0060808658599853,0.0081062316894531,0.0,0.0060558319091796,0.0,0.0,0.0,0.0,0.0076770782470703,0.0109672546386718,0.0,0.0104904174804687,0.0104904174804687,0.0202655792236328,0,0.496,1.36,0.0,0.0,112.0,3.744,4.232,0.0,0.0,0.0061988830566406,0.0061988830566406,0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.005950927734375,0.0078678131103515,0.0,0.0072479248046875,0.0,0.0,0.0,0.0,0.0110149383544921,0.0105857849121093,0.0,0.0123977661132812,0.0123977661132812,0.0198841094970703,0,0.496,1.36,0.0,0.0,112.0,3.744,4.232,0.0,0.0,0.00762939453125,0.00762939453125,0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0059557198291987,0.0078678131103515,0.0100135803222656,0.0058412551879882,0.0100135803222656,0.0,0.0,0.0,0.0067472457885742,0.0096360842386881,0.0,0.009775161743164,0.009775161743164,0.0226974487304687,0,0.496,1.36,0.0,0.0,113.256,9.32,6.68,0.0,1.192,0.0071525573730468,0.0071525573730468,0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0060978781413562,0.0081062316894531,0.0044932732215294,0.0,0.0058650970458984,0.0,0.0,0.0,0.0,0.0,0.0,0.0078678131103515,0.0078678131103515,0.0,0,0.496,1.36,0.0,0.0,123.64,0.0,0.0,0.0,134.744,0.0071525573730468,0.0071525573730468,0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0063074697362314,0.0088214874267578,0.005960464477539,0.0,0.0069141387939453,0.0,0.0,0.0,0.0,0.0,0.0,0.0116825103759765,0.0116825103759765,0.0,0,0.496,1.36,0.0,0.0,118.448,0.0,0.0,0.0,7.136,0.0066757202148437,0.0066757202148437,0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0067373601401724,0.0092983245849609,0.0038802550253532,0.0,0.0045299530029296,0.0047683715820312,0.0140666961669921,0.0047683715820312,0.0,0.0,0.0140666961669921,0.0159740447998046,0.0159740447998046,0.0,0,0.496,1.36,0.848,0.848,137.96,0.0,0.0,0.0,18765.488,0.0078678131103515,0.0078678131103515,0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0067765439920757,0.0092983245849609,0.0038905629554501,0.005960464477539,0.0045299530029296,0.0143051147460937,0.0054836273193359,0.0143051147460937,0.007486343383789,0.0112056732177734,0.0054836273193359,0.011444091796875,0.011444091796875,0.021219253540039,0,0.496,1.36,0.848,0.848,117.192,3.744,4.232,0.0,23959.656,0.0138282775878906,0.0138282775878906,0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0067646823712249,0.0095367431640625,0.0038881658091002,0.0061988830566406,0.0045299530029296,0.0,0.0,0.0,0.0081539154052734,0.0104427337646484,0.0,0.009775161743164,0.009775161743164,0.0202178955078125,0,0.496,1.36,0.0,0.0,117.192,3.744,4.232,0.0,13646.16,0.0092983245849609,0.0092983245849609,0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0058460235595703,0.00762939453125,0.0,0.0062942504882812,0.0,0.0,0.0,0.0,0.0084638595581054,0.0107288360595703,0.0,0.0126361846923828,0.0126361846923828,0.0245571136474609,0,0.496,1.36,0.0,0.0,112.0,8.264,7.736,0.0,0.0,0.0088214874267578,0.0088214874267578,0
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0060093402862548,0.00762939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0128746032714843,0.0128746032714843,0.0,0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.00762939453125,0.00762939453125,0
