time_seconds,a1_retransmissions_dl_count,a1_retransmissions_ul_count,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_packet_loss_dl_percentage,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
72,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062644481658935,0.0088453292846679,0.0071525573730468,0.0071525573730468,0.0067551930745442,0.0,0.0,0.0112056732177734,0.0112056732177734,0.0092983245849609,0.0069936116536458,0.0077486038208007,0.0,0.0,0.496,1.36,9.856,10.24,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
73,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059865600434108,0.0081062316894531,0.00762939453125,0.00762939453125,0.0056266784667968,0.0054836273193359,0.0054836273193359,0.009775161743164,0.009775161743164,0.0073432922363281,0.0068346659342447,0.00762939453125,0.0060319900512695,0.0088214874267578,0.496,1.36,6.448,7.04,113.256,0.0,7.488,8.464,0.029611587524414,0.0115394592285156,1.192,0
74,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061823589967028,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0056743621826171,0.0058412551879882,0.0059366226196289,0.0109672546386718,0.0109672546386718,0.0063896179199218,0.0075697898864746,0.0089406967163085,0.0,0.0,0.496,1.36,6.096,5.76,115.632,0.0,0.0,0.0,868.0462121963501,868.043065071106,3.28,1
75,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063969721248493,0.0085830688476562,0.0107288360595703,0.0107288360595703,0.0070929527282714,0.0050067901611328,0.0050067901611328,0.0066757202148437,0.0066757202148437,0.008249282836914,0.0083446502685546,0.0095605850219726,0.0106096267700195,0.0116586685180664,0.496,1.424,5.6,5.76,113.256,0.0,1.184,1.184,868.0203914642334,868.0148720741272,1.192,1
76,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061655044555664,0.0085830688476562,0.0095367431640625,0.0095367431640625,0.0065565109252929,0.0,0.0,0.0107288360595703,0.0107288360595703,0.008702278137207,0.006715456644694,0.0072717666625976,0.006874402364095,0.0101327896118164,0.496,1.36,9.856,10.24,112.0,0.0,4.192,6.224,868.0130958557129,868.012011051178,0.0,1
77,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062513351440429,0.0085830688476562,0.0081062316894531,0.0081062316894531,0.0060558319091796,0.0,0.0,0.0112056732177734,0.0112056732177734,0.0073909759521484,0.0072717666625976,0.008702278137207,0.0138282775878906,0.0140190124511718,0.496,1.36,6.448,7.04,112.0,0.0,2.112,1.056,868.0475473403931,868.0421113967896,0.0,1
78,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060796737670898,0.0081300735473632,0.0073909759521484,0.0073909759521484,0.0060558319091796,0.0,0.0,0.0143051147460937,0.0143051147460937,0.0077724456787109,0.0077486038208007,0.0103235244750976,0.0094175338745117,0.0095129013061523,0.496,1.36,6.096,5.76,112.0,0.0,1.184,1.184,868.0187225341797,868.0147528648376,0.0,1
79,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060387511751545,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0057220458984375,0.0052452087402343,0.0052452087402343,0.0116825103759765,0.0116825103759765,0.006866455078125,0.00762939453125,0.009012222290039,0.0075896581013997,0.0094175338745117,0.496,1.36,5.6,5.76,114.264,0.0,4.192,6.224,868.0344581604004,868.0172307150705,1.976,1
80,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061577764050713,0.0085353851318359,0.0104904174804687,0.0104904174804687,0.0071922938028971,0.0052452087402343,0.0057697296142578,0.0073909759521484,0.0073909759521484,0.0082254409790039,0.006715456644694,0.0082254409790039,0.011444091796875,0.0142097473144531,0.496,1.424,9.856,10.24,120.92,0.0,3.824,2.24,868.01917552948,868.0151104927063,8.28,1
81,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006286109366068,0.008249282836914,0.0069141387939453,0.0069141387939453,0.0064849853515625,0.0049742785367098,0.0054836273193359,0.0164508819580078,0.0164508819580078,0.0080108642578125,0.0066757202148437,0.0081062316894531,0.0087193080357142,0.0123500823974609,0.496,1.424,6.448,7.04,129.832,0.0,6.8,5.296,868.0203437805176,868.0141925811768,86.128,1
82,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064737103842749,0.0088214874267578,0.0078678131103515,0.0078678131103515,0.0060558319091796,0.0051736831665039,0.0059843063354492,0.0078678131103515,0.0078678131103515,0.0081539154052734,0.0067353248596191,0.0072479248046875,0.0102519989013671,0.0102519989013671,0.496,1.424,6.096,5.76,119.624,0.0,1.584,0.528,0.0,0.0,67.648,1
83,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062249786225124,0.0083446502685546,0.013589859008789,0.013589859008789,0.0067353248596191,0.0051197252775493,0.0060081481933593,0.0116825103759765,0.0116825103759765,0.007939338684082,0.0075101852416992,0.0090360641479492,0.0,0.0,0.496,1.424,5.6,5.76,115.944,0.0,0.0,0.0,868.0448532104492,868.0448532104492,60.264,1
84,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062807282405113,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.005960464477539,0.0047354862607758,0.0052928924560546,0.0157356262207031,0.0157356262207031,0.0072717666625976,0.0064770380655924,0.0071525573730468,0.0095367431640625,0.0095367431640625,0.496,1.424,9.856,10.24,116.136,0.0,0.592,0.592,868.0190324783325,868.0158853530884,105.944,1
85,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063839243419134,0.0085830688476562,0.0100135803222656,0.0100135803222656,0.0058650970458984,0.0054264068603515,0.0069618225097656,0.0081062316894531,0.0081062316894531,0.0079154968261718,0.0069141387939453,0.0082254409790039,0.0082850456237792,0.0101089477539062,0.496,1.424,6.448,7.04,116.008,0.0,2.496,3.248,868.0394172668457,868.0225440434048,106.632,1
