time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_c_packet_loss_ul_percentage,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0068322936100746,0.0088214874267578,0.0073909759521484,0.0073909759521484,0.0065962473551432,0.0085830688476562,0.0118096669514973,0.0169277191162109,0.0211238861083984,0.0312328338623046,1.696,1.696,8.88,9.04,11.968,12.008,20.0,113.256,20.0,-95.04210948944088,419.9816703796387,211.00753545761108,-338.3111953735352,0.0170469284057617,0.0228643417358398,1.192,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0068370382584149,0.0083446502685546,0.0054836273193359,0.0054836273193359,0.0061511993408203,0.0077247619628906,0.0117778778076171,0.0169277191162109,0.0211238861083984,0.023651123046875,1.696,1.696,6.576,6.864,4.232,3.744,20.0,117.192,20.0,-47.05581665039063,419.61727142333984,268.5093879699707,-211.87233924865723,0.0170469284057617,0.0228643417358398,4.968,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0060224533081054,0.0081062316894531,0.0,0.0,0.0062465667724609,0.0081062316894531,0.0113248825073242,0.0169277191162109,0.0211238861083984,0.0298023223876953,1.696,1.696,6.448,7.008,7.736,8.264,33.33333333333333,112.0,20.0,-96.09367847442624,481.73203468322754,320.5046057701111,-251.79779529571533,0.0170469284057617,0.0228643417358398,0.0,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0060260295867919,0.0081300735473632,0.0,0.0,0.0,0.0,0.0,0.0169277191162109,0.0211238861083984,0.0,1.696,1.696,6.096,5.728,0.0,0.0,25.0,112.0,40.0,-80.42850494384766,437.9591464996338,266.68357849121094,-266.3280169169108,0.0170469284057617,0.0228643417358398,0.0,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0061628295154106,0.0081062316894531,0.0039381139418658,0.0047683715820312,0.0056266784667968,0.0072956085205078,0.011301040649414,0.0169277191162109,0.0211238861083984,0.0225067138671875,1.696,1.696,8.88,9.04,4.232,3.744,20.0,140.432,20.0,-96.57049179077146,416.8635368347168,212.24910020828247,-336.59887313842773,0.0170469284057617,0.0228643417358398,2791.112,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0063281747239146,0.0085830688476562,0.0049591064453125,0.0069141387939453,0.0062465667724609,0.0077247619628906,0.0136375427246093,0.0169277191162109,0.0211238861083984,0.025796890258789,1.696,1.696,6.576,6.864,4.232,3.744,20.0,113.256,20.0,-51.795291900634766,416.0541296005249,268.53322982788086,-213.14078569412231,0.0170469284057617,0.0228643417358398,31.24,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0064526454056843,0.0087976455688476,0.0039619557997759,0.0047683715820312,0.0059445699055989,0.0080585479736328,0.0110785166422526,0.0169277191162109,0.0211238861083984,0.0292301177978515,1.696,1.696,6.448,7.008,11.968,12.008,33.33333333333333,123.08,20.0,-83.65619182586667,490.2697801589966,319.2528486251831,-246.49423360824585,0.0170469284057617,0.0228643417358398,1447.536,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0067563792366293,0.0092983245849609,0.0041492799016911,0.0052452087402343,0.0066280364990234,0.0087261199951171,0.0125885009765625,0.0169277191162109,0.0211238861083984,0.0248908996582031,1.696,1.696,6.096,5.728,4.232,3.744,25.0,117.888,40.0,-68.02287101745605,450.5558490753174,266.657034556071,-266.3257916768392,0.0170469284057617,0.0228643417358398,3959.528,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0069010910110094,0.0088214874267578,0.004389514661815,0.0057220458984375,0.0060319900512695,0.0079154968261718,0.0116586685180664,0.0169277191162109,0.0211238861083984,0.031590461730957,1.696,1.696,8.88,9.04,7.736,8.264,20.0,117.192,20.0,-86.1462593078613,427.6591300964356,208.5015773773193,-340.5551314353943,0.0170469284057617,0.0228643417358398,642.168,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0070416927337646,0.0095367431640625,0.0041643778483072,0.0052452087402343,0.0,0.0,0.0,0.0169277191162109,0.0211238861083984,0.0,1.696,1.696,6.576,6.864,0.0,0.0,20.0,112.0,20.0,-36.86566352844238,426.6058206558228,268.50032806396484,-209.37508344650269,0.0170469284057617,0.0228643417358398,456.424,0
