time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
99,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061002270928744,0.0085353851318359,0.009775161743164,0.009775161743164,0.0,0.0088214874267578,0.0088214874267578,0.0,0.0069141387939453,0.0,0.0111341476440429,0.0,0.0116825103759765,0.0285148620605468,0.007947285970052,0.0091552734375,0.496,1.424,0.0,0.0,124.824,7.488,8.464,0.0,14.616,1
100,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062178616500019,0.0083446502685546,0.0088214874267578,0.0088214874267578,0.0,0.0138282775878906,0.0138282775878906,0.0,0.0064032418387276,0.0,0.0085115432739257,0.0,0.0111907720565795,0.0281333923339843,0.0609779357910156,0.2031326293945312,0.496,1.424,0.0,0.0,115.752,12.536,11.44,44.44444444444444,1066.56,1
101,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062071861912362,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.0,0.0143051147460937,0.0143051147460937,0.0,0.0061988830566406,0.0,0.0086069107055664,0.0,0.0108242034912109,0.0263929367065429,0.0307083129882812,0.0980854034423828,0.496,1.424,0.0,0.0,114.376,8.264,7.736,42.30769230769231,105.8,1
102,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060296058654785,0.0078678131103515,0.0085830688476562,0.0085830688476562,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066757202148437,0.0066757202148437,0.496,1.424,0.0,0.0,116.632,0.0,0.0,0.0,3.048,1
103,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067575653987144,0.0092983245849609,0.0073909759521484,0.0073909759521484,0.0,0.009775161743164,0.009775161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057870691472833,0.0092983245849609,0.496,1.36,0.0,0.0,117.192,0.0,0.0,50.0,85.896,1
104,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006028413772583,0.0078678131103515,0.0073909759521484,0.0073909759521484,0.0,0.0138282775878906,0.0138282775878906,0.0,0.0061511993408203,0.0,0.0079631805419921,0.0,0.012063980102539,0.023651123046875,0.0,0.0,0.496,1.424,0.0,0.0,112.0,3.744,4.232,50.0,0.0,1
105,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061170378727699,0.0081062316894531,0.0140666961669921,0.0140666961669921,0.0,0.0128746032714843,0.0128746032714843,0.0,0.0075578689575195,0.0,0.0112771987915039,0.0,0.0109672546386718,0.0269651412963867,0.0314712524414062,0.0750541687011718,0.496,1.36,0.0,0.0,114.36,7.488,8.464,45.45454545454545,124.592,1
106,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060861976585577,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0,0.0107288360595703,0.0107288360595703,0.0,0.0063419342041015,0.0,0.0084877014160156,0.0,0.0111262003580729,0.028228759765625,0.0064373016357421,0.0064373016357421,0.496,1.424,0.0,0.0,113.256,12.008,11.968,0.0,1.192,1
107,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062392125675334,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0,0.0071525573730468,0.0071525573730468,0.0,0.0069379806518554,0.0,0.0087499618530273,0.0,0.011301040649414,0.0262022018432617,0.0,0.0,0.496,1.36,0.0,0.0,113.256,8.264,7.736,100.0,0.0,1
108,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063305470480847,0.0088214874267578,0.0071525573730468,0.0071525573730468,0.0,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0469553059545056,0.1560688018798825,0.496,1.36,0.0,0.0,113.256,0.0,0.0,52.922077922077925,1556.936,1
